epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.58363662,0.24784413,0.20186154,0.12466094,0.74255691
2,0.28084516,0.18603486,0.13809597,0.10669009,0.35268225
3,0.22660712,0.16270152,0.12372843,0.09892910,0.28708313
4,0.19514739,0.14996777,0.11459044,0.09450043,0.24966507
5,0.17445609,0.14283798,0.10796471,0.09192150,0.22482621
6,0.15966708,0.13805109,0.10312195,0.09012557,0.20770782
7,0.14887758,0.13468860,0.09936651,0.08887646,0.19544285
8,0.13997572,0.13116146,0.09618566,0.08766995,0.18557920
9,0.13302623,0.12995088,0.09364181,0.08709075,0.17811809
10,0.12739782,0.12787177,0.09157681,0.08637306,0.17224708
11,0.12213267,0.12655220,0.08957971,0.08571898,0.16692592
12,0.11759865,0.12560987,0.08783991,0.08564049,0.16239207
13,0.11362603,0.12378009,0.08631443,0.08487960,0.15869185
14,0.10985598,0.12329945,0.08485166,0.08489007,0.15525298
15,0.10669792,0.12355608,0.08360237,0.08459753,0.15247515
16,0.10350336,0.12117877,0.08232336,0.08394658,0.14974416
17,0.10069408,0.12255937,0.08121546,0.08454390,0.14753351
18,0.09796648,0.12126241,0.08006447,0.08391120,0.14534315
19,0.09533355,0.12075487,0.07897662,0.08353432,0.14321198
20,0.09316231,0.12143993,0.07810104,0.08367323,0.14185914
21,0.09124788,0.12025418,0.07726825,0.08348761,0.14049438
22,0.08939661,0.12167301,0.07647754,0.08367271,0.13932365
23,0.08784163,0.12005271,0.07575874,0.08282260,0.13840925
24,0.08642089,0.11965746,0.07515112,0.08285618,0.13770016
25,0.08520225,0.11966292,0.07457973,0.08299947,0.13705296
26,0.08381985,0.11819271,0.07393740,0.08240562,0.13633309
27,0.08290499,0.11861405,0.07353982,0.08232629,0.13608476
28,0.08180514,0.11768210,0.07301695,0.08217711,0.13560185
29,0.08101030,0.11693464,0.07259482,0.08227654,0.13542762
30,0.08034636,0.11809697,0.07230196,0.08188987,0.13545049
