epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.41668745,0.17547409,0.16914547,0.10364879,0.51162692
2,0.21399816,0.14955426,0.11978880,0.09457892,0.26235739
3,0.17444310,0.14028303,0.10765600,0.09107151,0.21317335
4,0.15270403,0.13455718,0.10061030,0.08886100,0.18688514
5,0.13863263,0.13242862,0.09576563,0.08798401,0.16983241
6,0.12778646,0.13033026,0.09190908,0.08726547,0.15658450
7,0.11903718,0.12963830,0.08865230,0.08669606,0.14598014
8,0.11126535,0.12720346,0.08571674,0.08601630,0.13664483
9,0.10518339,0.12754030,0.08331654,0.08621194,0.12928103
10,0.09943863,0.12695193,0.08101259,0.08601556,0.12236229
11,0.09446371,0.12682890,0.07902086,0.08576940,0.11644501
12,0.09017420,0.12789306,0.07721814,0.08554973,0.11129420
13,0.08615515,0.12538367,0.07544904,0.08487261,0.10641946
14,0.08245735,0.12553640,0.07386548,0.08460150,0.10208912
15,0.07921749,0.12570973,0.07238714,0.08464317,0.09813390
16,0.07645025,0.12609500,0.07114167,0.08446696,0.09493118
17,0.07341007,0.12533048,0.06979752,0.08394919,0.09144565
18,0.07070728,0.12538213,0.06839118,0.08393986,0.08811567
19,0.06820418,0.12452785,0.06723871,0.08403834,0.08526744
20,0.06603051,0.12348521,0.06616419,0.08385222,0.08274419
21,0.06369815,0.12329167,0.06498178,0.08392925,0.07999871
22,0.06184782,0.12353580,0.06406735,0.08352852,0.07789134
23,0.06006495,0.12347012,0.06311669,0.08359000,0.07587040
24,0.05820617,0.12127843,0.06215844,0.08282775,0.07374866
25,0.05653620,0.12250489,0.06123481,0.08315026,0.07178989
26,0.05490123,0.12323136,0.06038212,0.08337935,0.06995613
27,0.05330800,0.12168985,0.05949208,0.08322570,0.06818615
28,0.05185048,0.12119403,0.05866481,0.08323344,0.06654273
29,0.05054029,0.12259568,0.05790244,0.08302057,0.06502593
30,0.04892435,0.12288751,0.05698387,0.08352370,0.06318611
31,0.04776792,0.12290220,0.05626319,0.08362932,0.06184686
32,0.04673421,0.12283445,0.05567375,0.08363980,0.06077719
33,0.04559457,0.12497089,0.05494955,0.08438952,0.05947926
34,0.04450578,0.12360035,0.05432558,0.08316045,0.05831168
35,0.04354380,0.12329076,0.05370748,0.08388631,0.05726772
36,0.04255763,0.12445992,0.05306848,0.08329699,0.05613652
37,0.04172324,0.12207537,0.05253786,0.08342837,0.05529272
38,0.04087721,0.12275525,0.05200077,0.08336428,0.05441641
39,0.04001880,0.12185690,0.05148267,0.08304371,0.05354770
40,0.03926703,0.12225157,0.05095659,0.08345148,0.05273788
41,0.03860736,0.12188257,0.05050868,0.08381022,0.05202876
42,0.03760210,0.12102207,0.04977932,0.08351332,0.05090105
43,0.03712424,0.12181278,0.04950350,0.08366969,0.05050791
44,0.03644974,0.12014843,0.04903240,0.08328050,0.04980370
45,0.03576669,0.12179352,0.04856998,0.08281497,0.04910577
46,0.03526714,0.12142958,0.04819024,0.08371399,0.04863154
47,0.03454422,0.12232101,0.04773115,0.08406219,0.04792136
48,0.03394307,0.12109565,0.04731539,0.08339426,0.04735473
49,0.03349722,0.12368388,0.04694139,0.08415615,0.04687498
50,0.03300454,0.12253014,0.04658291,0.08384377,0.04642680
51,0.03247747,0.12221989,0.04616642,0.08379987,0.04587936
52,0.03189320,0.12276818,0.04577612,0.08404713,0.04536960
53,0.03159006,0.12339467,0.04551041,0.08388488,0.04507992
54,0.03103668,0.12224860,0.04511996,0.08393372,0.04457527
55,0.03061597,0.12354439,0.04480213,0.08399014,0.04420446
56,0.03010662,0.12287622,0.04441527,0.08411037,0.04371452
57,0.02980949,0.12197682,0.04419235,0.08398785,0.04350609
58,0.02946500,0.12220193,0.04389054,0.08404174,0.04318064
59,0.02895266,0.12437647,0.04350813,0.08456918,0.04271032
60,0.02871585,0.12070611,0.04330021,0.08346816,0.04254385
61,0.02828422,0.12231647,0.04294614,0.08368729,0.04214685
62,0.02793893,0.12230507,0.04271747,0.08423790,0.04189666
63,0.02762411,0.12407909,0.04246481,0.08396074,0.04166421
64,0.02733134,0.12331095,0.04219776,0.08397344,0.04141539
65,0.02699686,0.12463327,0.04192326,0.08434682,0.04114347
66,0.02665452,0.12315214,0.04167639,0.08419187,0.04088852
67,0.02646070,0.12319431,0.04154272,0.08415174,0.04080578
68,0.02620366,0.12377807,0.04127230,0.08388816,0.04060998
69,0.02592004,0.12382379,0.04103418,0.08426005,0.04036086
70,0.02555269,0.12314504,0.04078893,0.08415080,0.04012164
71,0.02532131,0.12631278,0.04054621,0.08494196,0.03993410
72,0.02510751,0.12416513,0.04036079,0.08445296,0.03982728
73,0.02490291,0.12207169,0.04020116,0.08402707,0.03971816
74,0.02446307,0.12493817,0.03981662,0.08470397,0.03932651
75,0.02439711,0.12297332,0.03973033,0.08421720,0.03932991
76,0.02408061,0.12405121,0.03948744,0.08417604,0.03898347
77,0.02389963,0.12390532,0.03934551,0.08422930,0.03879985
78,0.02368893,0.12410484,0.03917321,0.08474600,0.03855173
79,0.02358594,0.12453597,0.03905081,0.08433813,0.03839531
80,0.02329755,0.12432310,0.03881062,0.08447985,0.03806497
81,0.02303474,0.12379017,0.03859204,0.08454339,0.03777367
82,0.02289695,0.12528430,0.03846163,0.08455587,0.03758970
83,0.02269504,0.12493010,0.03827080,0.08468462,0.03735154
84,0.02251037,0.12461873,0.03808463,0.08492529,0.03711957
85,0.02229315,0.12352114,0.03793156,0.08411578,0.03689717
86,0.02214374,0.12489937,0.03780650,0.08495571,0.03673044
87,0.02198828,0.12416720,0.03764781,0.08433319,0.03654621
88,0.02170199,0.12366163,0.03741738,0.08432973,0.03619707
89,0.02162600,0.12416018,0.03735318,0.08440521,0.03612375
90,0.02149493,0.12491116,0.03719251,0.08447879,0.03594960
91,0.02136021,0.12361254,0.03710109,0.08448939,0.03581531
92,0.02117061,0.12565955,0.03694506,0.08469888,0.03559551
93,0.02105316,0.12397000,0.03680366,0.08404421,0.03542892
94,0.02099663,0.12317514,0.03677065,0.08414341,0.03536981
95,0.02080200,0.12526435,0.03661963,0.08421068,0.03516502
96,0.02070956,0.12503074,0.03655181,0.08447691,0.03507397
97,0.02058055,0.12482444,0.03639955,0.08455220,0.03489788
98,0.02048180,0.12576379,0.03631955,0.08480665,0.03479867
99,0.02028487,0.12431219,0.03614582,0.08459281,0.03457368
100,0.02012000,0.12571327,0.03596639,0.08463913,0.03436051
101,0.01999976,0.12560983,0.03587024,0.08466593,0.03422453
102,0.01987466,0.12397812,0.03577901,0.08458661,0.03411196
103,0.01980632,0.12352489,0.03568195,0.08431514,0.03399332
104,0.01977368,0.12425555,0.03566057,0.08440456,0.03396291
105,0.01960887,0.12294430,0.03550592,0.08401622,0.03377844
106,0.01949463,0.12388659,0.03539893,0.08444981,0.03363247
107,0.01942161,0.12470603,0.03534136,0.08453430,0.03355626
108,0.01935805,0.12463037,0.03529894,0.08457575,0.03349904
109,0.01920407,0.12498885,0.03511039,0.08473096,0.03329062
110,0.01912585,0.12490315,0.03505878,0.08440500,0.03321240
111,0.01909085,0.12505549,0.03502186,0.08482651,0.03316321
112,0.01895033,0.12538379,0.03490796,0.08485681,0.03302419
113,0.01887681,0.12586557,0.03481292,0.08465066,0.03292025
