n,arch,status,test_rmse,elapsed_sec,data_train_fraction,seed
72,EDR,ok,0.058333,0,1,42
71,EDR,ok,0.058709,0,1,42
20,EDR,ok,0.058884,0,1,42
21,EDR,ok,0.058957,0,1,42
22,EDR,ok,0.059477,0,1,42
23,EDR,ok,0.059835,0,1,42
24,EDR,ok,0.059986,0,1,42
25,EDR,ok,0.060043,0,1,42
26,EDR,ok,0.060226,0,1,42
27,EDR,ok,0.060493,0,1,42
28,EDR,ok,0.060533,0,1,42
29,EDR,ok,0.060649,0,1,42
30,EDR,ok,0.0609,0,1,42
31,EDR,ok,0.060972,0,1,42
32,EDR,ok,0.061142,0,1,42
33,EDR,ok,0.061259,0,1,42
34,EDR,ok,0.061478,0,1,42
19,EDR,ok,0.06175,0,1,42
18,EDR,ok,0.061816,0,1,42
17,EDR,ok,0.061971,0,1,42
8,EDR,ok,0.062225,0,1,42
2,EDR,ok,0.062266,0,1,42
3,EDR,ok,0.062299,0,1,42
4,EDR,ok,0.062491,0,1,42
5,EDR,ok,0.062536,0,1,42
6,EDR,ok,0.062838,0,1,42
7,EDR,ok,0.062842,0,1,42
9,EDR,ok,0.062886,0,1,42
16,EDR,ok,0.062986,0,1,42
10,EDR,ok,0.063,0,1,42
11,EDR,ok,0.063274,0,1,42
12,EDR,ok,0.063387,0,1,42
13,EDR,ok,0.063432,0,1,42
14,EDR,ok,0.063515,0,1,42
15,EDR,ok,0.063846,0,1,42
35,EDR,ok,0.064007,0,1,42
36,EDR,ok,0.064073,0,1,42
37,EDR,ok,0.064256,0,1,42
63,EDR,ok,0.064295,0,1,42
57,EDR,ok,0.064476,0,1,42
58,EDR,ok,0.064619,0,1,42
59,EDR,ok,0.064688,0,1,42
60,EDR,ok,0.064941,0,1,42
61,EDR,ok,0.065015,0,1,42
62,EDR,ok,0.065192,0,1,42
64,EDR,ok,0.06527,0,1,42
55,EDR,ok,0.065466,0,1,42
65,EDR,ok,0.065727,0,1,42
66,EDR,ok,0.066014,0,1,42
67,EDR,ok,0.066349,0,1,42
