architecture,joint,rmse,r2,mae,nrmse
FNN,J1,0.0758795,0.838755,0.0533632,0.0755292
FNN,J2,0.191594,0.869288,0.128958,0.0727406
FNN,J3,0.113184,0.907019,0.082253,0.0801748
FNN,J4,0.0420607,0.782621,0.0295753,0.0915848
FNN,J5,0.125083,0.610469,0.0780306,0.111755
Physics-Reg.,J1,0.0663257,0.876803,0.0489724,0.0660195
Physics-Reg.,J2,0.162044,0.906499,0.111065,0.0615215
Physics-Reg.,J3,0.102775,0.923334,0.0770416,0.072802
Physics-Reg.,J4,0.039849,0.804881,0.0277435,0.0867691
Physics-Reg.,J5,0.125509,0.607815,0.0881991,0.112135
EDR,J1,0.0483406,0.934558,0.035012,0.0481175
EDR,J2,0.133767,0.936286,0.0951351,0.0507858
EDR,J3,0.0818856,0.951332,0.0602621,0.0580045
EDR,J4,0.0319089,0.874891,0.0230879,0.0694799
EDR,J5,0.083436,0.826681,0.0593071,0.0745455
