epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,1.11400538,0.39834719,0.94560926,0.15639342,1.00000000,0.00000000
2,0.53012272,0.29156905,0.66066735,0.13232029,0.98000000,0.02000000
3,0.38729207,0.23206402,0.56925300,0.11685540,0.96000000,0.04000000
4,0.31446812,0.21236317,0.51664239,0.10933632,0.94000000,0.06000000
5,0.27364812,0.20252541,0.48518079,0.10594702,0.92000000,0.08000000
6,0.24579827,0.19379218,0.46291250,0.10348706,0.90000000,0.10000000
7,0.22470218,0.18716511,0.44512810,0.10195496,0.88000000,0.12000000
8,0.20796196,0.18504779,0.43105230,0.10061559,0.86000000,0.14000000
9,0.19416459,0.17913900,0.41916501,0.09967331,0.84000000,0.16000000
10,0.18346694,0.17725824,0.40992450,0.09848811,0.82000000,0.18000000
11,0.17375092,0.17557201,0.40145626,0.09769252,0.80000000,0.20000000
12,0.16555074,0.17268345,0.39437424,0.09761193,0.78000000,0.22000000
13,0.15842761,0.16832344,0.38845121,0.09641713,0.76000000,0.24000000
14,0.15230405,0.16632268,0.38359442,0.09535421,0.74000000,0.26000000
15,0.14657669,0.16474484,0.37922167,0.09521178,0.72000000,0.28000000
16,0.14125878,0.16225658,0.37535168,0.09474571,0.70000000,0.30000000
17,0.13658947,0.16129398,0.37247178,0.09406888,0.68000000,0.32000000
18,0.13197094,0.15753954,0.36988980,0.09332813,0.66000000,0.34000000
19,0.12787165,0.15932265,0.36801824,0.09375621,0.64000000,0.36000000
20,0.12391692,0.15670051,0.36655995,0.09280354,0.62000000,0.38000000
21,0.12005377,0.15787586,0.36531758,0.09342696,0.60000000,0.40000000
22,0.11651086,0.15667951,0.36479981,0.09268603,0.58000000,0.42000000
23,0.11309253,0.15628622,0.36474481,0.09284402,0.56000000,0.44000000
24,0.10982033,0.15792348,0.36526615,0.09306207,0.54000000,0.46000000
25,0.10635052,0.15494639,0.36558200,0.09274047,0.52000000,0.48000000
26,0.10314013,0.15514722,0.36660977,0.09285493,0.50000000,0.50000000
27,0.09984485,0.15703775,0.36790369,0.09317854,0.48000000,0.52000000
28,0.09659874,0.15521987,0.36959819,0.09248555,0.46000000,0.54000000
29,0.09347805,0.15668617,0.37175368,0.09299657,0.44000000,0.56000000
30,0.09025039,0.15793815,0.37397155,0.09322088,0.42000000,0.58000000
31,0.08702313,0.15941018,0.37672572,0.09400664,0.40000000,0.60000000
32,0.08636258,0.15642887,0.37583426,0.09317661,0.40000000,0.60000000
