epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.55214856,0.26840691,0.69470905,0.12216851
2,0.29204885,0.23338382,0.52916668,0.11289436
3,0.22010259,0.21641540,0.48146144,0.10847624
4,0.17678185,0.20652738,0.45572455,0.10544425
5,0.14459474,0.19926037,0.44239443,0.10362477
6,0.13419920,0.19310271,0.42788781,0.10127895
7,0.12615325,0.18744325,0.41477463,0.09958624
8,0.12043409,0.18242617,0.40480896,0.09813184
9,0.11606592,0.17767508,0.39634632,0.09670148
10,0.11272227,0.17644753,0.38929861,0.09695329
11,0.11003729,0.17282018,0.38338090,0.09582061
12,0.10781433,0.17346053,0.37811546,0.09527411
13,0.10588667,0.17135722,0.37330199,0.09390223
14,0.10416171,0.16810903,0.36892891,0.09423032
15,0.10277099,0.16609186,0.36524161,0.09400317
16,0.10140467,0.16483047,0.36169944,0.09360141
17,0.10026983,0.16582966,0.35864856,0.09356021
18,0.09924415,0.16315702,0.35586618,0.09293916
19,0.09829640,0.16199751,0.35319378,0.09269730
20,0.09755536,0.16127200,0.35111870,0.09250860
21,0.09670276,0.16099090,0.34882500,0.09235661
22,0.09603095,0.15946267,0.34692866,0.09247523
23,0.09527860,0.16023590,0.34471917,0.09226448
24,0.09469332,0.16036362,0.34305592,0.09220840
25,0.09417788,0.15909047,0.34155212,0.09204074
26,0.09359678,0.15912145,0.33994971,0.09212846
27,0.09316527,0.15934890,0.33860968,0.09233754
28,0.09269929,0.15796651,0.33736969,0.09199072
29,0.09231504,0.15820510,0.33616562,0.09185284
30,0.09189921,0.15823843,0.33480431,0.09129172
31,0.09149766,0.15800510,0.33381722,0.09189570
32,0.09120877,0.15747238,0.33292602,0.09198827
33,0.09079060,0.15976107,0.33165892,0.09268508
34,0.09053567,0.15935692,0.33083687,0.09218262
35,0.09025219,0.15775229,0.33003916,0.09182694
36,0.08995558,0.15715551,0.32911862,0.09167115
37,0.08968438,0.15626572,0.32829936,0.09147367
38,0.08939706,0.15667376,0.32753407,0.09166230
39,0.08911476,0.15935148,0.32686444,0.09181344
40,0.08888555,0.15814302,0.32586744,0.09166720
41,0.08877095,0.15655832,0.32558177,0.09156003
42,0.08854162,0.15810743,0.32485215,0.09178875
43,0.08826813,0.15699670,0.32408432,0.09180203
44,0.08812425,0.15790670,0.32366687,0.09179723
45,0.08789604,0.15831944,0.32299768,0.09197837
46,0.08769905,0.15911257,0.32248804,0.09213840
47,0.08754947,0.15751477,0.32200354,0.09196044
48,0.08748083,0.15848307,0.32162583,0.09159214
49,0.08725058,0.15610245,0.32099471,0.09121333
50,0.08710345,0.15822707,0.32053691,0.09194389
51,0.08694903,0.15858244,0.32013494,0.09172891
52,0.08680944,0.15867854,0.31960149,0.09206432
53,0.08673236,0.15805921,0.31940686,0.09178046
54,0.08661057,0.15990773,0.31897728,0.09178489
55,0.08645246,0.15809393,0.31859546,0.09150308
56,0.08637235,0.15757627,0.31824148,0.09184300
57,0.08626888,0.15708194,0.31801760,0.09140374
58,0.08611926,0.15808309,0.31756607,0.09183762
59,0.08608068,0.15838448,0.31742597,0.09149528
60,0.08593700,0.15788756,0.31695031,0.09141232
61,0.08582035,0.15711198,0.31665343,0.09124764
62,0.08570172,0.15854205,0.31627917,0.09142015
63,0.08568437,0.16073684,0.31617940,0.09220021
64,0.08554538,0.15792283,0.31577785,0.09148180
65,0.08548546,0.15913399,0.31560433,0.09158676
66,0.08541150,0.15786558,0.31534402,0.09122498
67,0.08533828,0.15803945,0.31509297,0.09171853
68,0.08529619,0.15940110,0.31498800,0.09198787
69,0.08518312,0.15764741,0.31467185,0.09155455
70,0.08516550,0.15748247,0.31447589,0.09149024
71,0.08509497,0.15767212,0.31447500,0.09160119
72,0.08504356,0.15896029,0.31419826,0.09165652
73,0.08499689,0.15778147,0.31406933,0.09170463
74,0.08503427,0.15899637,0.31429064,0.09167823
75,0.08493869,0.15881090,0.31396486,0.09171214
76,0.08480324,0.15910953,0.31351829,0.09162582
77,0.08483839,0.15818207,0.31363730,0.09154752
78,0.08479444,0.15781826,0.31339503,0.09148438
79,0.08470642,0.15882984,0.31316584,0.09161693
80,0.08472056,0.15839700,0.31315794,0.09163766
81,0.08455051,0.15867153,0.31273030,0.09153360
82,0.08461805,0.15895085,0.31298375,0.09156763
83,0.08458297,0.15837241,0.31285583,0.09155732
84,0.08457548,0.15881990,0.31282099,0.09151906
85,0.08454423,0.15904650,0.31268927,0.09165640
86,0.08447761,0.15826405,0.31257167,0.09137810
87,0.08448972,0.15836486,0.31255634,0.09142128
88,0.08446135,0.15886953,0.31258240,0.09161414
89,0.08445366,0.15913080,0.31245773,0.09168817
90,0.08438770,0.15897033,0.31222187,0.09158257
91,0.08445123,0.15956153,0.31246835,0.09182682
92,0.08440459,0.15878202,0.31223849,0.09155727
93,0.08438156,0.15905536,0.31226820,0.09166227
94,0.08436880,0.15868070,0.31205507,0.09153386
95,0.08439885,0.15890113,0.31226216,0.09152762
96,0.08438860,0.15888281,0.31219926,0.09156378
97,0.08436021,0.15867215,0.31224660,0.09151674
98,0.08440682,0.15860621,0.31236371,0.09154591
99,0.08437842,0.15878349,0.31225701,0.09161052
100,0.08432193,0.15863209,0.31216591,0.09155269
