epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.57791790,0.27073651,0.69443839,0.12250424,1.00000000,0.00000000
2,0.34880117,0.24588391,0.54347619,0.11583674,0.99600000,0.00400000
3,0.29521834,0.23107132,0.50170830,0.11202520,0.99200000,0.00800000
4,0.26258092,0.22408588,0.47379797,0.10989230,0.98800000,0.01200000
5,0.23826897,0.21858864,0.45162791,0.10819210,0.98400000,0.01600000
6,0.21870882,0.21221442,0.43284709,0.10634568,0.98000000,0.02000000
7,0.20232626,0.20721454,0.41620640,0.10515817,0.97600000,0.02400000
8,0.18903667,0.20273153,0.40222592,0.10349539,0.97200000,0.02800000
9,0.17776879,0.19911813,0.38987579,0.10225860,0.96800000,0.03200000
10,0.16787159,0.19802314,0.37851927,0.10180894,0.96400000,0.03600000
11,0.15972950,0.19577500,0.36902874,0.10053161,0.96000000,0.04000000
12,0.15224749,0.19593939,0.35983062,0.10017753,0.95600000,0.04400000
13,0.14608557,0.19609588,0.35191148,0.09939813,0.95200000,0.04800000
14,0.14033538,0.19187795,0.34444140,0.09936990,0.94800000,0.05200000
15,0.13544929,0.18862326,0.33786018,0.09851760,0.94400000,0.05600000
16,0.13095508,0.18587414,0.33161511,0.09773209,0.94000000,0.06000000
17,0.12688071,0.18848194,0.32594613,0.09846995,0.93600000,0.06400000
18,0.12322690,0.17731182,0.32065031,0.09608979,0.93200000,0.06800000
19,0.11954928,0.17697602,0.31520964,0.09638417,0.92800000,0.07200000
20,0.11684679,0.17330515,0.31113836,0.09572467,0.92400000,0.07600000
21,0.11401802,0.17314768,0.30669179,0.09507785,0.92000000,0.08000000
22,0.11133315,0.17369356,0.30249998,0.09609770,0.91600000,0.08400000
23,0.10900014,0.17027584,0.29861315,0.09480693,0.91200000,0.08800000
24,0.10686419,0.17319172,0.29515350,0.09511175,0.90800000,0.09200000
25,0.10500424,0.16802418,0.29192200,0.09335145,0.90400000,0.09600000
26,0.10326627,0.17051615,0.28872601,0.09499715,0.90000000,0.10000000
27,0.10127479,0.16907798,0.28546814,0.09417792,0.90000000,0.10000000
28,0.09952951,0.16849812,0.28245559,0.09364636,0.90000000,0.10000000
29,0.09786839,0.16766882,0.27958559,0.09349853,0.90000000,0.10000000
30,0.09655806,0.16910886,0.27729974,0.09363196,0.90000000,0.10000000
31,0.09502989,0.16903211,0.27468250,0.09430746,0.90000000,0.10000000
32,0.09369484,0.16578147,0.27216738,0.09377891,0.90000000,0.10000000
33,0.09245055,0.16685008,0.26983226,0.09422120,0.90000000,0.10000000
34,0.09141043,0.16916120,0.26800519,0.09461871,0.90000000,0.10000000
35,0.09041990,0.16906678,0.26614720,0.09446189,0.90000000,0.10000000
36,0.08924853,0.16674494,0.26398038,0.09348921,0.90000000,0.10000000
37,0.08818226,0.17111463,0.26205273,0.09472995,0.90000000,0.10000000
38,0.08745664,0.17102417,0.26063496,0.09451356,0.90000000,0.10000000
39,0.08669089,0.17074613,0.25912971,0.09432254,0.90000000,0.10000000
40,0.08565266,0.17071014,0.25715867,0.09422696,0.90000000,0.10000000
