epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.58682009,0.27257779,0.69023596,0.12272939,1.00000000,0.00000000
2,0.34801642,0.24642001,0.54104342,0.11577623,0.97200000,0.02800000
3,0.29716447,0.23123214,0.50158806,0.11192771,0.94400000,0.05600000
4,0.26669849,0.22064999,0.47574444,0.10947860,0.91600000,0.08400000
5,0.24519818,0.21259964,0.45664119,0.10718844,0.88800000,0.11200000
6,0.22994882,0.20504811,0.44237732,0.10516026,0.86000000,0.14000000
7,0.21827698,0.20223259,0.43137530,0.10404501,0.83200000,0.16800000
8,0.21100755,0.19789684,0.42477366,0.10298242,0.80400000,0.19600000
9,0.20842298,0.19324878,0.42304555,0.10205528,0.77600000,0.22400000
10,0.21320944,0.19409424,0.42921405,0.10207225,0.74800000,0.25200000
11,0.22512685,0.19956333,0.44244805,0.10315508,0.72000000,0.28000000
12,0.24251155,0.20443495,0.45904520,0.10481644,0.69200000,0.30800000
13,0.25757753,0.21156330,0.47156949,0.10678190,0.66400000,0.33600000
14,0.26766346,0.21184689,0.47909481,0.10703743,0.63600000,0.36400000
15,0.27409636,0.21585756,0.48365375,0.10796555,0.60800000,0.39200000
16,0.27876246,0.21764211,0.48677442,0.10837486,0.58000000,0.42000000
17,0.28247934,0.21857801,0.48928203,0.10866033,0.55200000,0.44800000
18,0.28533770,0.21942294,0.49124109,0.10869438,0.52400000,0.47600000
19,0.28784230,0.22001421,0.49295478,0.10900980,0.49600000,0.50400000
20,0.29000268,0.22227427,0.49458546,0.10932081,0.46800000,0.53200000
21,0.29227067,0.22488105,0.49612138,0.10983151,0.44000000,0.56000000
22,0.29494429,0.22556243,0.49750845,0.11009601,0.41200000,0.58800000
23,0.29690509,0.22551361,0.49910252,0.11039259,0.38400000,0.61600000
24,0.29887632,0.22777319,0.50058430,0.11087621,0.35600000,0.64400000
25,0.30077403,0.22957608,0.50194339,0.11140014,0.32800000,0.67200000
26,0.30334130,0.22964910,0.50351885,0.11121513,0.30000000,0.70000000
27,0.30460867,0.23301869,0.50483373,0.11207081,0.30000000,0.70000000
28,0.30668746,0.23285201,0.50608591,0.11212230,0.30000000,0.70000000
29,0.30819290,0.23595801,0.50735010,0.11253049,0.30000000,0.70000000
30,0.30957367,0.23635782,0.50857571,0.11274497,0.30000000,0.70000000
31,0.31069902,0.23746082,0.50982975,0.11300430,0.30000000,0.70000000
32,0.31266559,0.23910344,0.51097565,0.11335386,0.30000000,0.70000000
33,0.31383905,0.24140526,0.51219767,0.11416842,0.30000000,0.70000000
34,0.31541354,0.24158175,0.51345376,0.11387232,0.30000000,0.70000000
35,0.31725593,0.24430457,0.51461575,0.11484646,0.30000000,0.70000000
36,0.31817991,0.24471742,0.51581946,0.11503131,0.30000000,0.70000000
37,0.31965362,0.24503890,0.51698419,0.11506310,0.30000000,0.70000000
38,0.32130034,0.24809715,0.51816613,0.11568600,0.30000000,0.70000000
39,0.32204393,0.24865731,0.51930915,0.11591729,0.30000000,0.70000000
40,0.32434577,0.25103254,0.52054248,0.11653759,0.30000000,0.70000000
41,0.32503509,0.25230166,0.52153610,0.11669351,0.30000000,0.70000000
42,0.32650379,0.25322042,0.52270299,0.11701350,0.30000000,0.70000000
43,0.32800616,0.25540019,0.52375503,0.11692421,0.30000000,0.70000000
44,0.32942082,0.25470083,0.52486249,0.11718325,0.30000000,0.70000000
45,0.33046383,0.25808037,0.52589135,0.11814899,0.30000000,0.70000000
46,0.33130549,0.25754462,0.52684222,0.11800579,0.30000000,0.70000000
47,0.33297597,0.25931349,0.52779779,0.11856634,0.30000000,0.70000000
48,0.33363997,0.26171789,0.52883168,0.11889027,0.30000000,0.70000000
49,0.33488258,0.26148020,0.52972119,0.11848764,0.30000000,0.70000000
50,0.33612993,0.26284806,0.53070069,0.11923814,0.30000000,0.70000000
51,0.33720023,0.26469569,0.53144390,0.11948587,0.30000000,0.70000000
52,0.33836024,0.26580195,0.53237809,0.11971289,0.30000000,0.70000000
53,0.33932546,0.26597759,0.53321281,0.11959357,0.30000000,0.70000000
54,0.33983504,0.26620522,0.53392428,0.11990024,0.30000000,0.70000000
55,0.34084086,0.26855840,0.53466530,0.12042018,0.30000000,0.70000000
56,0.34221145,0.26784831,0.53535603,0.12020010,0.30000000,0.70000000
57,0.34240827,0.26947187,0.53610232,0.12043935,0.30000000,0.70000000
58,0.34301565,0.27086796,0.53670640,0.12108587,0.30000000,0.70000000
59,0.34424406,0.26969718,0.53735260,0.12019982,0.30000000,0.70000000
60,0.34444208,0.27012734,0.53795607,0.12071063,0.30000000,0.70000000
61,0.34548560,0.27017012,0.53854608,0.12105161,0.30000000,0.70000000
62,0.34579399,0.27178951,0.53910105,0.12109853,0.30000000,0.70000000
63,0.34658872,0.27520976,0.53956281,0.12173406,0.30000000,0.70000000
64,0.34750648,0.27453462,0.54003164,0.12179800,0.30000000,0.70000000
65,0.34774525,0.27495043,0.54055890,0.12180371,0.30000000,0.70000000
66,0.34856051,0.27333770,0.54100516,0.12160155,0.30000000,0.70000000
67,0.34871811,0.27538811,0.54133019,0.12170773,0.30000000,0.70000000
68,0.34891942,0.27590578,0.54176084,0.12213908,0.30000000,0.70000000
69,0.34976548,0.27645158,0.54215845,0.12212802,0.30000000,0.70000000
70,0.35016228,0.27693181,0.54252407,0.12209679,0.30000000,0.70000000
71,0.35053153,0.27781415,0.54288473,0.12269543,0.30000000,0.70000000
72,0.35085345,0.27821963,0.54312913,0.12210828,0.30000000,0.70000000
73,0.35083506,0.27708841,0.54345196,0.12235189,0.30000000,0.70000000
74,0.35170702,0.27853615,0.54374112,0.12254714,0.30000000,0.70000000
75,0.35212650,0.27830978,0.54400846,0.12235240,0.30000000,0.70000000
76,0.35173690,0.27783755,0.54419340,0.12218422,0.30000000,0.70000000
77,0.35224144,0.28008953,0.54446492,0.12278149,0.30000683,0.69999317
78,0.35250017,0.27857858,0.54460897,0.12266069,0.30002732,0.69997268
79,0.35292813,0.27947522,0.54481347,0.12276140,0.30006147,0.69993853
80,0.35272618,0.27937682,0.54502160,0.12308436,0.30010927,0.69989073
81,0.35351151,0.27842916,0.54514829,0.12257633,0.30017073,0.69982927
82,0.35333657,0.28052451,0.54533668,0.12304180,0.30024585,0.69975415
83,0.35364716,0.28000769,0.54545672,0.12279920,0.30033460,0.69966540
84,0.35375794,0.27812940,0.54556718,0.12238074,0.30043700,0.69956300
85,0.35352189,0.28063823,0.54567842,0.12274498,0.30055304,0.69944696
86,0.35338058,0.28147239,0.54581717,0.12330183,0.30068271,0.69931729
87,0.35421568,0.28107337,0.54592642,0.12297459,0.30082600,0.69917400
88,0.35421438,0.28158234,0.54597238,0.12312418,0.30098290,0.69901710
89,0.35393584,0.28005256,0.54603022,0.12283182,0.30115341,0.69884659
