epoch,train_loss,val_loss,train_rmse,val_rmse,w_d,w_p
1,0.35199803,0.19799260,0.53505536,0.10268885,1.00000000,0.00000000
2,0.23439591,0.18649192,0.44383420,0.10024667,1.00000000,0.00000000
3,0.20877347,0.18392181,0.41993924,0.09936022,1.00000000,0.00000000
4,0.19109493,0.18147607,0.40209796,0.09794885,1.00000000,0.00000000
5,0.17767150,0.18045133,0.38763368,0.09740175,1.00000000,0.00000000
6,0.16694563,0.17715452,0.37567165,0.09611676,1.00000000,0.00000000
7,0.15840656,0.17445444,0.36565356,0.09541595,1.00000000,0.00000000
8,0.15177750,0.17130028,0.35770195,0.09475196,1.00000000,0.00000000
9,0.14623661,0.16850585,0.35096376,0.09380364,1.00000000,0.00000000
10,0.14130147,0.16643416,0.34476166,0.09350045,1.00000000,0.00000000
11,0.13693898,0.16531451,0.33916735,0.09312729,1.00000000,0.00000000
12,0.13302647,0.16429770,0.33399145,0.09270474,1.00000000,0.00000000
13,0.12948418,0.16447515,0.32941173,0.09259997,1.00000000,0.00000000
14,0.12595518,0.16001628,0.32475096,0.09192237,1.00000000,0.00000000
15,0.12272603,0.16010081,0.32047052,0.09179349,1.00000000,0.00000000
16,0.11975777,0.15741002,0.31650200,0.09154442,1.00000000,0.00000000
17,0.11706134,0.15868061,0.31278047,0.09123795,1.00000000,0.00000000
18,0.11433292,0.15974448,0.30906004,0.09138403,1.00000000,0.00000000
19,0.11193722,0.15608084,0.30582050,0.09078245,1.00000000,0.00000000
20,0.10959973,0.15724759,0.30255797,0.09062065,1.00000000,0.00000000
21,0.10716873,0.15478004,0.29918534,0.09059028,1.00000000,0.00000000
22,0.10498606,0.15389171,0.29610136,0.09051295,1.00000000,0.00000000
23,0.10309909,0.15404994,0.29348805,0.09017232,1.00000000,0.00000000
24,0.10102546,0.15481349,0.29041927,0.09042459,1.00000000,0.00000000
25,0.09893004,0.15467650,0.28742899,0.09041769,1.00000000,0.00000000
26,0.09724069,0.15402348,0.28500640,0.09014100,1.00000000,0.00000000
27,0.09546898,0.15229886,0.28232659,0.08979708,1.00000000,0.00000000
28,0.09380024,0.15425345,0.27997488,0.09017128,1.00000000,0.00000000
29,0.09222529,0.15555426,0.27765812,0.09065497,1.00000000,0.00000000
30,0.09080953,0.15494952,0.27547067,0.09008710,1.00000000,0.00000000
31,0.08919513,0.15503918,0.27299981,0.09014154,1.00000000,0.00000000
32,0.08770150,0.15342120,0.27070413,0.09027662,1.00000000,0.00000000
33,0.08635906,0.15566212,0.26861464,0.09059492,1.00000000,0.00000000
34,0.08487365,0.15584557,0.26631631,0.09104323,1.00000000,0.00000000
35,0.08356444,0.15538374,0.26426478,0.09068091,1.00000000,0.00000000
36,0.08235164,0.15377620,0.26238502,0.09034332,1.00000000,0.00000000
37,0.08124171,0.15515503,0.26062773,0.09080013,1.00000000,0.00000000
38,0.07994376,0.15590783,0.25854959,0.09110851,1.00000000,0.00000000
39,0.07875173,0.15479124,0.25671445,0.09087457,1.00000000,0.00000000
40,0.07771245,0.15492063,0.25497152,0.09097340,1.00000000,0.00000000
