epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.45227814,0.19763856,0.60750539,0.10327268
2,0.26799428,0.18707393,0.47315101,0.09959796
3,0.22716045,0.18407428,0.43686434,0.09861128
4,0.20339205,0.18211646,0.41303876,0.09710159
5,0.18296477,0.17914978,0.39044018,0.09657334
6,0.16676603,0.17278594,0.37115071,0.09417476
7,0.15402202,0.17440609,0.35536855,0.09464291
8,0.14470778,0.17255853,0.34334413,0.09391155
9,0.13666262,0.16815771,0.33280411,0.09295100
10,0.13006984,0.16389687,0.32387572,0.09290592
11,0.12436311,0.16295768,0.31617265,0.09217367
12,0.11936900,0.16347137,0.30919406,0.09169754
13,0.11512159,0.16515798,0.30310546,0.09120082
14,0.11136186,0.15938978,0.29771725,0.09120916
15,0.10814694,0.16080346,0.29303023,0.09127688
16,0.10521662,0.15674659,0.28869929,0.09062074
17,0.10268367,0.16167825,0.28480269,0.09104981
18,0.10028671,0.15698034,0.28109166,0.09053981
19,0.09803708,0.16094677,0.27760963,0.09067248
20,0.09616011,0.16068009,0.27461575,0.09057853
21,0.09409455,0.16062368,0.27138317,0.09077012
22,0.09267997,0.15744797,0.26908186,0.09053842
23,0.09096516,0.16297602,0.26628444,0.09160477
24,0.08942701,0.16241892,0.26370717,0.09176276
25,0.08820154,0.16163144,0.26176255,0.09078335
26,0.08679224,0.16232983,0.25949398,0.09145272
27,0.08585243,0.16508341,0.25778946,0.09139473
28,0.08440588,0.16502550,0.25537062,0.09148433
29,0.08359381,0.16516231,0.25409291,0.09161623
30,0.08250777,0.16465071,0.25221791,0.09142780
31,0.08164026,0.16449176,0.25064093,0.09184642
32,0.08066364,0.16291421,0.24902693,0.09167338
33,0.08005255,0.16445314,0.24790874,0.09221591
34,0.07925015,0.16935226,0.24640022,0.09272615
35,0.07842707,0.16632930,0.24496677,0.09183396
36,0.07777534,0.16512552,0.24391229,0.09180098
37,0.07705093,0.16737366,0.24270393,0.09210966
38,0.07634440,0.16918530,0.24136456,0.09245868
39,0.07579947,0.16988156,0.24037226,0.09243592
40,0.07531315,0.16666581,0.23942487,0.09179471
41,0.07461705,0.16847767,0.23830719,0.09240579
42,0.07420825,0.17092964,0.23742674,0.09257955
43,0.07369216,0.16975354,0.23657931,0.09269518
44,0.07307594,0.16714951,0.23542238,0.09188651
45,0.07264683,0.17234104,0.23469368,0.09264580
46,0.07217524,0.17245617,0.23380239,0.09313806
47,0.07177347,0.17081719,0.23296916,0.09298263
48,0.07141732,0.17134965,0.23238270,0.09284236
49,0.07106019,0.16864421,0.23163670,0.09251974
50,0.07070319,0.16839707,0.23098260,0.09204588
51,0.07017990,0.17008506,0.23002036,0.09240970
52,0.06999687,0.17204937,0.22963766,0.09296859
53,0.06963224,0.16955992,0.22891997,0.09270594
54,0.06921001,0.17161931,0.22820964,0.09261643
55,0.06900345,0.16974968,0.22779969,0.09215769
56,0.06870314,0.17126595,0.22726309,0.09258172
57,0.06844452,0.17176341,0.22660864,0.09284740
58,0.06819269,0.17128531,0.22618361,0.09272958
59,0.06788252,0.17118432,0.22568372,0.09266436
60,0.06771515,0.17123470,0.22527815,0.09229444
61,0.06746666,0.17055498,0.22488072,0.09282523
62,0.06711674,0.17226873,0.22411320,0.09249037
63,0.06700678,0.17446438,0.22386253,0.09310892
64,0.06668762,0.17059618,0.22329719,0.09221601
65,0.06654376,0.17296231,0.22305261,0.09293421
66,0.06642324,0.17141789,0.22284698,0.09248618
67,0.06604293,0.17034744,0.22208366,0.09277641
68,0.06595016,0.17137215,0.22192934,0.09281076
69,0.06580732,0.17108958,0.22160520,0.09301035
70,0.06572550,0.17171773,0.22132647,0.09284513
71,0.06552696,0.17168005,0.22111634,0.09292595
72,0.06545733,0.17137427,0.22093935,0.09286721
73,0.06526164,0.17040317,0.22049300,0.09257783
74,0.06524448,0.17245764,0.22053940,0.09299706
75,0.06508028,0.16995159,0.22019271,0.09246665
76,0.06489301,0.17116758,0.21977719,0.09273343
77,0.06484263,0.17086029,0.21973847,0.09257180
78,0.06463436,0.17151666,0.21925696,0.09298363
79,0.06452275,0.17201518,0.21907679,0.09280643
80,0.06462784,0.17096397,0.21921967,0.09266633
81,0.06435151,0.17173457,0.21869993,0.09277754
82,0.06443698,0.17209598,0.21890580,0.09279117
