epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.46772902,0.22411211,0.62089929,0.11057518
2,0.18831451,0.15645645,0.39513322,0.09174366
3,0.13449472,0.14488561,0.33368737,0.08711354
4,0.11383809,0.13571544,0.30696810,0.08445543
5,0.10113879,0.13356039,0.28915763,0.08365697
6,0.09277390,0.12828999,0.27688732,0.08108206
7,0.08716605,0.12837939,0.26830046,0.08110050
8,0.08339122,0.12536495,0.26235311,0.07974939
9,0.08134873,0.12547689,0.25927107,0.07988568
10,0.08015379,0.12563214,0.25726879,0.07990700
