epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.21113708,0.36019553,0.98397897,0.14447285
2,0.43480645,0.21750445,0.59604777,0.10931220
3,0.30788075,0.19663688,0.50312170,0.10323955
4,0.27182466,0.18407404,0.47288980,0.09971153
5,0.24987146,0.17614970,0.45348337,0.09754610
6,0.23542280,0.17155938,0.44012884,0.09594050
7,0.22484479,0.16629244,0.43017859,0.09431807
8,0.21875564,0.16445430,0.42421336,0.09381490
9,0.21462267,0.16288263,0.42042676,0.09315444
10,0.21253672,0.16209934,0.41841179,0.09307435
