epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.27268594,0.44277003,0.99562952,0.16501277
2,0.58537573,0.31651789,0.69063986,0.13840335
3,0.46493271,0.26972589,0.61791220,0.12651581
4,0.39428140,0.24310117,0.57002694,0.11910041
5,0.34844753,0.22529685,0.53712810,0.11425900
6,0.31289060,0.21492286,0.50953131,0.11080714
7,0.28768283,0.20546268,0.48911854,0.10817011
8,0.26879469,0.19928728,0.47299318,0.10589767
9,0.25183219,0.19410075,0.45827705,0.10428910
10,0.23767647,0.19093153,0.44508578,0.10291728
11,0.22560565,0.18875710,0.43397094,0.10184902
12,0.21444535,0.18485301,0.42292572,0.10043003
13,0.20528664,0.18133540,0.41383738,0.09961880
14,0.19669241,0.17972940,0.40526488,0.09899970
15,0.18956233,0.17537649,0.39786230,0.09798028
16,0.18130704,0.17384292,0.38915414,0.09720539
17,0.17530163,0.17281115,0.38236701,0.09676263
18,0.16831565,0.17031301,0.37492065,0.09600144
19,0.16262681,0.16651461,0.36845488,0.09503622
20,0.15746698,0.16501980,0.36247599,0.09446971
21,0.15191528,0.16207608,0.35580173,0.09382708
22,0.14743467,0.16014887,0.35057290,0.09323704
23,0.14318969,0.15873185,0.34538318,0.09267278
24,0.13891892,0.15718674,0.34014399,0.09195114
25,0.13444974,0.15585666,0.33456483,0.09192144
26,0.13106944,0.15414875,0.33021998,0.09150196
27,0.12723952,0.15150061,0.32536983,0.09052385
28,0.12418751,0.15028987,0.32148722,0.09021821
29,0.12073326,0.14956822,0.31687753,0.09042270
30,0.11751735,0.14714009,0.31273007,0.08945126
31,0.11472605,0.14556911,0.30909276,0.08902690
32,0.11140813,0.14552307,0.30425436,0.08859384
33,0.10854662,0.14268252,0.30029458,0.08830504
34,0.10588818,0.14271842,0.29696565,0.08786094
35,0.10350496,0.14116690,0.29317207,0.08674874
36,0.10107536,0.14103084,0.28976818,0.08757257
37,0.09929201,0.13927020,0.28705194,0.08683763
38,0.09653395,0.13850125,0.28303454,0.08647503
39,0.09455634,0.13712955,0.28020465,0.08664437
40,0.09191480,0.13707206,0.27620449,0.08611598
41,0.09032810,0.13528745,0.27380530,0.08582772
42,0.08867739,0.13803838,0.27118309,0.08645509
43,0.08645375,0.13523765,0.26789422,0.08543573
44,0.08458588,0.13582608,0.26470348,0.08529067
45,0.08300141,0.13645395,0.26219294,0.08515248
46,0.08106401,0.13331444,0.25929141,0.08483504
47,0.07987222,0.13362201,0.25706863,0.08512074
48,0.07810550,0.13289375,0.25442168,0.08470739
49,0.07647467,0.13100084,0.25169731,0.08376803
50,0.07551017,0.13172272,0.24992977,0.08378456
51,0.07397112,0.13318256,0.24737676,0.08416473
52,0.07225166,0.13292269,0.24466983,0.08462838
53,0.07117440,0.13073489,0.24258391,0.08352545
54,0.06989709,0.13362836,0.24051204,0.08390254
55,0.06873026,0.13145135,0.23825483,0.08356537
56,0.06761275,0.13360275,0.23641551,0.08363524
57,0.06657755,0.13533169,0.23457176,0.08438470
58,0.06555484,0.13221378,0.23272114,0.08319414
59,0.06436038,0.13203770,0.23063685,0.08316853
60,0.06355768,0.13214215,0.22931245,0.08309270
61,0.06279984,0.13108064,0.22792957,0.08298725
62,0.06146297,0.13171435,0.22549451,0.08268537
63,0.06079417,0.13358456,0.22438674,0.08327711
64,0.05998086,0.13133825,0.22266341,0.08274130
65,0.05934678,0.13058061,0.22162587,0.08251439
66,0.05847869,0.13187691,0.21996448,0.08283955
67,0.05768066,0.13289163,0.21854234,0.08322400
68,0.05696755,0.13213889,0.21715662,0.08250752
69,0.05624199,0.13204808,0.21571097,0.08221595
70,0.05562929,0.13248280,0.21454120,0.08296493
71,0.05489542,0.13218894,0.21320860,0.08245082
72,0.05416262,0.13184640,0.21164514,0.08236179
73,0.05358024,0.13006333,0.21056364,0.08170054
74,0.05298447,0.12916020,0.20963114,0.08191843
75,0.05249234,0.13160384,0.20847308,0.08227424
76,0.05177379,0.13056800,0.20692532,0.08185163
77,0.05147832,0.13273217,0.20646890,0.08212077
78,0.05060994,0.13225752,0.20479454,0.08272096
79,0.05014815,0.13325494,0.20379135,0.08156626
80,0.04966199,0.12931722,0.20281766,0.08112280
81,0.04932720,0.13142450,0.20226690,0.08164728
82,0.04908734,0.13109750,0.20164466,0.08106056
83,0.04860173,0.12888067,0.20091120,0.08074147
84,0.04776416,0.13011600,0.19902455,0.08153145
85,0.04741272,0.13085454,0.19823465,0.08143467
86,0.04702230,0.13043830,0.19738912,0.08122622
87,0.04681972,0.13133236,0.19720920,0.08139870
88,0.04611008,0.12810183,0.19548476,0.08035685
89,0.04564881,0.13140218,0.19456132,0.08097148
90,0.04526393,0.13073207,0.19381033,0.08062033
91,0.04477344,0.12886724,0.19252029,0.08039680
92,0.04424221,0.12870752,0.19170929,0.08096841
93,0.04416966,0.13057843,0.19155272,0.08108260
94,0.04376192,0.12864838,0.19068032,0.08051654
95,0.04337975,0.13028529,0.18964190,0.08119210
96,0.04302134,0.12872179,0.18902961,0.08035982
97,0.04274698,0.12828025,0.18853094,0.07992310
98,0.04215323,0.12950265,0.18715642,0.08053600
99,0.04181529,0.12626571,0.18639294,0.07993989
100,0.04185633,0.13033259,0.18636902,0.08129107
101,0.04154849,0.12838533,0.18586822,0.08015006
102,0.04117421,0.12820445,0.18491631,0.07976076
103,0.04071980,0.13038771,0.18385890,0.08058252
104,0.04042278,0.12929272,0.18347104,0.08051605
105,0.04005840,0.12819699,0.18253849,0.08011444
106,0.03968091,0.12801152,0.18171375,0.07977013
107,0.03978617,0.12642306,0.18199672,0.07978334
108,0.03932625,0.12833016,0.18089513,0.08023425
109,0.03903059,0.12683863,0.18014283,0.07963903
110,0.03891769,0.12936867,0.17981344,0.08053094
111,0.03854156,0.12675929,0.17898599,0.07951630
