epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.68844480,0.25686526,0.74492830,0.12315689
2,0.33368944,0.21192649,0.52982292,0.11001158
3,0.26221822,0.19353511,0.47304326,0.10416911
4,0.22385158,0.18355235,0.43932452,0.10059446
5,0.19796914,0.17485826,0.41502380,0.09783808
6,0.17844681,0.16873196,0.39554677,0.09578020
7,0.16253599,0.16161220,0.37855773,0.09375390
8,0.14959119,0.15522294,0.36431110,0.09192027
9,0.13857337,0.14986381,0.35163435,0.09041553
10,0.12949993,0.14607015,0.34086198,0.08924276
11,0.12141555,0.14137082,0.33088850,0.08776241
12,0.11490525,0.13850570,0.32302514,0.08670650
13,0.10898766,0.13556154,0.31559604,0.08587693
14,0.10342514,0.13083807,0.30855358,0.08454433
15,0.09879443,0.12874890,0.30278313,0.08362168
16,0.09446588,0.12570210,0.29761091,0.08292732
17,0.09078552,0.12303245,0.29362395,0.08210984
18,0.08740521,0.12056168,0.29009646,0.08152068
19,0.08417634,0.11882344,0.28692558,0.08077306
20,0.08126692,0.11822658,0.28459071,0.08044653
21,0.07865760,0.11564674,0.28295358,0.07960986
22,0.07611871,0.11484914,0.28182302,0.07925493
23,0.07390886,0.11333186,0.28154897,0.07894611
24,0.07167062,0.11209295,0.28136646,0.07820939
25,0.06952164,0.11290966,0.28192202,0.07831746
26,0.06735760,0.11236825,0.28258454,0.07802956
27,0.06549976,0.11164325,0.28442107,0.07785665
28,0.06344769,0.11113744,0.28607083,0.07793731
29,0.06154980,0.10990313,0.28847770,0.07743605
30,0.05954390,0.11057447,0.29099353,0.07754238
31,0.05761441,0.11152293,0.29413648,0.07790752
32,0.05565994,0.11174831,0.29761738,0.07779367
33,0.05357102,0.11179615,0.30117060,0.07779389
34,0.05154129,0.11215454,0.30521850,0.07788292
35,0.04937894,0.11257847,0.30936917,0.07823823
36,0.04722791,0.11375534,0.31402060,0.07848337
37,0.04494401,0.11446387,0.31884261,0.07870819
38,0.04256793,0.11513899,0.32384090,0.07930419
39,0.04012878,0.11633548,0.32906065,0.07965296
40,0.03759682,0.11729403,0.33452323,0.08024624
41,0.03496995,0.11920685,0.34023941,0.08063766
42,0.03218864,0.12091824,0.34602944,0.08143856
43,0.02929336,0.12187863,0.35211773,0.08177499
44,0.02628206,0.12474664,0.35841744,0.08260264
45,0.02315756,0.12587895,0.36500887,0.08340332
46,0.01985798,0.12790311,0.37158490,0.08413927
47,0.01642104,0.13085977,0.37848285,0.08526429
48,0.01280408,0.13424426,0.38565787,0.08648055
49,0.00900707,0.13656911,0.39296961,0.08739596
50,0.00503057,0.14134361,0.40078025,0.08901087
51,0.00480276,0.14165604,0.40342106,0.08899509
52,0.00461067,0.14374869,0.40537279,0.08956796
53,0.00445960,0.14380052,0.40694164,0.08947733
54,0.00429947,0.14530631,0.40857270,0.09032357
55,0.00414217,0.14613046,0.41003845,0.09060044
56,0.00403988,0.14763519,0.41160745,0.09082283
57,0.00392200,0.14982063,0.41310758,0.09153774
58,0.00381524,0.15026303,0.41473393,0.09210891
59,0.00372318,0.15133687,0.41631918,0.09205175
60,0.00361705,0.15281010,0.41798500,0.09280845
61,0.00354382,0.15575658,0.41972614,0.09386606
62,0.00344569,0.15574596,0.42140838,0.09368769
63,0.00338133,0.15629694,0.42318524,0.09413213
64,0.00330376,0.15821077,0.42506442,0.09447182
65,0.00321435,0.16071542,0.42687130,0.09518774
66,0.00315201,0.16327404,0.42884205,0.09613811
67,0.00309188,0.16540036,0.43082918,0.09711470
68,0.00301648,0.16774309,0.43279215,0.09788758
69,0.00295271,0.16950589,0.43489769,0.09825953
70,0.00288689,0.17140512,0.43698384,0.09888563
71,0.00284287,0.17245106,0.43913711,0.09942077
72,0.00277867,0.17595115,0.44133647,0.10070423
73,0.00272314,0.17669321,0.44369407,0.10065275
74,0.00267014,0.18126856,0.44593502,0.10237750
75,0.00261095,0.18201789,0.44825620,0.10261857
76,0.00256369,0.18514981,0.45065625,0.10360463
77,0.00251983,0.18759625,0.45314565,0.10453867
78,0.00245743,0.19000453,0.45562311,0.10537789
79,0.00242164,0.19199898,0.45812282,0.10567871
80,0.00236791,0.19546112,0.46072183,0.10731678
81,0.00232621,0.19901254,0.46332739,0.10846311
82,0.00228073,0.20033758,0.46600890,0.10855603
83,0.00223794,0.20283606,0.46864974,0.10938164
84,0.00219374,0.20816051,0.47136406,0.11133263
85,0.00215025,0.21024647,0.47416126,0.11185893
86,0.00210778,0.21201311,0.47701141,0.11252304
87,0.00207039,0.21468041,0.47980825,0.11318872
88,0.00203284,0.21914109,0.48274225,0.11465054
89,0.00199010,0.22164767,0.48561219,0.11562822
90,0.00195073,0.22474194,0.48858538,0.11666001
91,0.00191679,0.22854843,0.49161440,0.11751937
92,0.00187556,0.23112464,0.49459235,0.11873468
93,0.00184098,0.23479799,0.49767139,0.11965047
94,0.00180982,0.23987791,0.50076184,0.12102059
95,0.00177228,0.24275191,0.50387904,0.12190466
96,0.00173861,0.24575548,0.50700168,0.12287264
97,0.00170249,0.25058360,0.51018288,0.12431663
98,0.00166720,0.25343010,0.51336647,0.12513401
99,0.00163743,0.25753773,0.51659398,0.12635771
100,0.00160061,0.26096928,0.51980856,0.12742474
