epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.26315123,0.44253254,0.99540377,0.16501292
2,0.57672502,0.31614298,0.69090423,0.13839414
3,0.45475155,0.26902351,0.61847308,0.12645333
4,0.38264009,0.24206817,0.57087478,0.11898818
5,0.33545276,0.22412069,0.53833411,0.11408496
6,0.29871929,0.21340117,0.51119342,0.11055950
7,0.27241410,0.20371377,0.49129004,0.10787380
8,0.25234641,0.19711636,0.47578031,0.10551311
9,0.23452937,0.19182852,0.46168613,0.10387627
10,0.21962706,0.18788470,0.44944829,0.10234933
11,0.20691203,0.18519479,0.43924409,0.10124439
12,0.19535901,0.18119534,0.42923738,0.09982363
13,0.18553347,0.17724571,0.42129072,0.09889253
14,0.17665905,0.17525680,0.41413338,0.09804444
15,0.16883562,0.17125560,0.40808196,0.09714206
16,0.16056770,0.16909792,0.40120620,0.09620366
17,0.15405111,0.16774399,0.39597035,0.09566543
18,0.14707122,0.16519378,0.39053080,0.09487075
19,0.14100190,0.16194016,0.38612524,0.09393123
20,0.13564745,0.16042016,0.38248668,0.09344577
21,0.12999910,0.15814406,0.37809341,0.09292466
22,0.12526107,0.15657654,0.37543945,0.09240859
23,0.12069434,0.15493690,0.37314349,0.09190058
24,0.11609748,0.15377309,0.37079505,0.09141875
25,0.11143563,0.15234480,0.36836955,0.09103535
26,0.10768038,0.15144053,0.36701272,0.09099439
27,0.10338006,0.14996309,0.36568720,0.09041687
28,0.09983714,0.14853518,0.36486668,0.08999783
29,0.09588530,0.14856464,0.36429549,0.09002037
30,0.09212388,0.14617687,0.36414092,0.08927744
31,0.08840012,0.14625457,0.36402742,0.08940331
32,0.08478007,0.14544373,0.36388364,0.08897036
33,0.08110210,0.14505378,0.36405111,0.08915943
34,0.07756610,0.14472945,0.36539978,0.08894292
35,0.07408468,0.14505701,0.36604568,0.08877258
36,0.07053685,0.14404784,0.36786303,0.08870957
37,0.06701696,0.14406037,0.36919584,0.08875476
38,0.06345625,0.14455502,0.37092012,0.08885230
39,0.05977469,0.14527736,0.37310432,0.08909914
40,0.05609407,0.14493204,0.37492429,0.08899568
41,0.05256734,0.14584314,0.37781965,0.08929348
42,0.04880388,0.14634945,0.38057774,0.08935688
43,0.04494453,0.14732694,0.38361197,0.08972818
44,0.04103102,0.14837304,0.38653516,0.08994980
45,0.03721974,0.14991182,0.39043149,0.09059096
46,0.03309659,0.15035516,0.39425123,0.09086482
47,0.02897687,0.15168759,0.39810396,0.09152842
48,0.02480488,0.15383234,0.40224429,0.09217842
49,0.02045742,0.15595725,0.40680898,0.09274009
50,0.01605738,0.15749766,0.41221073,0.09333534
51,0.01532703,0.15842293,0.41386939,0.09370344
52,0.01480695,0.15828477,0.41525526,0.09376576
53,0.01417645,0.15856464,0.41626788,0.09379754
54,0.01362845,0.15971622,0.41682157,0.09415105
55,0.01334599,0.15887987,0.41741435,0.09392617
56,0.01291798,0.15916936,0.41802676,0.09414823
57,0.01245011,0.15900786,0.41859058,0.09405932
58,0.01215380,0.15940069,0.41904159,0.09427904
59,0.01180917,0.15947238,0.41933661,0.09433294
60,0.01143750,0.15974102,0.41951079,0.09419595
61,0.01110809,0.15923130,0.42006268,0.09403078
62,0.01082168,0.15977949,0.42020427,0.09421282
63,0.01061522,0.16030338,0.42075790,0.09450628
64,0.01032620,0.15995205,0.42096412,0.09422305
65,0.00999983,0.15970121,0.42117961,0.09423426
66,0.00979127,0.15972301,0.42146075,0.09441664
67,0.00957800,0.16071598,0.42185978,0.09470436
68,0.00933086,0.16065138,0.42213705,0.09443316
69,0.00916601,0.15972448,0.42233844,0.09423912
70,0.00896280,0.16078544,0.42255597,0.09449842
71,0.00876827,0.16038074,0.42299832,0.09426877
72,0.00854467,0.16088528,0.42305734,0.09452546
73,0.00836742,0.16098677,0.42326454,0.09445842
74,0.00819433,0.16039408,0.42355186,0.09453121
75,0.00806072,0.16126545,0.42433842,0.09457290
76,0.00783611,0.16173662,0.42411228,0.09466791
77,0.00774759,0.16157146,0.42464789,0.09488607
78,0.00752986,0.16282937,0.42491718,0.09510684
79,0.00742873,0.16160970,0.42481404,0.09461175
80,0.00730082,0.16163432,0.42543347,0.09487206
81,0.00717422,0.16217806,0.42563539,0.09485349
82,0.00702242,0.16255524,0.42581091,0.09497737
83,0.00691850,0.16266012,0.42613465,0.09503345
84,0.00682541,0.16382232,0.42644723,0.09548019
85,0.00667947,0.16338657,0.42668047,0.09532473
86,0.00654570,0.16337661,0.42712050,0.09517162
87,0.00648472,0.16401411,0.42730333,0.09531013
88,0.00630720,0.16374146,0.42751602,0.09502710
89,0.00623315,0.16472351,0.42796061,0.09527709
90,0.00612045,0.16466951,0.42824077,0.09542293
91,0.00603131,0.16543292,0.42832972,0.09559862
92,0.00597191,0.16525363,0.42897190,0.09562571
93,0.00586743,0.16496916,0.42931197,0.09571370
94,0.00576793,0.16514942,0.42982673,0.09567436
95,0.00567925,0.16624387,0.42991419,0.09603603
96,0.00557793,0.16746394,0.43035278,0.09621952
97,0.00555453,0.16676655,0.43075463,0.09611534
98,0.00545475,0.16772236,0.43079950,0.09659983
99,0.00535032,0.16678045,0.43124932,0.09600254
100,0.00530504,0.16888841,0.43167032,0.09664933
