epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.61650502,0.31061913,0.79250956,0.13414795
2,0.20421587,0.18729692,0.48874413,0.10126600
3,0.14760731,0.16770538,0.42575614,0.09582202
4,0.12896670,0.15474907,0.40101358,0.09205053
5,0.11798733,0.14770384,0.38506215,0.09010974
6,0.11130255,0.14351912,0.37483285,0.08847318
7,0.10683959,0.13999400,0.36775372,0.08753087
8,0.10396062,0.13738334,0.36287421,0.08664424
9,0.10208198,0.13613494,0.35969464,0.08632363
10,0.10141017,0.13569252,0.35856177,0.08613420
