epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.88648920,0.86084772,1.19654950,0.23937192
2,0.91244482,0.48349610,0.85906800,0.17266213
3,0.66473877,0.37868920,0.73520659,0.15212737
4,0.56298970,0.32887572,0.67818205,0.14119783
5,0.50001189,0.29700422,0.64045614,0.13364866
6,0.45258086,0.27609093,0.61083947,0.12797896
7,0.41403290,0.25856989,0.58519002,0.12330565
8,0.38418429,0.24512257,0.56362359,0.12000903
9,0.36000813,0.23610658,0.54624910,0.11730532
10,0.33566897,0.22771781,0.52874339,0.11463995
11,0.31619136,0.22010388,0.51385126,0.11223715
12,0.30347581,0.21678839,0.50319557,0.11094484
13,0.28773219,0.21018849,0.49070028,0.10926377
14,0.27555898,0.20584751,0.48038915,0.10784551
15,0.26451475,0.20232470,0.47057456,0.10694250
16,0.25464582,0.19986889,0.46194719,0.10623906
17,0.24639339,0.19739999,0.45503319,0.10521982
18,0.24017438,0.19411215,0.44888394,0.10396358
19,0.23191171,0.19278744,0.44158254,0.10355250
20,0.22674139,0.19155922,0.43632370,0.10287234
21,0.21914701,0.18889020,0.42935980,0.10209751
22,0.21258344,0.18582742,0.42313274,0.10136697
23,0.20653075,0.18528446,0.41746113,0.10125477
24,0.20141136,0.18362209,0.41215942,0.10039519
25,0.19681802,0.18195283,0.40739136,0.09994723
26,0.19280007,0.18077363,0.40321958,0.09928251
27,0.18742075,0.17840757,0.39745755,0.09854062
28,0.18368974,0.17780672,0.39368967,0.09847839
29,0.17937885,0.17566104,0.38885121,0.09778586
30,0.17648034,0.17535677,0.38574647,0.09745290
31,0.17199540,0.17509645,0.38072247,0.09742846
32,0.16818550,0.17276668,0.37655106,0.09699069
33,0.16570596,0.16993311,0.37346234,0.09638031
34,0.16177714,0.16946319,0.36918788,0.09642185
35,0.15918125,0.16866660,0.36639698,0.09565448
36,0.15545041,0.16639903,0.36171021,0.09520160
37,0.15250704,0.16651103,0.35818113,0.09497896
38,0.15110168,0.16563701,0.35648429,0.09469870
39,0.14716711,0.16396629,0.35178705,0.09420454
40,0.14627621,0.16216532,0.35058348,0.09398708
41,0.14322868,0.16398507,0.34703047,0.09441143
42,0.13966017,0.16108161,0.34283640,0.09353600
43,0.13818078,0.15905140,0.34045828,0.09324171
44,0.13592237,0.15578925,0.33776966,0.09233311
45,0.13309136,0.15594046,0.33456958,0.09228081
46,0.13203804,0.15605959,0.33286645,0.09222665
47,0.12987226,0.15487154,0.33006062,0.09198895
48,0.12708657,0.15414184,0.32630041,0.09163445
49,0.12600371,0.15120796,0.32458782,0.09087907
50,0.12388227,0.15275115,0.32204702,0.09139913
51,0.12261368,0.15093614,0.31991342,0.09073610
52,0.12003506,0.15134164,0.31662797,0.09050289
53,0.11921004,0.15017308,0.31585800,0.09033181
54,0.11773699,0.14999385,0.31356507,0.09043098
55,0.11562070,0.14684811,0.31045873,0.08983455
56,0.11421886,0.14660915,0.30854088,0.08912191
57,0.11287613,0.14626189,0.30656309,0.08907835
58,0.11158370,0.14825348,0.30451533,0.08984591
59,0.10938835,0.14661069,0.30149150,0.08898511
60,0.10885364,0.14317888,0.30024176,0.08867422
61,0.10704154,0.14346105,0.29800044,0.08860065
62,0.10661085,0.14479407,0.29730870,0.08864030
63,0.10599674,0.14301770,0.29634468,0.08827964
64,0.10437758,0.14221789,0.29423251,0.08787548
65,0.10305249,0.14128095,0.29198582,0.08779870
66,0.10147867,0.14150638,0.28925534,0.08805467
67,0.10129924,0.14074363,0.28959476,0.08763301
68,0.09981510,0.13986351,0.28723958,0.08730139
69,0.09928774,0.13894393,0.28631340,0.08712748
70,0.09821747,0.14022268,0.28447663,0.08753511
71,0.09693137,0.13960256,0.28269189,0.08713229
72,0.09607349,0.13994092,0.28111197,0.08736722
73,0.09498925,0.13892792,0.27945110,0.08685177
74,0.09445743,0.13761123,0.27854788,0.08704995
75,0.09376036,0.13790225,0.27766798,0.08673252
76,0.09231720,0.13856946,0.27517938,0.08699139
77,0.09213026,0.13750145,0.27473729,0.08689249
78,0.09063067,0.13698133,0.27260870,0.08633819
79,0.09063195,0.13598197,0.27258458,0.08613970
80,0.09025696,0.13730152,0.27180756,0.08642688
81,0.08906499,0.13722746,0.26997317,0.08627349
82,0.08885913,0.13586700,0.26924616,0.08604935
83,0.08772185,0.13602384,0.26794962,0.08581660
84,0.08735344,0.13437891,0.26724046,0.08528686
85,0.08622325,0.13612536,0.26476594,0.08568019
86,0.08545703,0.13416814,0.26379070,0.08479560
87,0.08540941,0.13312354,0.26365453,0.08521533
88,0.08463885,0.13348031,0.26227544,0.08502589
89,0.08392499,0.13544996,0.26134075,0.08559193
90,0.08307917,0.13266685,0.25953761,0.08507915
91,0.08293397,0.13424698,0.25990500,0.08492110
92,0.08173472,0.13594056,0.25783009,0.08547293
93,0.08172767,0.13591743,0.25777396,0.08544662
94,0.08098968,0.13434744,0.25601206,0.08519434
95,0.08069823,0.13407215,0.25567586,0.08527685
96,0.07929391,0.13238923,0.25284308,0.08455637
97,0.07915091,0.13269995,0.25322542,0.08501526
98,0.07937652,0.13401965,0.25316266,0.08496814
