epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.40595166,0.14285419,0.56556644,0.08940994
2,0.17834923,0.12165179,0.38150629,0.08042309
3,0.14184305,0.11967629,0.34146131,0.07921592
4,0.12700640,0.11632204,0.32357606,0.07762189
5,0.11685739,0.11504171,0.31069042,0.07706028
6,0.10936007,0.11401808,0.30051106,0.07657509
7,0.10409027,0.11204154,0.29307135,0.07596332
8,0.10082199,0.11123097,0.28834333,0.07571054
9,0.09879680,0.11077428,0.28541432,0.07546716
10,0.09779609,0.11072113,0.28400817,0.07554712
