epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.05948177,0.40321386,0.90518299,0.16535133
2,0.61595004,0.25801554,0.70125421,0.12983692
3,0.49415060,0.20661150,0.63088785,0.11479568
4,0.42401572,0.18091329,0.58577694,0.10603811
5,0.37462779,0.16329634,0.55164054,0.09972504
6,0.33639070,0.15266263,0.52342723,0.09531054
7,0.30531615,0.14373534,0.49995332,0.09155569
8,0.28038405,0.13722350,0.47902540,0.08920717
9,0.26021001,0.13305132,0.46176575,0.08729359
10,0.24238429,0.12963580,0.44703094,0.08560774
11,0.22714900,0.12681093,0.43285596,0.08427233
12,0.21721478,0.12544377,0.42309096,0.08337644
13,0.20618704,0.12311892,0.41257316,0.08256186
14,0.19841552,0.12169445,0.40514611,0.08193940
15,0.19132049,0.12048082,0.39713870,0.08153456
16,0.18435897,0.11939217,0.39020318,0.08106921
17,0.17934998,0.11885156,0.38543054,0.08075706
18,0.17553368,0.11829182,0.38093553,0.08056256
19,0.17070262,0.11783190,0.37579713,0.08025395
20,0.16706522,0.11775975,0.37187164,0.08017832
21,0.16326382,0.11712942,0.36759974,0.07997539
22,0.15928873,0.11661729,0.36323812,0.07986361
23,0.15575567,0.11649975,0.35932303,0.07987190
24,0.15319990,0.11580116,0.35636246,0.07957250
25,0.15067485,0.11595632,0.35358399,0.07956409
26,0.14845829,0.11618721,0.35063405,0.07949964
27,0.14470869,0.11535027,0.34646860,0.07916062
28,0.14353780,0.11611837,0.34493712,0.07952158
29,0.13992883,0.11619060,0.34087579,0.07943831
30,0.13809443,0.11592277,0.33872242,0.07918308
31,0.13642820,0.11595261,0.33657194,0.07924747
32,0.13366969,0.11575638,0.33324124,0.07923048
33,0.13202973,0.11473036,0.33126938,0.07881710
34,0.12875484,0.11548862,0.32757099,0.07910541
35,0.12735361,0.11590558,0.32568987,0.07908371
36,0.12576653,0.11509266,0.32345756,0.07897491
37,0.12321970,0.11600207,0.32043964,0.07896762
38,0.12226830,0.11586434,0.31878309,0.07881499
39,0.11962700,0.11526777,0.31547908,0.07868194
40,0.11811836,0.11567407,0.31371785,0.07886496
41,0.11627157,0.11586456,0.31126468,0.07882815
42,0.11422190,0.11550622,0.30860284,0.07868198
43,0.11298672,0.11598161,0.30683405,0.07893240
44,0.11112705,0.11389846,0.30423433,0.07817119
45,0.10910966,0.11416949,0.30197689,0.07811713
46,0.10771943,0.11374220,0.29966641,0.07809740
47,0.10644861,0.11483368,0.29813094,0.07826765
48,0.10415454,0.11444201,0.29489500,0.07825494
49,0.10360925,0.11327431,0.29402388,0.07784727
50,0.10185239,0.11361795,0.29158627,0.07826356
51,0.10075365,0.11306027,0.29002245,0.07789501
52,0.09914894,0.11355374,0.28783578,0.07781031
53,0.09792171,0.11398799,0.28597655,0.07791993
54,0.09686644,0.11426247,0.28449525,0.07810651
55,0.09540169,0.11251893,0.28228159,0.07768267
56,0.09382838,0.11282941,0.27991248,0.07753426
57,0.09292600,0.11254627,0.27850291,0.07734992
58,0.09227265,0.11427938,0.27738034,0.07782094
59,0.09055765,0.11313975,0.27499448,0.07754790
60,0.08995017,0.11215819,0.27413760,0.07714749
61,0.08858589,0.11214453,0.27211337,0.07727317
62,0.08814612,0.11327550,0.27139065,0.07739546
63,0.08737037,0.11355723,0.27006286,0.07747149
64,0.08643185,0.11268679,0.26853230,0.07709558
65,0.08553584,0.11188691,0.26725578,0.07731614
66,0.08456004,0.11319741,0.26560598,0.07724892
67,0.08402649,0.11306288,0.26522173,0.07746345
68,0.08321587,0.11327498,0.26361570,0.07734374
69,0.08211436,0.11181613,0.26185901,0.07685298
70,0.08166466,0.11155562,0.26098515,0.07687887
71,0.08119478,0.11269391,0.26015571,0.07724443
72,0.08004135,0.11252695,0.25859193,0.07721798
73,0.07924092,0.11241014,0.25707790,0.07721732
74,0.07887557,0.11224660,0.25655971,0.07725289
