epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.47247061,0.14321137,0.61489731,0.09176563
2,0.24273354,0.12408748,0.44635737,0.08301601
3,0.19212010,0.11828688,0.39812868,0.08064182
4,0.16833928,0.11660349,0.37303555,0.07965742
5,0.15329025,0.11479887,0.35617307,0.07903879
6,0.14181917,0.11437082,0.34279184,0.07864931
7,0.13167808,0.11400347,0.33068095,0.07836583
8,0.12290025,0.11294392,0.31972219,0.07775186
9,0.11487352,0.11244967,0.30929566,0.07732148
10,0.10782245,0.11083574,0.29973681,0.07687444
11,0.10135360,0.10985568,0.29070778,0.07643471
12,0.09561103,0.11040366,0.28229598,0.07650476
13,0.09025098,0.10925418,0.27433135,0.07615981
14,0.08552556,0.10830406,0.26694811,0.07590127
15,0.08126824,0.11039786,0.26013150,0.07620095
16,0.07708228,0.10977249,0.25340857,0.07609022
17,0.07355669,0.11133150,0.24762638,0.07632799
18,0.06999572,0.11132404,0.24148104,0.07627471
19,0.06688739,0.11228809,0.23616061,0.07658726
20,0.06374540,0.11218226,0.23068331,0.07616732
21,0.06102942,0.11341591,0.22569986,0.07657330
22,0.05854272,0.11438294,0.22118331,0.07656750
23,0.05616070,0.11391909,0.21669256,0.07641993
24,0.05390164,0.11228788,0.21245827,0.07609127
25,0.05180293,0.11415586,0.20839838,0.07638642
26,0.04979273,0.11504481,0.20438989,0.07659629
27,0.04783949,0.11348370,0.20049376,0.07599770
28,0.04620335,0.11317122,0.19698275,0.07612381
29,0.04441400,0.11244240,0.19321840,0.07557114
30,0.04291288,0.11367024,0.18999661,0.07588626
31,0.04143293,0.11114799,0.18680901,0.07492564
32,0.04008552,0.11276105,0.18379035,0.07548929
33,0.03888004,0.11305586,0.18104717,0.07528504
34,0.03751743,0.11143403,0.17795696,0.07492902
35,0.03639299,0.11031042,0.17522402,0.07470333
36,0.03524374,0.10809661,0.17250924,0.07424688
37,0.03442840,0.10920017,0.17053449,0.07414435
38,0.03329470,0.11039933,0.16776837,0.07451040
39,0.03234362,0.10881362,0.16535947,0.07430105
40,0.03149450,0.10930145,0.16331635,0.07422693
41,0.03067716,0.10969756,0.16117702,0.07482903
42,0.02984213,0.10907121,0.15899461,0.07446809
43,0.02901893,0.10842276,0.15682559,0.07442204
44,0.02836291,0.10931115,0.15507911,0.07401028
45,0.02765019,0.10764826,0.15322895,0.07379985
46,0.02696306,0.10741424,0.15118446,0.07369117
47,0.02634242,0.10679227,0.14949814,0.07377017
48,0.02576278,0.10751637,0.14789274,0.07407757
49,0.02510776,0.10856016,0.14604390,0.07423628
50,0.02457813,0.10760097,0.14446919,0.07419168
51,0.02404433,0.10761018,0.14298787,0.07428438
52,0.02356167,0.10718138,0.14157013,0.07391553
53,0.02309040,0.10625421,0.14016886,0.07343203
54,0.02257537,0.10714731,0.13862264,0.07357593
55,0.02220808,0.10751284,0.13749217,0.07406156
56,0.02177735,0.10776496,0.13605819,0.07422814
57,0.02134664,0.10676038,0.13476663,0.07375819
58,0.02092886,0.10693732,0.13351345,0.07383589
59,0.02063860,0.10592762,0.13255606,0.07361588
60,0.02034908,0.10864372,0.13165887,0.07441361
61,0.02000543,0.10582045,0.13056414,0.07361265
62,0.01968956,0.10825657,0.12957222,0.07441838
63,0.01945332,0.10767281,0.12876865,0.07384069
64,0.01919969,0.10770762,0.12797141,0.07422219
65,0.01892978,0.10914622,0.12707127,0.07443852
66,0.01868315,0.10586421,0.12616597,0.07351851
67,0.01845722,0.10839183,0.12546168,0.07413804
68,0.01824506,0.10720505,0.12473270,0.07402575
69,0.01799047,0.10834025,0.12391048,0.07406652
70,0.01775549,0.10702085,0.12303252,0.07411984
71,0.01761457,0.10889574,0.12261099,0.07451950
72,0.01736641,0.10833489,0.12177351,0.07405943
73,0.01717557,0.10733970,0.12106222,0.07371607
74,0.01699424,0.10800236,0.12048079,0.07373253
75,0.01682057,0.10750103,0.11982424,0.07384017
76,0.01675224,0.10810369,0.11958332,0.07357449
77,0.01651903,0.10800355,0.11875151,0.07396343
78,0.01635132,0.10600589,0.11818488,0.07337505
79,0.01625241,0.10801840,0.11777176,0.07403565
80,0.01596209,0.10661837,0.11680087,0.07360408
81,0.01585100,0.10599752,0.11639398,0.07331412
82,0.01580264,0.10618609,0.11615042,0.07353829
83,0.01560829,0.10653323,0.11553314,0.07332156
84,0.01546388,0.10549730,0.11493741,0.07298385
85,0.01542139,0.10722899,0.11484887,0.07366752
86,0.01526271,0.10733323,0.11423816,0.07377367
87,0.01513717,0.10612989,0.11373823,0.07327822
88,0.01503777,0.10580026,0.11337539,0.07295300
89,0.01489698,0.10604336,0.11289367,0.07333483
90,0.01480436,0.10751382,0.11249752,0.07339304
91,0.01466564,0.10726928,0.11197097,0.07350846
92,0.01460149,0.10701531,0.11171060,0.07347351
93,0.01452796,0.10677561,0.11141764,0.07335521
94,0.01444593,0.10650961,0.11112735,0.07330658
95,0.01428672,0.10670672,0.11057798,0.07326561
96,0.01425105,0.10684963,0.11043946,0.07352205
97,0.01411490,0.10629315,0.10985209,0.07304761
98,0.01407521,0.10672683,0.10971326,0.07353226
99,0.01397379,0.10733417,0.10930170,0.07320839
100,0.01390523,0.10650120,0.10908984,0.07327746
101,0.01383640,0.10682602,0.10879931,0.07318532
102,0.01372356,0.10629696,0.10834062,0.07320852
103,0.01370552,0.10751961,0.10825591,0.07308303
104,0.01357147,0.10656716,0.10780552,0.07316307
105,0.01347737,0.10750713,0.10741570,0.07296499
106,0.01344468,0.10625833,0.10725582,0.07279447
107,0.01336974,0.10655853,0.10694121,0.07313443
108,0.01333601,0.10632953,0.10675887,0.07279794
109,0.01321367,0.10612908,0.10634989,0.07282329
110,0.01321144,0.10703894,0.10641558,0.07280626
111,0.01317636,0.10694125,0.10616361,0.07292970
112,0.01304783,0.10506127,0.10567582,0.07225377
113,0.01299519,0.10637343,0.10543606,0.07270009
114,0.01294032,0.10806343,0.10526109,0.07326774
115,0.01295437,0.10686445,0.10529041,0.07284212
116,0.01283553,0.10745992,0.10482510,0.07278424
117,0.01281070,0.10657103,0.10470902,0.07262257
118,0.01271560,0.10700731,0.10431622,0.07279949
119,0.01271644,0.10709196,0.10429097,0.07271986
120,0.01264761,0.10640500,0.10405632,0.07247234
121,0.01259893,0.10751237,0.10384364,0.07288494
122,0.01254233,0.10688784,0.10359011,0.07245882
123,0.01252063,0.10614753,0.10350178,0.07253654
124,0.01246263,0.10569014,0.10327826,0.07244037
125,0.01241476,0.10651171,0.10307158,0.07244823
126,0.01236584,0.10787885,0.10290107,0.07296850
127,0.01230427,0.10738989,0.10266063,0.07314177
128,0.01232254,0.10801874,0.10265138,0.07305518
129,0.01219073,0.10541788,0.10217383,0.07260019
130,0.01222180,0.10785601,0.10229986,0.07277294
131,0.01211552,0.10700659,0.10186065,0.07275328
132,0.01211674,0.10683926,0.10185857,0.07273586
133,0.01210891,0.10590250,0.10182690,0.07260300
134,0.01206019,0.10582905,0.10163192,0.07265083
135,0.01197336,0.10759328,0.10124648,0.07309390
136,0.01198567,0.10685133,0.10127949,0.07290400
137,0.01196855,0.10692725,0.10117470,0.07242542
138,0.01194399,0.10687835,0.10108607,0.07267865
139,0.01187122,0.10719001,0.10080572,0.07267120
140,0.01182767,0.10800110,0.10062832,0.07295482
141,0.01180561,0.10744782,0.10054512,0.07272202
142,0.01175167,0.10719476,0.10028603,0.07290089
143,0.01173752,0.10644256,0.10021634,0.07254848
144,0.01167234,0.10740193,0.09997609,0.07284454
145,0.01165247,0.10774920,0.09990817,0.07285469
146,0.01162798,0.10756232,0.09981159,0.07269912
147,0.01164455,0.10771588,0.09983695,0.07263965
148,0.01159606,0.10846961,0.09969190,0.07291324
149,0.01154253,0.10758249,0.09940527,0.07279564
150,0.01149175,0.10788315,0.09920020,0.07276728
151,0.01153283,0.10709693,0.09936659,0.07270227
152,0.01146673,0.10704226,0.09904778,0.07260564
153,0.01145059,0.10737553,0.09900303,0.07283700
154,0.01143382,0.10806958,0.09895441,0.07287921
155,0.01140917,0.10783956,0.09880340,0.07273805
156,0.01134113,0.10703409,0.09854927,0.07248219
157,0.01135860,0.10698937,0.09863864,0.07248198
158,0.01131070,0.10719877,0.09838524,0.07231785
159,0.01127671,0.10771220,0.09826849,0.07279453
160,0.01125982,0.10844386,0.09816233,0.07285251
161,0.01126778,0.10824745,0.09820913,0.07288485
162,0.01123067,0.10734050,0.09807643,0.07270417
