epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.13343175,0.40229551,0.93572658,0.16068947
2,0.62982320,0.24979391,0.70096479,0.12741712
3,0.50450634,0.20628445,0.62682762,0.11500914
4,0.43306944,0.17605348,0.58172184,0.10513539
5,0.38282162,0.15883130,0.54891504,0.09887614
6,0.34285774,0.14659169,0.52074223,0.09433446
7,0.30966415,0.13901749,0.49545749,0.09113932
8,0.28357190,0.13303225,0.47567077,0.08845485
9,0.26316418,0.12868415,0.45917743,0.08645418
10,0.24555625,0.12596473,0.44374109,0.08512064
11,0.23216953,0.12370065,0.43201599,0.08388309
12,0.22000496,0.12129832,0.42126771,0.08275247
13,0.21020652,0.12073821,0.41179398,0.08238700
14,0.20189224,0.11990677,0.40431123,0.08182232
15,0.19489311,0.11889391,0.39717764,0.08125186
16,0.18640236,0.11822378,0.38874887,0.08091939
17,0.18286151,0.11725696,0.38542582,0.08055828
18,0.17751616,0.11736134,0.37912254,0.08041146
19,0.17297913,0.11624740,0.37488755,0.08010752
20,0.16849453,0.11630631,0.37004414,0.08022270
21,0.16657349,0.11635033,0.36813034,0.07997013
22,0.16165654,0.11621688,0.36239986,0.07974824
23,0.15838147,0.11579439,0.35910247,0.07978019
24,0.15558171,0.11556620,0.35550060,0.07958982
25,0.15283446,0.11567223,0.35274359,0.07975656
26,0.15049032,0.11577449,0.34978054,0.07949540
27,0.14754800,0.11523910,0.34628567,0.07946516
28,0.14465343,0.11541049,0.34272377,0.07955344
29,0.14283039,0.11477859,0.34090362,0.07933417
30,0.14010759,0.11507959,0.33748369,0.07919700
31,0.13862782,0.11476038,0.33553335,0.07904511
32,0.13593146,0.11519073,0.33232005,0.07924416
33,0.13347978,0.11561354,0.32935506,0.07937085
34,0.13197599,0.11432705,0.32738163,0.07915859
35,0.12996196,0.11474664,0.32500508,0.07882082
36,0.12876151,0.11405397,0.32327128,0.07860985
37,0.12601717,0.11523757,0.31998371,0.07900359
38,0.12477856,0.11425823,0.31795588,0.07846625
39,0.12278038,0.11431557,0.31549501,0.07854980
40,0.12106111,0.11500378,0.31322036,0.07858616
41,0.11978307,0.11365969,0.31159598,0.07825571
42,0.11872032,0.11327215,0.30990679,0.07805653
43,0.11645320,0.11393397,0.30682284,0.07805448
44,0.11491951,0.11349300,0.30499595,0.07809414
45,0.11375336,0.11244950,0.30310994,0.07771430
46,0.11167879,0.11329482,0.30005517,0.07790739
47,0.11074351,0.11319536,0.29895139,0.07775390
48,0.10940272,0.11282809,0.29727475,0.07776012
49,0.10827421,0.11213057,0.29513536,0.07742765
50,0.10674929,0.11210804,0.29328706,0.07740706
51,0.10531425,0.11248760,0.29095830,0.07751361
52,0.10439132,0.11123590,0.28970699,0.07696210
53,0.10255749,0.11114098,0.28680296,0.07718067
54,0.10125979,0.11259054,0.28533981,0.07739023
55,0.10059814,0.11103383,0.28379571,0.07707740
56,0.09922533,0.11040116,0.28209573,0.07696203
57,0.09797157,0.11087007,0.27991764,0.07695773
58,0.09687449,0.11104992,0.27826856,0.07713335
59,0.09626545,0.11131344,0.27712979,0.07743300
60,0.09522058,0.11062432,0.27580301,0.07698276
61,0.09406613,0.10942270,0.27378860,0.07661630
62,0.09351782,0.11027459,0.27295789,0.07686659
63,0.09228510,0.11146600,0.27100563,0.07701156
64,0.09138047,0.11020031,0.26933359,0.07662126
65,0.09047152,0.10980195,0.26831545,0.07701471
66,0.08959953,0.11078947,0.26673913,0.07703864
67,0.08902917,0.11136050,0.26597764,0.07715451
68,0.08795850,0.10954818,0.26397241,0.07656765
69,0.08726897,0.11092000,0.26290998,0.07689512
70,0.08688447,0.10911012,0.26212499,0.07648321
71,0.08590558,0.11083769,0.26041049,0.07689453
72,0.08521036,0.10974455,0.25926391,0.07672977
73,0.08464488,0.10879867,0.25864109,0.07667899
74,0.08355516,0.11036259,0.25669458,0.07670350
75,0.08270000,0.10965866,0.25534902,0.07700941
76,0.08266422,0.11049323,0.25507053,0.07720869
77,0.08157795,0.10912570,0.25356221,0.07658279
78,0.08188380,0.11007700,0.25370837,0.07710555
79,0.08028080,0.11069601,0.25095201,0.07700885
80,0.08013995,0.10957638,0.25088759,0.07689805
81,0.07955784,0.10982113,0.24962393,0.07701004
82,0.07882264,0.11035903,0.24851863,0.07684795
83,0.07886035,0.11209678,0.24865404,0.07740495
84,0.07754966,0.10975662,0.24658004,0.07674733
85,0.07758427,0.10996886,0.24629852,0.07685852
86,0.07636771,0.10898667,0.24437126,0.07673676
87,0.07619109,0.11038048,0.24373450,0.07712393
88,0.07547507,0.11087436,0.24297116,0.07727589
89,0.07513127,0.10912499,0.24231307,0.07690066
90,0.07454952,0.10936406,0.24119513,0.07678099
91,0.07412734,0.10959377,0.24026493,0.07644135
92,0.07369572,0.10879682,0.23979222,0.07654950
93,0.07284804,0.11043029,0.23807858,0.07737972
94,0.07258411,0.10902589,0.23733648,0.07645408
95,0.07176278,0.11196934,0.23640212,0.07731965
96,0.07208950,0.10950585,0.23671410,0.07644790
97,0.07137348,0.11061716,0.23539940,0.07688035
98,0.07103264,0.10880492,0.23488312,0.07618698
99,0.07003999,0.11058477,0.23342207,0.07697880
100,0.06980681,0.10963021,0.23257958,0.07713295
101,0.06946871,0.10815044,0.23183711,0.07627910
102,0.06917212,0.11001936,0.23134549,0.07655467
103,0.06893495,0.11055599,0.23134211,0.07648463
104,0.06832982,0.10986775,0.22963330,0.07649388
105,0.06793585,0.10827540,0.22888616,0.07649158
106,0.06780053,0.10912950,0.22878376,0.07674869
107,0.06720028,0.11019135,0.22788048,0.07657491
108,0.06655553,0.10956998,0.22686172,0.07645506
109,0.06654330,0.10984313,0.22672889,0.07669089
110,0.06582751,0.11081112,0.22532488,0.07703257
111,0.06578322,0.10998891,0.22499923,0.07655794
112,0.06480272,0.10991634,0.22315430,0.07663211
113,0.06469738,0.11088327,0.22301496,0.07670162
114,0.06417661,0.11024716,0.22194327,0.07667482
115,0.06406659,0.11070822,0.22181357,0.07669455
116,0.06345698,0.10959637,0.22051662,0.07673609
117,0.06343690,0.10920285,0.22055923,0.07633775
118,0.06335268,0.11011805,0.22073194,0.07654514
119,0.06257616,0.10945549,0.21910497,0.07623896
120,0.06267723,0.10888082,0.21913238,0.07605008
121,0.06204515,0.10884229,0.21760500,0.07636850
122,0.06176281,0.10954454,0.21734379,0.07613250
123,0.06146627,0.10878328,0.21662218,0.07586369
124,0.06127706,0.10984827,0.21658582,0.07654443
125,0.06144568,0.10919224,0.21672342,0.07604873
126,0.06058552,0.10817652,0.21510529,0.07592905
127,0.06018114,0.10928240,0.21414362,0.07623758
128,0.06037655,0.10914313,0.21446725,0.07598364
129,0.05972311,0.10947169,0.21337344,0.07601934
130,0.05961569,0.10951467,0.21288307,0.07602108
131,0.05940784,0.11019153,0.21266610,0.07608864
132,0.05852550,0.10946401,0.21109371,0.07599988
133,0.05870570,0.11029083,0.21125614,0.07617916
134,0.05817308,0.10926185,0.21039051,0.07598867
135,0.05813526,0.11063839,0.20994697,0.07625518
136,0.05793060,0.10960990,0.20978863,0.07599862
137,0.05737100,0.10936645,0.20837138,0.07594276
138,0.05732841,0.10917229,0.20837303,0.07603241
139,0.05677009,0.10833197,0.20747002,0.07548152
140,0.05696091,0.10881988,0.20766049,0.07563549
141,0.05650604,0.10922307,0.20679043,0.07610166
142,0.05625627,0.10890049,0.20635306,0.07575538
143,0.05586651,0.10930449,0.20551377,0.07583916
144,0.05603590,0.10851246,0.20583879,0.07548006
145,0.05538645,0.10804670,0.20461864,0.07564906
146,0.05525303,0.10852461,0.20430451,0.07530286
147,0.05434703,0.10791583,0.20233253,0.07544462
148,0.05470273,0.10878309,0.20308343,0.07577115
149,0.05473914,0.10844978,0.20327359,0.07536526
150,0.05469676,0.10812912,0.20285464,0.07555060
151,0.05430754,0.10951111,0.20202641,0.07571582
152,0.05387746,0.10885747,0.20132394,0.07570420
153,0.05389552,0.10917089,0.20159277,0.07587738
154,0.05349395,0.10791215,0.20030508,0.07538459
155,0.05316713,0.10800370,0.19971438,0.07539269
156,0.05300802,0.10707508,0.19962101,0.07483648
157,0.05290025,0.10664459,0.19909027,0.07472196
158,0.05285224,0.10708123,0.19913963,0.07488278
159,0.05203166,0.10764367,0.19735841,0.07489155
160,0.05206573,0.10775925,0.19731123,0.07515529
161,0.05218548,0.10800743,0.19770296,0.07509185
162,0.05196219,0.10692463,0.19738561,0.07488310
163,0.05155175,0.10622146,0.19648686,0.07442890
164,0.05123461,0.10764178,0.19568955,0.07520607
165,0.05121206,0.10709307,0.19538560,0.07486997
166,0.05089049,0.10743064,0.19484224,0.07513776
167,0.05057015,0.10676072,0.19435805,0.07490563
168,0.05069489,0.10655542,0.19436363,0.07501028
