epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.69357706,0.25721244,0.74491861,0.12320810
2,0.33879400,0.21263967,0.52947550,0.11013164
3,0.26817472,0.19471194,0.47230157,0.10438926
4,0.23032321,0.18535883,0.43806159,0.10093612
5,0.20459866,0.17731041,0.41303021,0.09832301
6,0.18492789,0.17173917,0.39266258,0.09643313
7,0.16853018,0.16505234,0.37460189,0.09455034
8,0.15496200,0.15895540,0.35911818,0.09278531
9,0.14301975,0.15421357,0.34492004,0.09144699
10,0.13304440,0.15093082,0.33258694,0.09037176
11,0.12381860,0.14657185,0.32077656,0.08890666
12,0.11632067,0.14456915,0.31080557,0.08810662
13,0.10932584,0.14293808,0.30122587,0.08763447
14,0.10257101,0.13775822,0.29176571,0.08631813
15,0.09695413,0.13733343,0.28344529,0.08578875
16,0.09147460,0.13382562,0.27532327,0.08488762
17,0.08686016,0.13394398,0.26829084,0.08481620
18,0.08259908,0.13206846,0.26156110,0.08440225
19,0.07851586,0.13116720,0.25486264,0.08396233
20,0.07477304,0.13241797,0.24877955,0.08368417
21,0.07147915,0.13001810,0.24314358,0.08322490
22,0.06836664,0.13135210,0.23781480,0.08295997
23,0.06577319,0.13008270,0.23323713,0.08275041
24,0.06311475,0.12784988,0.22839623,0.08178867
25,0.06063568,0.13028288,0.22397161,0.08220009
26,0.05824212,0.13045207,0.21950509,0.08212499
27,0.05648119,0.13035459,0.21616150,0.08229661
28,0.05440268,0.12968953,0.21220029,0.08187557
29,0.05265772,0.12688004,0.20877036,0.08116241
30,0.05094220,0.12868935,0.20535603,0.08157241
31,0.04943264,0.12814751,0.20237893,0.08131114
32,0.04817510,0.12974422,0.19971532,0.08130267
33,0.04652418,0.12797964,0.19642424,0.08081185
34,0.04538326,0.12861854,0.19399085,0.08073213
35,0.04408782,0.12651871,0.19131319,0.08050552
36,0.04289921,0.12691486,0.18870695,0.07999219
37,0.04183963,0.12888826,0.18631674,0.08092665
38,0.04085393,0.12894793,0.18413162,0.08053252
39,0.03979823,0.12740898,0.18178566,0.08020112
