epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.88718357,0.86090730,1.19656387,0.23937375
2,0.91312935,0.48351629,0.85907520,0.17266116
3,0.66547916,0.37872685,0.73518835,0.15212986
4,0.56381067,0.32891796,0.67815396,0.14120155
5,0.50092099,0.29706286,0.64041675,0.13365438
6,0.45356717,0.27617686,0.61078796,0.12798736
7,0.41506722,0.25866601,0.58512295,0.12331698
8,0.38529985,0.24525014,0.56354010,0.12002869
9,0.36118550,0.23625045,0.54615546,0.11732830
10,0.33688626,0.22788964,0.52863017,0.11466729
11,0.31744230,0.22028173,0.51372810,0.11226358
12,0.30479289,0.21703006,0.50305006,0.11098592
13,0.28907659,0.21043598,0.49054488,0.10930727
14,0.27692568,0.20610815,0.48020640,0.10789305
15,0.26590843,0.20260313,0.47037689,0.10699694
16,0.25605788,0.20021849,0.46172546,0.10630553
17,0.24782942,0.19781134,0.45479179,0.10529914
18,0.24164102,0.19452152,0.44862074,0.10403972
19,0.23336836,0.19331323,0.44128079,0.10365734
20,0.22822477,0.19206812,0.43601154,0.10297455
21,0.22061136,0.18947120,0.42901647,0.10221215
22,0.21400022,0.18638974,0.42274342,0.10149054
23,0.20793404,0.18596869,0.41704730,0.10139789
24,0.20280009,0.18433359,0.41171017,0.10054731
25,0.19818266,0.18270860,0.40691173,0.10010246
26,0.19416735,0.18164499,0.40270618,0.09946183
27,0.18871222,0.17920445,0.39692138,0.09870261
28,0.18494658,0.17870181,0.39310280,0.09867446
29,0.18057595,0.17664684,0.38821263,0.09798731
30,0.17767393,0.17636055,0.38510134,0.09766803
31,0.17312688,0.17625088,0.37998161,0.09766218
32,0.16924122,0.17383826,0.37580752,0.09723352
33,0.16672638,0.17098036,0.37264847,0.09662832
34,0.16270823,0.17073899,0.36834167,0.09673454
35,0.16005711,0.16984110,0.36549977,0.09590656
36,0.15624170,0.16764080,0.36074597,0.09549352
37,0.15320934,0.16782200,0.35720101,0.09527575
38,0.15178342,0.16696844,0.35544284,0.09500644
39,0.14770280,0.16538790,0.35067096,0.09450296
40,0.14679140,0.16348862,0.34942627,0.09432109
41,0.14362241,0.16561805,0.34579258,0.09478214
42,0.13992857,0.16258047,0.34157125,0.09385958
43,0.13840386,0.16058486,0.33915151,0.09361938
44,0.13604768,0.15732543,0.33639754,0.09270981
45,0.13310013,0.15746815,0.33315352,0.09263466
46,0.13194167,0.15759446,0.33135347,0.09259363
47,0.12971388,0.15658505,0.32858422,0.09240339
48,0.12678792,0.15590819,0.32470020,0.09206411
49,0.12564978,0.15293856,0.32296035,0.09128948
50,0.12338831,0.15470861,0.32032885,0.09188189
51,0.12201654,0.15284061,0.31819477,0.09120926
52,0.11930009,0.15322869,0.31482782,0.09091410
53,0.11839892,0.15215885,0.31399558,0.09078624
54,0.11683307,0.15192552,0.31168420,0.09086398
55,0.11460847,0.14887055,0.30856108,0.09030920
56,0.11306589,0.14863508,0.30659873,0.08957546
57,0.11167337,0.14824144,0.30460258,0.08950050
58,0.11027026,0.15053358,0.30247432,0.09039428
59,0.10794265,0.14867999,0.29946332,0.08945291
60,0.10737117,0.14525060,0.29816513,0.08918778
61,0.10547363,0.14565081,0.29596158,0.08911861
62,0.10499830,0.14710168,0.29521336,0.08916741
63,0.10431255,0.14518970,0.29418926,0.08879139
64,0.10259916,0.14442848,0.29208444,0.08841007
65,0.10121106,0.14357307,0.28984800,0.08834133
66,0.09953109,0.14392265,0.28713909,0.08866672
67,0.09934100,0.14294137,0.28736077,0.08818891
68,0.09775084,0.14222164,0.28502231,0.08784735
69,0.09719841,0.14128463,0.28417740,0.08769675
70,0.09606299,0.14277307,0.28219549,0.08816450
71,0.09471010,0.14228038,0.28046944,0.08776834
72,0.09379294,0.14252297,0.27887589,0.08798359
73,0.09262737,0.14137163,0.27718419,0.08744952
74,0.09208691,0.14012294,0.27631150,0.08768403
75,0.09133283,0.14039492,0.27540560,0.08734878
76,0.08976187,0.14127432,0.27279520,0.08767497
77,0.08962182,0.14026504,0.27254628,0.08758332
78,0.08802338,0.13981819,0.27029090,0.08701633
79,0.08802961,0.13871130,0.27036606,0.08684103
80,0.08762933,0.14028972,0.26955082,0.08714292
81,0.08637589,0.14011064,0.26765925,0.08698308
82,0.08612459,0.13875623,0.26692768,0.08674102
83,0.08492928,0.13898397,0.26561337,0.08651479
84,0.08455248,0.13723002,0.26484771,0.08599098
85,0.08334687,0.13910883,0.26245440,0.08640397
86,0.08251648,0.13717739,0.26142852,0.08551183
87,0.08250076,0.13605010,0.26142227,0.08595634
88,0.08168678,0.13646408,0.25997126,0.08575814
89,0.08089878,0.13869379,0.25897997,0.08638913
90,0.08001251,0.13571003,0.25721935,0.08587182
91,0.07988582,0.13745048,0.25759383,0.08570860
92,0.07865404,0.13942403,0.25562830,0.08632366
93,0.07863262,0.13932166,0.25546099,0.08625263
94,0.07784756,0.13772641,0.25375574,0.08602098
95,0.07756297,0.13749424,0.25340546,0.08616864
96,0.07604836,0.13563396,0.25057089,0.08535995
97,0.07590330,0.13608934,0.25097913,0.08588121
98,0.07617319,0.13751596,0.25093470,0.08583126
99,0.07481776,0.13699369,0.24908649,0.08592393
100,0.07416851,0.13657023,0.24793598,0.08536211
101,0.07388971,0.13592750,0.24730101,0.08520066
102,0.07301823,0.13542259,0.24615696,0.08529205
103,0.07300092,0.13667568,0.24561623,0.08514081
104,0.07191960,0.13571823,0.24405675,0.08506928
105,0.07197736,0.13556016,0.24412996,0.08528848
106,0.07145071,0.13511232,0.24290239,0.08497833
107,0.07048246,0.13598848,0.24162249,0.08521551
108,0.07040389,0.13849457,0.24144619,0.08598756
109,0.07013854,0.13675150,0.24058321,0.08516389
110,0.07019429,0.13440911,0.24065468,0.08466925
111,0.06928409,0.13520027,0.23946113,0.08489290
112,0.06907115,0.13485186,0.23908397,0.08465454
113,0.06888304,0.13675543,0.23848211,0.08501260
114,0.06780665,0.13510007,0.23716881,0.08490404
115,0.06746276,0.13529222,0.23617440,0.08516881
116,0.06765012,0.13486922,0.23676712,0.08473475
117,0.06669326,0.13644466,0.23504188,0.08513150
118,0.06633810,0.13632639,0.23429453,0.08474135
119,0.06568640,0.13485691,0.23288491,0.08456789
120,0.06542884,0.13375153,0.23260759,0.08406183
121,0.06496155,0.13496552,0.23189557,0.08458644
122,0.06450179,0.13577468,0.23145556,0.08487512
123,0.06475911,0.13525094,0.23119880,0.08438906
