epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.70480515,0.25353094,0.75873151,0.12292673
2,0.33823188,0.21202517,0.53337020,0.11041586
3,0.26479687,0.19566590,0.47578536,0.10475644
4,0.22470309,0.18540913,0.44065225,0.10143101
5,0.19837561,0.17697309,0.41574264,0.09850977
6,0.17779505,0.16946651,0.39491181,0.09635102
7,0.16187278,0.16274196,0.37790402,0.09464124
8,0.14881319,0.15613135,0.36314335,0.09277654
9,0.13810532,0.15015058,0.35083609,0.09137440
10,0.12887478,0.14616393,0.33963164,0.09010912
11,0.12096213,0.14026407,0.32993457,0.08829850
12,0.11412184,0.13785749,0.32125226,0.08752768
13,0.10823854,0.13357877,0.31390808,0.08610177
14,0.10296539,0.13102632,0.30727788,0.08511204
15,0.09828367,0.12798614,0.30147615,0.08448919
16,0.09423975,0.12591901,0.29679583,0.08297584
17,0.09049294,0.12291977,0.29263476,0.08245202
18,0.08691416,0.12123489,0.28890606,0.08169826
19,0.08396704,0.11833511,0.28615949,0.08075751
20,0.08105656,0.11667705,0.28402066,0.07997458
21,0.07854674,0.11555624,0.28253698,0.07989802
22,0.07614822,0.11355998,0.28174691,0.07912470
23,0.07389364,0.11349104,0.28151514,0.07896084
24,0.07164898,0.11240134,0.28133757,0.07865556
25,0.06957839,0.11126270,0.28220108,0.07838968
26,0.06754555,0.11029658,0.28326444,0.07785615
27,0.06556237,0.10964810,0.28475681,0.07708094
28,0.06361239,0.10834479,0.28674032,0.07709443
29,0.06168983,0.10852298,0.28908450,0.07697510
30,0.05966998,0.10949875,0.29164107,0.07772641
31,0.05768934,0.10842046,0.29454614,0.07689403
32,0.05569824,0.10917086,0.29808594,0.07702054
33,0.05368186,0.10830029,0.30175869,0.07688408
34,0.05159178,0.11051682,0.30576288,0.07782461
35,0.04942638,0.11079971,0.30985687,0.07787078
36,0.04720967,0.11177005,0.31435778,0.07821229
37,0.04495889,0.11244041,0.31921133,0.07827468
38,0.04258792,0.11288986,0.32417954,0.07864536
39,0.04012246,0.11479891,0.32934348,0.07903922
40,0.03760508,0.11648948,0.33493378,0.07980170
41,0.03492284,0.11806485,0.34043151,0.08032053
42,0.03216309,0.12035790,0.34623401,0.08110992
43,0.02927199,0.12034135,0.35235302,0.08146186
44,0.02624598,0.12254899,0.35859872,0.08241301
45,0.02311255,0.12540634,0.36503439,0.08342164
46,0.01980773,0.12807122,0.37168647,0.08415981
47,0.01635921,0.13059312,0.37855058,0.08525791
48,0.01273681,0.13324659,0.38568830,0.08649265
49,0.00895028,0.13610036,0.39303832,0.08747834
50,0.00495310,0.14002380,0.40058388,0.08886125
51,0.00473879,0.14139171,0.40328305,0.08899945
52,0.00454119,0.14358303,0.40509764,0.08982134
53,0.00439699,0.14406487,0.40673748,0.08980357
54,0.00425748,0.14445402,0.40831732,0.09006304
55,0.00411050,0.14610201,0.40971559,0.09051255
56,0.00399976,0.14649868,0.41121413,0.09068863
57,0.00388796,0.14866701,0.41266274,0.09125664
58,0.00378377,0.15137721,0.41427463,0.09232067
59,0.00367697,0.15115982,0.41590888,0.09205805
60,0.00359331,0.15291639,0.41754594,0.09294131
61,0.00350562,0.15499970,0.41915580,0.09358144
62,0.00342751,0.15618940,0.42090676,0.09411296
63,0.00333059,0.15659983,0.42261739,0.09413019
64,0.00326965,0.15768172,0.42450167,0.09451572
65,0.00319086,0.16063006,0.42629324,0.09540847
66,0.00312531,0.16281350,0.42822709,0.09601821
67,0.00305342,0.16414124,0.43018220,0.09659732
68,0.00300253,0.16660744,0.43221875,0.09762034
69,0.00293213,0.16847254,0.43431349,0.09831264
70,0.00287059,0.17043422,0.43632780,0.09876864
71,0.00280989,0.17228174,0.43844970,0.09951537
72,0.00275893,0.17454032,0.44074360,0.10045098
73,0.00270870,0.17730948,0.44302530,0.10130585
74,0.00264769,0.17875412,0.44519844,0.10176609
75,0.00260074,0.18030413,0.44759681,0.10229742
76,0.00255074,0.18472943,0.45000685,0.10377248
77,0.00250672,0.18516996,0.45255627,0.10405430
78,0.00245405,0.18965422,0.45490494,0.10548824
79,0.00241060,0.19232185,0.45748206,0.10650429
80,0.00236198,0.19472508,0.46002281,0.10690492
81,0.00231621,0.19682443,0.46267425,0.10779484
82,0.00226499,0.20004639,0.46529954,0.10874522
83,0.00222559,0.20346027,0.46797900,0.10984516
84,0.00218200,0.20534514,0.47072526,0.11059800
85,0.00214784,0.20862697,0.47350446,0.11164417
86,0.00210152,0.21077388,0.47624617,0.11248441
87,0.00206228,0.21606897,0.47909901,0.11424521
88,0.00202351,0.21763815,0.48196124,0.11432886
89,0.00198575,0.22002746,0.48489356,0.11553065
90,0.00194913,0.22429104,0.48776728,0.11663949
91,0.00191109,0.22703620,0.49076595,0.11727394
92,0.00187252,0.23015000,0.49365983,0.11834595
93,0.00183776,0.23278003,0.49669958,0.11897472
94,0.00180346,0.23751558,0.49974697,0.12056575
95,0.00176703,0.24169562,0.50277492,0.12179007
96,0.00173148,0.24475660,0.50586125,0.12243835
97,0.00170320,0.24779683,0.50903713,0.12343130
98,0.00167163,0.25064979,0.51223331,0.12439425
99,0.00163767,0.25632458,0.51544106,0.12624713
100,0.00160343,0.25936012,0.51860700,0.12702855
