epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.94964708,0.32183795,0.87627219,0.14074430
2,0.45379620,0.24897532,0.61034600,0.12166651
3,0.35722094,0.22176667,0.54427020,0.11316326
4,0.30138914,0.20852126,0.50146498,0.10885515
5,0.26629760,0.19902114,0.47247286,0.10561720
6,0.24116979,0.19140158,0.44995447,0.10315868
7,0.22203090,0.18608059,0.43220769,0.10132554
8,0.20644632,0.18087927,0.41677721,0.09963299
9,0.19238166,0.17602591,0.40249781,0.09855112
10,0.18119218,0.17210837,0.39040314,0.09688408
11,0.17064372,0.16727740,0.37889026,0.09583314
12,0.16117580,0.16335831,0.36800187,0.09474973
13,0.15341679,0.15982169,0.35875973,0.09382225
14,0.14571297,0.15680795,0.34970656,0.09292054
15,0.13924774,0.15353876,0.34159753,0.09187874
16,0.13309805,0.15069611,0.33367878,0.09165771
17,0.12759319,0.14799902,0.32643741,0.09060695
18,0.12241672,0.14489580,0.31957261,0.08932706
19,0.11761942,0.14361392,0.31290659,0.08921291
20,0.11330682,0.14055236,0.30679423,0.08807770
21,0.10911081,0.13990077,0.30084775,0.08785208
22,0.10510344,0.13839932,0.29483367,0.08693596
23,0.10147092,0.13793830,0.28940764,0.08693049
24,0.09804800,0.13494291,0.28415959,0.08609341
25,0.09500231,0.13524802,0.27930821,0.08608285
26,0.09218628,0.13266681,0.27469997,0.08517875
27,0.08957052,0.13114027,0.27047075,0.08488001
28,0.08699821,0.12935955,0.26620256,0.08344692
29,0.08449744,0.13148593,0.26194175,0.08396510
30,0.08218846,0.12861941,0.25792676,0.08363453
31,0.08037730,0.12635912,0.25469763,0.08336350
32,0.07817760,0.12525227,0.25088459,0.08259809
33,0.07625353,0.12537764,0.24711728,0.08223516
34,0.07486828,0.12358330,0.24450559,0.08177561
35,0.07295840,0.12404216,0.24091962,0.08130763
36,0.07148948,0.12426809,0.23794496,0.08185985
37,0.06996336,0.12144703,0.23490115,0.08101158
38,0.06856064,0.12329203,0.23202283,0.08126355
39,0.06740213,0.12184542,0.22965529,0.08064084
40,0.06627477,0.12183741,0.22723431,0.08117467
41,0.06475724,0.12138875,0.22398910,0.08091878
42,0.06374364,0.11979562,0.22164180,0.07991133
43,0.06266339,0.11765935,0.21934192,0.07970469
44,0.06162049,0.12019244,0.21687955,0.08021779
45,0.06067928,0.11761997,0.21481947,0.07926706
46,0.05999243,0.11940335,0.21316388,0.07920722
47,0.05893933,0.11632959,0.21060290,0.07838480
48,0.05815511,0.11663717,0.20868989,0.07894067
49,0.05738232,0.11539413,0.20675657,0.07832994
50,0.05664260,0.11380311,0.20486061,0.07774827
51,0.05587909,0.11398322,0.20298759,0.07825942
52,0.05500873,0.11433410,0.20121532,0.07800744
53,0.05441557,0.11365890,0.19968925,0.07742594
54,0.05353388,0.11329691,0.19753842,0.07731207
55,0.05284637,0.11439651,0.19602632,0.07762688
56,0.05231750,0.11364498,0.19457824,0.07771431
57,0.05159311,0.11277501,0.19286937,0.07713144
58,0.05105710,0.11285440,0.19153004,0.07713649
59,0.05035111,0.11466678,0.18991739,0.07724947
60,0.04981743,0.11335939,0.18848249,0.07736427
61,0.04933214,0.11262056,0.18742966,0.07724345
62,0.04885489,0.11149400,0.18620400,0.07692478
63,0.04831513,0.11277022,0.18471824,0.07663193
64,0.04778542,0.11132621,0.18337366,0.07641038
65,0.04740070,0.11223237,0.18237094,0.07667949
66,0.04678055,0.11169293,0.18069891,0.07674849
67,0.04654961,0.11208711,0.18015152,0.07651875
68,0.04608186,0.11225214,0.17890797,0.07639080
69,0.04565549,0.11125747,0.17781258,0.07631406
70,0.04525723,0.11022618,0.17665192,0.07636069
71,0.04498700,0.11337861,0.17590290,0.07695364
72,0.04464835,0.11085483,0.17503984,0.07642003
73,0.04441321,0.11120273,0.17440712,0.07645536
74,0.04406268,0.11115858,0.17342366,0.07633334
75,0.04357537,0.11192871,0.17214839,0.07688171
76,0.04339185,0.11369856,0.17152271,0.07634512
77,0.04316951,0.10976651,0.17093413,0.07554356
78,0.04274359,0.11217169,0.16980336,0.07683930
79,0.04255915,0.11131715,0.16926700,0.07582813
80,0.04227811,0.11042714,0.16835707,0.07579020
81,0.04196359,0.11264614,0.16761083,0.07640376
82,0.04162150,0.11112409,0.16660831,0.07581253
83,0.04143789,0.11213907,0.16595195,0.07587190
84,0.04126734,0.11089312,0.16547395,0.07601062
85,0.04101974,0.11106992,0.16482366,0.07541283
86,0.04074923,0.11262798,0.16397942,0.07666626
87,0.04061284,0.11235481,0.16362036,0.07614597
88,0.04038323,0.11211790,0.16286331,0.07594759
89,0.04007272,0.11128312,0.16205928,0.07596897
90,0.03985504,0.11044897,0.16125335,0.07580806
91,0.03969945,0.11296384,0.16090139,0.07629992
92,0.03959718,0.11219402,0.16055774,0.07646189
93,0.03934403,0.11114306,0.15980337,0.07551785
94,0.03920413,0.11456001,0.15932011,0.07663222
95,0.03900912,0.11065373,0.15877138,0.07594986
96,0.03882333,0.11364308,0.15824238,0.07645921
97,0.03869154,0.11135769,0.15773339,0.07601334
98,0.03852055,0.11179895,0.15728670,0.07609556
99,0.03836067,0.11379044,0.15681140,0.07623561
100,0.03813066,0.11277067,0.15607446,0.07648873
101,0.03795027,0.11329364,0.15560684,0.07635017
102,0.03783038,0.11352148,0.15522622,0.07664827
103,0.03774466,0.11354212,0.15493107,0.07629886
104,0.03754866,0.11370239,0.15428692,0.07637809
105,0.03742114,0.11331037,0.15386279,0.07641861
106,0.03724793,0.11135597,0.15342980,0.07580384
107,0.03724145,0.11151996,0.15326337,0.07605591
108,0.03697955,0.11236653,0.15254205,0.07616284
109,0.03690759,0.11303476,0.15234168,0.07639577
110,0.03680285,0.11317575,0.15201958,0.07619422
111,0.03658823,0.11370223,0.15118031,0.07641659
112,0.03652201,0.11407225,0.15096989,0.07612261
113,0.03642112,0.11265484,0.15077045,0.07592321
114,0.03631904,0.11383637,0.15041804,0.07621315
115,0.03621819,0.11119784,0.14996735,0.07564373
116,0.03609918,0.11294046,0.14967449,0.07629698
117,0.03598169,0.11382498,0.14930623,0.07617908
118,0.03577540,0.11463748,0.14854509,0.07637399
119,0.03579531,0.11356726,0.14861627,0.07566632
120,0.03565652,0.11433468,0.14821206,0.07666236
121,0.03554627,0.11236905,0.14795412,0.07599059
122,0.03548016,0.11453983,0.14764000,0.07652721
123,0.03535470,0.11387218,0.14728431,0.07604214
124,0.03532999,0.11347992,0.14723168,0.07639749
125,0.03525268,0.11447909,0.14690251,0.07644760
126,0.03505138,0.11474448,0.14629175,0.07646951
127,0.03505430,0.11387843,0.14620542,0.07620229
128,0.03486875,0.11321369,0.14568344,0.07618045
129,0.03480885,0.11563429,0.14542439,0.07641193
130,0.03467188,0.11429563,0.14503126,0.07622799
131,0.03461138,0.11567243,0.14481766,0.07635215
132,0.03457312,0.11407648,0.14470310,0.07593717
133,0.03446080,0.11538603,0.14428104,0.07659163
134,0.03445558,0.11533683,0.14435286,0.07666730
135,0.03433773,0.11450237,0.14395363,0.07632340
