epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.94254931,0.84365827,1.25016728,0.23435580
2,0.91732921,0.48227333,0.87415992,0.17374519
3,0.66498446,0.37717404,0.74353577,0.15347414
4,0.56138120,0.32475287,0.68598365,0.14135816
5,0.49710840,0.29224209,0.64973940,0.13329148
6,0.44390087,0.26785724,0.61812596,0.12746566
7,0.40212409,0.25296898,0.59142885,0.12309684
8,0.36704988,0.24046919,0.56974737,0.11938240
9,0.34030487,0.23190034,0.55241581,0.11669257
10,0.31723222,0.22486258,0.53627131,0.11432230
11,0.29756142,0.21953743,0.52262558,0.11264284
12,0.27973924,0.21309431,0.51053716,0.11077392
13,0.26359123,0.21008133,0.49908535,0.10963515
14,0.25159877,0.20625324,0.49144165,0.10829071
15,0.23760257,0.20228898,0.48105764,0.10702853
16,0.22451538,0.19975124,0.47121410,0.10638731
17,0.21720672,0.19664205,0.46781304,0.10514922
18,0.20799656,0.19408343,0.46070768,0.10430724
19,0.19839009,0.19140981,0.45486402,0.10364497
20,0.18982857,0.19011849,0.44892405,0.10340271
21,0.18321180,0.18881136,0.44560757,0.10262780
22,0.17574841,0.18772605,0.44031667,0.10202325
23,0.16885515,0.18516440,0.43651435,0.10160070
24,0.16208139,0.18291407,0.43266648,0.10082414
25,0.15665443,0.18275486,0.43018246,0.10069215
26,0.15098476,0.18100442,0.42758728,0.10005419
27,0.14476270,0.18017224,0.42429325,0.09971690
28,0.13970802,0.17812623,0.42185983,0.09942924
29,0.13433920,0.17790067,0.42048341,0.09906740
30,0.12913315,0.17712513,0.41834553,0.09883620
31,0.12428110,0.17628003,0.41715445,0.09858199
32,0.11893330,0.17612255,0.41539241,0.09847942
33,0.11391387,0.17540310,0.41400948,0.09820332
34,0.10943077,0.17405951,0.41366815,0.09807595
35,0.10502323,0.17424064,0.41276602,0.09776703
36,0.10104545,0.17361846,0.41392157,0.09770535
37,0.09543632,0.17481228,0.41204168,0.09800642
38,0.09173309,0.17571018,0.41379087,0.09797501
39,0.08676543,0.17346016,0.41336222,0.09767900
40,0.08250681,0.17399909,0.41406544,0.09775445
41,0.07800051,0.17366439,0.41505594,0.09769027
42,0.07343725,0.17350418,0.41663332,0.09760713
43,0.06929107,0.17548030,0.41723902,0.09807312
44,0.06430722,0.17466778,0.41876385,0.09796177
45,0.06024302,0.17591157,0.42003548,0.09834043
46,0.05518668,0.17718156,0.42151531,0.09883409
47,0.05071734,0.17706582,0.42451623,0.09891807
48,0.04610485,0.17843701,0.42720703,0.09936596
49,0.04119016,0.17909893,0.42813221,0.09991906
50,0.03683319,0.18149621,0.43175646,0.10055573
51,0.03529945,0.18126825,0.43276651,0.10041200
52,0.03465300,0.18063127,0.43340109,0.10023787
53,0.03367987,0.18024350,0.43384627,0.10017384
54,0.03287066,0.18001575,0.43404080,0.10027116
55,0.03211035,0.17929189,0.43356951,0.10010592
56,0.03121348,0.17886526,0.43426401,0.10022760
57,0.03065185,0.17844842,0.43312587,0.09998978
58,0.03019709,0.17749592,0.43420629,0.09975795
59,0.02933260,0.17754331,0.43352270,0.09981075
60,0.02867845,0.17713728,0.43349681,0.09973660
61,0.02802648,0.17640016,0.43341859,0.09952823
