epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.47488573,0.14302931,0.61470970,0.09170491
2,0.24376963,0.12395846,0.44622926,0.08297660
3,0.19292983,0.11817167,0.39809685,0.08060478
4,0.16908668,0.11646181,0.37307127,0.07961654
5,0.15403462,0.11465030,0.35626696,0.07899876
6,0.14259421,0.11418166,0.34294002,0.07860279
7,0.13250204,0.11378218,0.33087938,0.07831430
8,0.12377769,0.11272168,0.31996543,0.07770154
9,0.11580445,0.11220129,0.30957823,0.07726617
10,0.10880287,0.11057631,0.30004448,0.07681072
11,0.10238380,0.10958029,0.29104217,0.07636871
12,0.09667825,0.11008104,0.28264439,0.07642490
13,0.09134634,0.10889520,0.27467511,0.07606561
14,0.08664971,0.10795026,0.26729000,0.07580550
15,0.08241862,0.10995583,0.26047303,0.07608441
16,0.07825716,0.10931441,0.25374440,0.07597076
17,0.07474924,0.11082565,0.24795246,0.07618573
18,0.07120380,0.11075781,0.24179585,0.07612546
19,0.06811070,0.11167502,0.23646336,0.07641604
20,0.06498160,0.11162247,0.23097095,0.07601483
21,0.06227512,0.11279818,0.22597423,0.07639904
22,0.05979846,0.11373332,0.22144734,0.07639244
23,0.05742636,0.11330965,0.21694650,0.07625050
24,0.05517505,0.11169787,0.21270135,0.07592816
25,0.05308446,0.11354560,0.20863239,0.07621992
26,0.05107944,0.11440942,0.20461082,0.07642109
27,0.04913564,0.11286265,0.20070822,0.07583389
28,0.04750490,0.11251147,0.19718979,0.07594737
29,0.04572253,0.11178411,0.19341353,0.07539883
30,0.04422745,0.11300014,0.19018775,0.07570158
31,0.04275286,0.11048459,0.18699102,0.07475272
32,0.04141037,0.11204867,0.18396590,0.07529215
33,0.04021072,0.11232878,0.18121924,0.07510293
34,0.03885651,0.11070726,0.17812518,0.07472825
35,0.03773569,0.10961454,0.17538412,0.07451335
36,0.03659238,0.10741937,0.17266473,0.07405830
37,0.03578161,0.10847863,0.17068794,0.07394609
