epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.79944098,0.23701371,0.78055447,0.12416955
2,0.44704271,0.17274697,0.59314453,0.10342216
3,0.35073311,0.14827497,0.52774666,0.09374031
4,0.29205928,0.13657102,0.48270655,0.08872524
5,0.25491533,0.12841792,0.45225363,0.08532113
6,0.22799413,0.12477724,0.42872004,0.08345551
7,0.20932912,0.12077902,0.41111717,0.08188557
8,0.19593725,0.11910902,0.39823062,0.08103116
9,0.18529394,0.11786356,0.38762779,0.08049266
10,0.17646701,0.11644955,0.37844191,0.07988339
11,0.16908806,0.11632099,0.37054293,0.07970000
12,0.16255082,0.11563479,0.36332854,0.07941020
13,0.15740256,0.11480786,0.35754803,0.07922846
14,0.15222841,0.11422952,0.35168623,0.07896845
15,0.14839099,0.11386857,0.34725678,0.07875291
16,0.14355537,0.11329708,0.34157993,0.07858277
17,0.13997796,0.11333706,0.33722609,0.07852094
18,0.13617426,0.11346191,0.33284978,0.07834902
19,0.13272696,0.11343700,0.32845698,0.07825682
20,0.12915668,0.11357041,0.32394842,0.07825599
21,0.12584282,0.11311573,0.31952427,0.07790996
22,0.12269001,0.11260663,0.31554606,0.07779675
23,0.11986214,0.11210936,0.31191754,0.07755705
24,0.11720094,0.11146223,0.30833493,0.07727818
25,0.11458658,0.11138815,0.30459515,0.07743677
26,0.11184567,0.11171093,0.30065097,0.07743634
27,0.10945326,0.11043418,0.29736907,0.07706297
28,0.10705098,0.11110867,0.29388979,0.07696067
29,0.10469765,0.11071032,0.29044165,0.07690468
30,0.10246039,0.10968015,0.28708196,0.07671388
31,0.10048188,0.10865209,0.28417783,0.07648765
32,0.09813323,0.10978527,0.28057793,0.07656626
33,0.09607468,0.10899057,0.27732050,0.07646528
34,0.09421075,0.10890995,0.27438454,0.07621865
35,0.09250776,0.10861499,0.27161251,0.07590304
36,0.09092277,0.11086816,0.26891978,0.07664295
37,0.08931233,0.10879121,0.26644878,0.07607141
38,0.08748462,0.10812656,0.26360140,0.07611581
39,0.08593282,0.10728533,0.26096100,0.07583776
40,0.08430553,0.10865746,0.25833722,0.07592425
41,0.08299202,0.10776085,0.25596272,0.07593458
42,0.08157664,0.10951584,0.25358825,0.07608778
43,0.07997306,0.10892694,0.25089731,0.07588732
44,0.07872495,0.10947272,0.24850505,0.07596530
45,0.07722649,0.11000243,0.24608994,0.07599350
