epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.78942383,0.23615677,0.79348023,0.12370382
2,0.43530743,0.17190853,0.59100169,0.10379484
3,0.34080487,0.14668925,0.52550501,0.09405852
4,0.28547015,0.13284161,0.48285262,0.08848301
5,0.24818348,0.12605915,0.45116318,0.08519307
6,0.22208783,0.12238610,0.42738650,0.08329791
7,0.20481177,0.12018263,0.41106084,0.08204562
8,0.19054631,0.11866229,0.39703702,0.08121281
9,0.18083420,0.11802547,0.38693027,0.08080870
10,0.17100496,0.11732881,0.37656639,0.08044015
11,0.16407628,0.11689135,0.36906210,0.08000672
12,0.15851670,0.11609713,0.36250191,0.07963678
13,0.15278003,0.11611132,0.35615279,0.07957569
14,0.14716359,0.11548663,0.34952505,0.07939477
15,0.14246952,0.11595604,0.34412563,0.07936466
16,0.13840692,0.11533823,0.33911701,0.07914146
17,0.13422274,0.11515946,0.33386170,0.07921489
18,0.13044110,0.11514081,0.32927689,0.07896830
19,0.12691747,0.11542601,0.32495254,0.07903378
20,0.12392914,0.11548588,0.32116800,0.07886667
21,0.12024046,0.11450209,0.31640517,0.07830456
22,0.11694059,0.11415684,0.31209407,0.07809966
23,0.11379648,0.11353332,0.30771376,0.07779038
24,0.11138151,0.11372098,0.30446196,0.07782962
25,0.10892880,0.11427771,0.30114234,0.07750691
26,0.10603618,0.11325575,0.29730576,0.07746062
27,0.10355027,0.11274394,0.29370978,0.07716002
28,0.10126289,0.11050031,0.29041686,0.07657742
29,0.09861234,0.11106425,0.28657518,0.07679454
30,0.09631263,0.11107703,0.28322745,0.07670846
31,0.09473195,0.10977394,0.28079418,0.07633247
32,0.09244456,0.10896175,0.27749794,0.07635213
33,0.09027162,0.10986499,0.27424555,0.07627607
34,0.08816533,0.10941400,0.27099237,0.07606211
35,0.08657184,0.11020096,0.26855409,0.07653537
36,0.08447138,0.11096879,0.26526439,0.07646798
37,0.08284401,0.11048782,0.26258016,0.07622469
38,0.08109869,0.10931140,0.25984015,0.07595498
39,0.07906917,0.10939006,0.25669534,0.07613910
40,0.07769683,0.11073187,0.25448066,0.07646953
41,0.07618215,0.10799126,0.25181793,0.07583295
42,0.07489331,0.10876307,0.24956996,0.07593955
43,0.07333582,0.10903454,0.24705241,0.07595207
44,0.07204811,0.11054858,0.24500773,0.07643697
45,0.07039017,0.11120888,0.24202599,0.07670135
46,0.06921406,0.11101237,0.24012546,0.07681504
47,0.06795234,0.11017600,0.23805005,0.07592103
