epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.67562375,0.64246387,1.15591606,0.22216857
2,0.75409064,0.42712756,0.78776413,0.17377903
3,0.58045443,0.37892575,0.69210889,0.15862988
4,0.49651332,0.35731007,0.64205238,0.15092635
5,0.43519947,0.33984251,0.60405853,0.14587068
6,0.39405254,0.32703392,0.57647779,0.14232415
7,0.35723493,0.31862792,0.54999782,0.14061531
8,0.33140634,0.31081959,0.53081266,0.13858033
9,0.30931895,0.30939690,0.51341180,0.13822648
10,0.28833120,0.30155577,0.49668327,0.13651289
11,0.27312765,0.29976667,0.48388395,0.13592115
12,0.25824910,0.29661747,0.47132654,0.13565349
13,0.24592498,0.29656088,0.46047505,0.13521699
14,0.23482659,0.29035345,0.44980986,0.13486093
15,0.22481370,0.29222468,0.44056913,0.13473222
16,0.21606746,0.29603106,0.43208900,0.13558516
17,0.20736561,0.29118045,0.42391382,0.13498284
18,0.19979949,0.29561956,0.41589389,0.13589795
19,0.19273017,0.29466266,0.40843909,0.13570403
20,0.18673896,0.29390564,0.40226204,0.13523949
21,0.18085591,0.29562493,0.39594762,0.13540732
22,0.17488156,0.28967828,0.38924838,0.13433160
23,0.16933491,0.29630593,0.38346673,0.13541053
24,0.16459221,0.29280646,0.37786551,0.13498125
25,0.15999944,0.29452464,0.37207031,0.13542074
26,0.15528534,0.29250747,0.36696622,0.13446461
27,0.15143111,0.29093256,0.36241034,0.13452757
28,0.14699141,0.29510405,0.35687016,0.13468788
29,0.14402307,0.29493421,0.35331035,0.13447392
30,0.13991336,0.29263212,0.34822360,0.13386192
31,0.13670178,0.29257348,0.34412320,0.13344648
32,0.13347686,0.29367776,0.34016497,0.13355529
33,0.13010847,0.28524095,0.33566981,0.13289480
34,0.12735375,0.28604331,0.33227594,0.13225871
35,0.12435167,0.29241185,0.32831128,0.13320735
36,0.12202238,0.28425428,0.32468686,0.13128763
37,0.11897906,0.28723066,0.32081407,0.13200991
38,0.11642426,0.28545125,0.31753489,0.13194050
39,0.11413935,0.29332106,0.31420553,0.13222469
40,0.11239127,0.28999845,0.31193048,0.13201757
41,0.11013853,0.28988247,0.30861587,0.13142795
42,0.10753661,0.28748437,0.30485126,0.13071760
43,0.10605477,0.29079047,0.30259042,0.13164718
44,0.10355030,0.28814060,0.29917357,0.13083009
45,0.10213754,0.28603931,0.29710011,0.13106365
46,0.10011131,0.29194853,0.29396290,0.13150978
47,0.09831599,0.28550404,0.29142593,0.13053419
48,0.09648093,0.28657243,0.28857716,0.13095303
49,0.09460341,0.28563153,0.28563876,0.13103056
50,0.09294371,0.28730521,0.28309321,0.13095794
51,0.09160451,0.28697076,0.28097051,0.13152654
52,0.08992386,0.29072571,0.27816823,0.13215820
53,0.08889022,0.29053509,0.27655584,0.13112782
54,0.08675501,0.28895278,0.27334595,0.13186180
55,0.08552478,0.29392948,0.27140845,0.13206996
56,0.08434734,0.29451145,0.26960439,0.13294493
57,0.08364826,0.29277074,0.26830679,0.13296799
58,0.08239586,0.29045104,0.26629309,0.13223512
59,0.08095679,0.28612356,0.26384242,0.13234519
60,0.07960743,0.28589642,0.26142763,0.13270706
61,0.07830622,0.29019258,0.25944160,0.13208051
62,0.07788410,0.28584204,0.25872076,0.13221139
63,0.07665420,0.29161592,0.25681940,0.13385841
64,0.07561800,0.27878038,0.25483500,0.13160071
65,0.07494346,0.28738345,0.25386479,0.13332521
66,0.07363386,0.28394228,0.25140394,0.13321406
67,0.07314087,0.27595830,0.25080068,0.13197245
68,0.07247761,0.28000461,0.24944259,0.13350961
69,0.07167206,0.27524517,0.24807022,0.13332089
70,0.07036302,0.28038813,0.24588561,0.13319083
71,0.06957060,0.28113796,0.24440746,0.13368299
72,0.06870297,0.27704852,0.24292598,0.13362070
73,0.06848778,0.28346338,0.24240775,0.13371460
74,0.06713025,0.28529279,0.24001467,0.13499439
75,0.06686557,0.27556445,0.23957696,0.13271795
76,0.06614666,0.27581344,0.23837589,0.13303769
77,0.06562628,0.27900203,0.23750951,0.13415164
78,0.06459023,0.27829520,0.23548737,0.13380640
79,0.06380545,0.27484669,0.23417785,0.13319500
80,0.06331135,0.27821673,0.23326043,0.13488026
81,0.06290960,0.27480134,0.23241373,0.13364793
82,0.06232243,0.27511697,0.23151340,0.13398172
83,0.06149877,0.26860466,0.22973171,0.13415141
84,0.06105860,0.27155903,0.22911758,0.13333766
85,0.06036021,0.27949527,0.22780806,0.13478624
86,0.05988512,0.26686955,0.22699309,0.13400357
87,0.05901721,0.26555653,0.22524251,0.13356110
88,0.05852282,0.26985055,0.22424296,0.13377186
89,0.05800109,0.27134588,0.22353460,0.13471940
90,0.05755413,0.27050494,0.22268786,0.13482329
91,0.05735105,0.27363758,0.22192793,0.13416363
92,0.05659867,0.27410776,0.22086576,0.13547277
93,0.05605046,0.27517982,0.21981154,0.13554801
94,0.05570723,0.26913852,0.21888341,0.13418925
95,0.05537542,0.27380462,0.21846804,0.13526752
96,0.05475301,0.27399848,0.21721204,0.13585693
97,0.05453587,0.27151618,0.21688059,0.13502013
98,0.05379800,0.26937528,0.21535542,0.13535433
99,0.05325430,0.27108042,0.21436456,0.13630153
100,0.05286327,0.26983730,0.21359959,0.13477205
101,0.05228722,0.27407979,0.21227908,0.13539783
102,0.05219335,0.27134387,0.21238177,0.13506342
103,0.05202455,0.27248347,0.21196875,0.13657640
104,0.05082200,0.26926454,0.20941492,0.13520062
105,0.05060588,0.27257768,0.20876946,0.13637603
106,0.05041857,0.27086871,0.20861536,0.13614547
107,0.05005998,0.27556037,0.20821610,0.13594009
108,0.04968203,0.27571291,0.20707328,0.13762993
109,0.04932377,0.26902937,0.20625219,0.13569382
110,0.04867337,0.27196828,0.20502773,0.13641019
111,0.04862596,0.26974929,0.20504841,0.13630243
112,0.04832049,0.27034410,0.20452363,0.13663882
113,0.04804567,0.27469699,0.20400236,0.13714910
114,0.04750058,0.27188799,0.20279623,0.13587514
115,0.04731983,0.27352305,0.20234560,0.13711041
116,0.04687987,0.27514769,0.20138188,0.13666544
117,0.04649793,0.27820888,0.20060984,0.13694756
118,0.04602260,0.27106295,0.19954906,0.13635076
119,0.04639434,0.27192081,0.20046204,0.13719589
120,0.04609147,0.27275816,0.19992423,0.13683327
121,0.04553440,0.27287638,0.19847536,0.13676486
122,0.04520058,0.27344105,0.19784313,0.13668511
123,0.04512195,0.27214973,0.19778026,0.13648520
124,0.04454987,0.27031957,0.19643423,0.13773111
125,0.04427631,0.27596620,0.19586038,0.13733792
126,0.04414866,0.27728776,0.19552041,0.13879465
127,0.04389144,0.27739224,0.19511217,0.13887946
128,0.04362152,0.27874302,0.19440988,0.13894378
129,0.04312326,0.27648048,0.19320440,0.13779969
130,0.04292460,0.27351326,0.19293280,0.13817995
131,0.04285063,0.27993010,0.19262679,0.13891765
132,0.04256413,0.27715457,0.19195181,0.13873235
133,0.04194810,0.27721515,0.19074808,0.13767342
