epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.79494753,0.73473319,1.17847099,0.22755291
2,0.88771491,0.45378673,0.85185767,0.17431448
3,0.64190497,0.37854804,0.72755444,0.15579296
4,0.54559697,0.34648401,0.67298284,0.14707417
5,0.48311184,0.32083954,0.63512797,0.14118270
6,0.43777889,0.30886572,0.60581282,0.13716478
7,0.39905825,0.29709194,0.57901125,0.13409911
8,0.36773742,0.29403047,0.55743327,0.13245526
9,0.34347330,0.28738132,0.53941723,0.13083268
10,0.32145885,0.28744833,0.52166636,0.13034250
11,0.30234203,0.28436862,0.50714960,0.12924557
12,0.28886881,0.28348938,0.49615289,0.12883025
13,0.27532996,0.28251713,0.48474075,0.12882872
14,0.26228805,0.28079856,0.47363695,0.12835955
15,0.25190152,0.28088963,0.46447018,0.12812460
16,0.24224444,0.28004274,0.45541922,0.12831128
17,0.23359862,0.27828755,0.44752250,0.12794429
18,0.22646736,0.27929151,0.44107817,0.12821306
19,0.21858892,0.27884888,0.43341003,0.12804757
20,0.21181967,0.28020051,0.42682545,0.12846256
21,0.20371741,0.27913570,0.41872376,0.12833555
22,0.19903595,0.27835176,0.41396654,0.12793486
23,0.19149879,0.27881867,0.40607038,0.12810261
24,0.18712373,0.27895555,0.40171033,0.12849458
25,0.18240186,0.27923781,0.39636423,0.12837232
26,0.17712114,0.28202951,0.39099167,0.12897155
27,0.17218685,0.28318832,0.38501139,0.12851573
28,0.16778879,0.28445071,0.38060048,0.12898759
29,0.16358838,0.28171060,0.37605308,0.12872902
30,0.15946875,0.28775296,0.37099384,0.12959211
31,0.15636174,0.28673176,0.36732570,0.13008638
32,0.15208602,0.29169608,0.36222385,0.13058142
33,0.14805640,0.29333950,0.35780764,0.13041249
34,0.14522120,0.28314796,0.35411603,0.12950316
35,0.14254824,0.28647566,0.35092499,0.12960878
36,0.13874456,0.28899409,0.34634580,0.13007738
37,0.13657854,0.28919643,0.34383662,0.13025690
38,0.13368301,0.28956849,0.33980606,0.13002140
39,0.13088312,0.29228854,0.33633202,0.13079464
40,0.12771970,0.28726767,0.33224963,0.12945452
41,0.12535775,0.29281348,0.32902775,0.13009545
42,0.12307195,0.29010682,0.32621615,0.13038304
43,0.12120157,0.30070198,0.32340880,0.13133680
44,0.11902009,0.29452680,0.32079694,0.13059546
45,0.11641218,0.29299875,0.31674662,0.12952160
46,0.11502970,0.29326652,0.31521917,0.12965992
47,0.11328899,0.28542707,0.31284222,0.12955777
48,0.11132579,0.29156231,0.31016396,0.13002455
49,0.10878743,0.29395988,0.30648848,0.13031103
50,0.10706479,0.29009821,0.30382883,0.12911180
51,0.10555084,0.28976016,0.30166499,0.12984308
52,0.10413254,0.29047663,0.29954021,0.12986537
53,0.10132802,0.29131153,0.29550144,0.12872278
54,0.10086653,0.29324234,0.29501426,0.13024019
55,0.09938831,0.29329980,0.29262152,0.13040402
56,0.09712815,0.29175986,0.28912053,0.12930341
57,0.09615372,0.29825400,0.28771778,0.12988870
58,0.09554720,0.30065033,0.28672943,0.13118990
59,0.09338106,0.29033214,0.28355994,0.13019422
60,0.09273781,0.29757291,0.28255705,0.13056570
61,0.09163722,0.29482287,0.28066121,0.13016569
62,0.09014978,0.29081032,0.27873964,0.13027562
63,0.08956197,0.28855143,0.27787070,0.12940142
64,0.08803018,0.29355618,0.27520294,0.13027697
65,0.08761266,0.29374472,0.27456080,0.13041442
66,0.08649328,0.29443074,0.27257907,0.13116326
67,0.08506311,0.30011332,0.27034496,0.13231831
68,0.08439952,0.28983993,0.26930445,0.13059092
69,0.08346426,0.29046820,0.26789579,0.13078490
70,0.08264974,0.29638285,0.26640679,0.13179878
71,0.08106768,0.30246835,0.26391192,0.13238163
72,0.08113289,0.29535498,0.26383929,0.13165161
73,0.07960213,0.29610202,0.26161815,0.13180026
74,0.07921946,0.30190594,0.26083214,0.13338187
75,0.07863197,0.29667191,0.25959570,0.13316658
76,0.07734923,0.29776292,0.25772037,0.13308953
77,0.07689044,0.29409772,0.25717876,0.13239985
78,0.07571998,0.29225377,0.25490961,0.13255812
79,0.07562247,0.29557012,0.25483084,0.13269862
80,0.07461163,0.29924973,0.25318840,0.13316231
81,0.07410085,0.29277473,0.25212378,0.13198112
82,0.07363564,0.29724239,0.25148056,0.13312245
83,0.07268821,0.29768370,0.24995636,0.13416896
84,0.07190048,0.29600092,0.24855568,0.13316118
85,0.07096523,0.29441699,0.24681345,0.13421127
86,0.07116651,0.29699298,0.24722039,0.13325244
87,0.06977561,0.29433605,0.24485247,0.13287067
88,0.06935849,0.29017361,0.24400158,0.13264610
89,0.06979246,0.28743459,0.24489517,0.13238222
90,0.06897419,0.29435307,0.24343028,0.13359550
91,0.06791056,0.28108111,0.24156732,0.13148614
92,0.06762813,0.29062057,0.24108368,0.13389291
93,0.06677184,0.29233385,0.23947730,0.13386528
94,0.06670697,0.28631264,0.23925133,0.13228348
95,0.06614988,0.29499342,0.23837715,0.13387934
96,0.06524633,0.28774409,0.23662121,0.13226947
97,0.06505513,0.28987799,0.23645409,0.13388535
98,0.06447241,0.28950084,0.23525578,0.13356442
99,0.06342999,0.28908763,0.23359100,0.13342355
100,0.06307712,0.29530905,0.23255191,0.13413026
101,0.06260216,0.28439322,0.23182397,0.13426613
102,0.06252252,0.28768672,0.23182262,0.13290359
103,0.06193539,0.28503012,0.23069223,0.13316548
104,0.06196624,0.28446091,0.23068494,0.13317601
105,0.06091764,0.28279127,0.22874589,0.13295864
106,0.06085596,0.28599762,0.22852911,0.13501527
107,0.06029801,0.28239621,0.22771237,0.13322614
108,0.05992603,0.28087182,0.22688233,0.13359137
109,0.05994967,0.27749861,0.22695752,0.13276217
110,0.05881142,0.28043135,0.22469456,0.13349129
111,0.05861576,0.28464310,0.22432153,0.13331784
112,0.05822502,0.28451476,0.22366963,0.13389231
113,0.05776454,0.28363055,0.22287868,0.13422114
114,0.05786413,0.28504043,0.22295940,0.13388697
115,0.05670183,0.28193354,0.22085070,0.13480418
116,0.05640143,0.28560259,0.22039071,0.13410257
117,0.05640008,0.28377566,0.22016834,0.13397171
118,0.05595012,0.28383954,0.21938376,0.13267627
119,0.05572200,0.27829648,0.21893798,0.13293045
120,0.05533469,0.28361945,0.21821350,0.13340702
121,0.05532017,0.28229013,0.21828022,0.13347659
122,0.05467561,0.28102741,0.21680379,0.13447941
123,0.05436947,0.28286371,0.21636785,0.13493954
124,0.05414672,0.27582904,0.21595555,0.13372534
125,0.05368247,0.28415917,0.21516458,0.13429521
126,0.05343089,0.28106345,0.21460922,0.13391127
127,0.05333715,0.28250397,0.21402012,0.13466514
128,0.05246118,0.28147232,0.21244527,0.13462282
129,0.05221721,0.28290502,0.21195199,0.13534418
