epoch,train_loss,val_loss,train_rmse,val_rmse
1,1.67051373,0.64234117,1.15579886,0.22220358
2,0.74951391,0.42673636,0.78790097,0.17382291
3,0.57580704,0.37806414,0.69242176,0.15862751
4,0.49155810,0.35568926,0.64254088,0.15080884
5,0.43014026,0.33756080,0.60469716,0.14564366
6,0.38878848,0.32400906,0.57737733,0.14197168
7,0.35204287,0.31502594,0.55107613,0.14008683
8,0.32608365,0.30654143,0.53227466,0.13795111
9,0.30413682,0.30401456,0.51518179,0.13734091
10,0.28343828,0.29566280,0.49885706,0.13551890
11,0.26843783,0.29306958,0.48647438,0.13473707
12,0.25407012,0.28917604,0.47438525,0.13426056
13,0.24200803,0.28771437,0.46404375,0.13358582
14,0.23146493,0.28132329,0.45397137,0.13307341
15,0.22197989,0.28182040,0.44530299,0.13275808
16,0.21377459,0.28349839,0.43738714,0.13313707
17,0.20567323,0.27827524,0.42984950,0.13241317
18,0.19885869,0.28025253,0.42260145,0.13284389
19,0.19230822,0.27839628,0.41580568,0.13251604
20,0.18700888,0.27645934,0.41047658,0.13180388
21,0.18163162,0.27651572,0.40488742,0.13181702
22,0.17652323,0.27074451,0.39918960,0.13061064
23,0.17166671,0.27385537,0.39424670,0.13116979
24,0.16758421,0.27090809,0.38965750,0.13065121
25,0.16377051,0.27034576,0.38497358,0.13066009
26,0.15995081,0.26752289,0.38079180,0.12958083
27,0.15663029,0.26480893,0.37746598,0.12949071
28,0.15299977,0.26726553,0.37290888,0.12941725
29,0.15053195,0.26445255,0.37047025,0.12868613
30,0.14726518,0.26294541,0.36678094,0.12829072
31,0.14477375,0.26153702,0.36396904,0.12756733
32,0.14237090,0.26137709,0.36132013,0.12758323
33,0.13979128,0.25501068,0.35849769,0.12674886
34,0.13760218,0.25435930,0.35616882,0.12612491
35,0.13539582,0.25394308,0.35386153,0.12595573
36,0.13374963,0.25017798,0.35202510,0.12472562
37,0.13130616,0.25133967,0.34925923,0.12512086
38,0.12956696,0.24791807,0.34798177,0.12455696
39,0.12778810,0.25112723,0.34620646,0.12441138
40,0.12655449,0.24828766,0.34575728,0.12382756
41,0.12490464,0.24558215,0.34414262,0.12308747
42,0.12316038,0.24457533,0.34234806,0.12251861
43,0.12198606,0.24388710,0.34176599,0.12258279
44,0.12033236,0.24050326,0.34053056,0.12168268
45,0.11933266,0.23997430,0.34043438,0.12173151
46,0.11784151,0.23838028,0.33959087,0.12087613
47,0.11658605,0.23574967,0.33861257,0.12070161
48,0.11533388,0.23592926,0.33830312,0.12049150
49,0.11410154,0.23470339,0.33775662,0.12009319
50,0.11303171,0.23569149,0.33737387,0.12009447
51,0.11225683,0.23393863,0.33667064,0.12034720
52,0.11137733,0.23493986,0.33483401,0.12036672
53,0.11085744,0.23367251,0.33426237,0.11945706
54,0.10977568,0.23168619,0.33175898,0.11936892
55,0.10920244,0.23602523,0.33081734,0.11984514
56,0.10864691,0.23496641,0.32954240,0.12018854
57,0.10813832,0.23380264,0.32865689,0.11950058
58,0.10761580,0.23364282,0.32729328,0.11910783
59,0.10665722,0.23059030,0.32546305,0.11884033
60,0.10618822,0.23044563,0.32396410,0.11886664
61,0.10543190,0.23095302,0.32265030,0.11850191
62,0.10540617,0.23132246,0.32236205,0.11858867
63,0.10459916,0.23482361,0.32097616,0.11961992
64,0.10425540,0.22856676,0.31976227,0.11837362
65,0.10376521,0.23246920,0.31897356,0.11919533
66,0.10321116,0.23183224,0.31706707,0.11882789
67,0.10287218,0.22840930,0.31705078,0.11807628
68,0.10245919,0.22900248,0.31569540,0.11872220
69,0.10203484,0.22727919,0.31504270,0.11858916
70,0.10152660,0.22880041,0.31360679,0.11850677
71,0.10114240,0.22923589,0.31278694,0.11833251
72,0.10056565,0.23033078,0.31096742,0.11898177
73,0.10023659,0.23105665,0.31081570,0.11863076
74,0.09976979,0.23224337,0.30932552,0.11941355
75,0.09949291,0.22812082,0.30860616,0.11793207
76,0.09917763,0.22789645,0.30807947,0.11798366
77,0.09884571,0.23012979,0.30732297,0.11844716
78,0.09839573,0.23186346,0.30584436,0.11876748
79,0.09786893,0.22696504,0.30469363,0.11853808
80,0.09788698,0.22862948,0.30502612,0.11862080
81,0.09733287,0.22611867,0.30316603,0.11821629
82,0.09723707,0.22868014,0.30308831,0.11855085
83,0.09676784,0.22705912,0.30176375,0.11937432
84,0.09647199,0.22574313,0.30151899,0.11816040
85,0.09618644,0.22884484,0.30046630,0.11878154
86,0.09570075,0.22355338,0.29958094,0.11836492
87,0.09539114,0.22382341,0.29844681,0.11808131
88,0.09517817,0.22456186,0.29760317,0.11788244
89,0.09481901,0.22625584,0.29729116,0.11869069
90,0.09462468,0.22207469,0.29661475,0.11840811
91,0.09447276,0.22562095,0.29592469,0.11825459
