epoch,train_loss,val_loss,train_rmse,val_rmse
1,2.90336967,1.87167914,1.48151743,0.42776540
2,2.47898227,1.56664280,1.39005295,0.38838933
3,2.02166107,1.28675997,1.27589197,0.34755523
4,1.68375838,1.04912170,1.17414371,0.30618383
5,1.36080661,0.86266413,1.06160322,0.26852776
6,1.14159274,0.73381081,0.97924396,0.24106942
7,0.98712572,0.64966754,0.91160362,0.22316789
8,0.88593811,0.59062826,0.86654759,0.21140738
9,0.78499806,0.54144577,0.81458996,0.20116142
10,0.71658656,0.49699159,0.77608455,0.19039905
11,0.66625446,0.45853150,0.74734850,0.18044436
12,0.62628998,0.42531844,0.72843351,0.17251454
13,0.59223619,0.39707078,0.70975414,0.16655921
14,0.56371300,0.37531287,0.69370617,0.16173807
15,0.53923832,0.36222762,0.67927879,0.15830881
16,0.51332538,0.35618661,0.66475821,0.15590084
17,0.49456111,0.35386288,0.65561012,0.15416337
18,0.47105981,0.35235756,0.64122723,0.15235296
19,0.45383193,0.35270591,0.62900933,0.15130053
20,0.45235919,0.35129758,0.62857642,0.15047190
21,0.41999102,0.34557142,0.60814423,0.14918075
22,0.40953418,0.33725457,0.60125141,0.14721570
23,0.40217964,0.32971755,0.59844797,0.14544040
24,0.38875988,0.32346647,0.58836682,0.14422095
25,0.37893277,0.31938774,0.58433263,0.14279999
26,0.36951204,0.31830114,0.57626281,0.14204979
27,0.35581839,0.31664919,0.56864091,0.14170920
28,0.35284968,0.31300985,0.56657241,0.14075455
29,0.33708441,0.30934913,0.55724614,0.13972311
30,0.32781480,0.30753786,0.54939251,0.13933324
31,0.32699474,0.30754425,0.54960346,0.13947305
32,0.31703213,0.30339953,0.54350972,0.13784952
33,0.31137569,0.30231354,0.53959712,0.13760713
34,0.30417844,0.30145277,0.53418002,0.13715018
35,0.29275313,0.29838557,0.52611333,0.13663112
36,0.28819550,0.29518489,0.52238269,0.13596946
37,0.28446637,0.29402381,0.52153948,0.13583819
38,0.27974094,0.29314942,0.52020923,0.13585192
39,0.26992808,0.29216033,0.51050311,0.13498942
40,0.26911395,0.29087480,0.51010999,0.13451932
41,0.26504871,0.28691034,0.50820465,0.13346146
42,0.25860617,0.28737016,0.50209965,0.13424488
43,0.25437506,0.28573925,0.50027759,0.13385876
44,0.24986915,0.28504797,0.49652726,0.13347357
45,0.24325994,0.28270622,0.49127410,0.13336540
46,0.24210113,0.28061028,0.49341682,0.13310292
47,0.23313884,0.27854436,0.48477309,0.13244061
48,0.22940319,0.27787491,0.48270191,0.13191458
49,0.22823261,0.27850137,0.48157789,0.13219010
50,0.22727130,0.27760737,0.48297919,0.13197668
51,0.22212175,0.27476535,0.47669083,0.13167985
52,0.21985365,0.27401615,0.47498256,0.13180572
53,0.21728694,0.27274691,0.47358526,0.13109011
54,0.21755065,0.27454794,0.47317047,0.13141756
55,0.21440932,0.27593117,0.47029614,0.13162403
56,0.21152342,0.27426139,0.46870781,0.13131985
57,0.20778201,0.27255298,0.46443976,0.13113710
58,0.20855613,0.26958284,0.46512819,0.13070507
59,0.20757452,0.26985369,0.46351917,0.13011318
60,0.20446960,0.26998739,0.45996979,0.13013009
61,0.20240654,0.27065728,0.45789341,0.13039624
62,0.20225343,0.26961841,0.45749330,0.13007367
63,0.20027779,0.26989652,0.45551864,0.13083499
64,0.19928750,0.26821481,0.45383954,0.13021093
65,0.19783867,0.26681557,0.45233327,0.12978058
66,0.19536381,0.26704518,0.44890602,0.13012276
67,0.19301287,0.26739257,0.44752354,0.13000136
68,0.19537459,0.26858000,0.45021660,0.13033332
69,0.19205559,0.26913950,0.44555757,0.13026766
70,0.19020737,0.26904512,0.44370489,0.13023557
71,0.18860039,0.26949225,0.44175145,0.13068358
72,0.18764220,0.26765980,0.43974012,0.13029867
73,0.18966657,0.26537418,0.44357579,0.12971281
74,0.18402693,0.26614629,0.43516210,0.12990360
75,0.18405212,0.26666496,0.43591140,0.12996095
76,0.18375747,0.26635569,0.43604869,0.12978946
77,0.18303518,0.26690024,0.43511028,0.13006924
78,0.18220909,0.26676039,0.43342255,0.13012226
79,0.18073157,0.26496256,0.43089039,0.12970715
