epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27725708,0.22701388,0.49320914,0.11480788
2,0.26443394,0.22178551,0.48025342,0.11307606
3,0.24758941,0.21590196,0.46135777,0.11191279
4,0.23275667,0.21186252,0.44096410,0.11085004
5,0.22248114,0.20976006,0.42469517,0.11023021
6,0.21505985,0.21018190,0.41258291,0.11013985
7,0.20930297,0.20937100,0.40254495,0.11022526
8,0.20504568,0.21017055,0.39518121,0.11009886
9,0.20184848,0.21259663,0.38909781,0.11023390
10,0.19849746,0.21009030,0.38338238,0.10954424
11,0.19603547,0.21087425,0.37900559,0.10988156
12,0.19344100,0.21169373,0.37451522,0.10944603
13,0.19139635,0.21009417,0.37034325,0.10912528
14,0.18918191,0.21023262,0.36650863,0.10923839
15,0.18754316,0.21216567,0.36329053,0.10930584
16,0.18588461,0.21137991,0.36011523,0.10926599
17,0.18438911,0.20892549,0.35753741,0.10907311
18,0.18311143,0.21065827,0.35490649,0.10884900
19,0.18181790,0.21307353,0.35282588,0.10922457
20,0.18044089,0.21023482,0.34976160,0.10900860
21,0.17924300,0.20930929,0.34796330,0.10881655
22,0.17819470,0.20857521,0.34574006,0.10854254
23,0.17722292,0.20759151,0.34398157,0.10860598
24,0.17618863,0.20963291,0.34195294,0.10907072
25,0.17527456,0.20804776,0.34004263,0.10881688
26,0.17437359,0.21048440,0.33844552,0.10935451
27,0.17354387,0.20618517,0.33699129,0.10874329
28,0.17247140,0.20826622,0.33515152,0.10881016
29,0.17200891,0.20956715,0.33423338,0.10889793
30,0.17106607,0.20992839,0.33225198,0.10964424
31,0.17055764,0.20998276,0.33132565,0.10910419
32,0.16986182,0.21036773,0.33005084,0.10892277
33,0.16904248,0.20786191,0.32847877,0.10883561
34,0.16821342,0.20696098,0.32693712,0.10888736
35,0.16775281,0.21045723,0.32614697,0.10910592
36,0.16725198,0.20732166,0.32495652,0.10908065
37,0.16657428,0.21124425,0.32364337,0.10936406
38,0.16597995,0.20839361,0.32254912,0.10889585
39,0.16556110,0.20801610,0.32191125,0.10903555
40,0.16488030,0.20888921,0.32055776,0.10908337
41,0.16410353,0.20858101,0.31909125,0.10932256
42,0.16359987,0.20880958,0.31819134,0.10978339
43,0.16307143,0.21099849,0.31744896,0.11009830
44,0.16256773,0.20820425,0.31619305,0.10925314
45,0.16230782,0.20955341,0.31554764,0.10936440
46,0.16184018,0.21128903,0.31494492,0.11008226
47,0.16127141,0.21156018,0.31358853,0.11031955
48,0.16102898,0.20921087,0.31306264,0.10961189
49,0.16042808,0.20979619,0.31174483,0.11012924
50,0.16001748,0.20954109,0.31117960,0.11025493
51,0.15963398,0.21313410,0.31045741,0.11122139
52,0.15905916,0.21251705,0.30938157,0.11092197
53,0.15874697,0.21249622,0.30878548,0.11061412
54,0.15839126,0.21064078,0.30780370,0.11052967
55,0.15822412,0.21117051,0.30759849,0.11073500
56,0.15769707,0.21225983,0.30636130,0.11106670
57,0.15726034,0.21360333,0.30601056,0.11126709
58,0.15706871,0.21453809,0.30514453,0.11117476
59,0.15665498,0.21316383,0.30452214,0.11156675
60,0.15645065,0.21145517,0.30413783,0.11130097
61,0.15574373,0.21392529,0.30280297,0.11214199
62,0.15573590,0.21480733,0.30290027,0.11185330
63,0.15540594,0.21516631,0.30196750,0.11238608
64,0.15539246,0.21374335,0.30166573,0.11182418
65,0.15523813,0.21403238,0.30161412,0.11226747
66,0.15488513,0.21593370,0.30089434,0.11255857
67,0.15459430,0.21346571,0.30025593,0.11198101
68,0.15443655,0.21363714,0.29966134,0.11226366
