epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.27656607,0.22749575,0.49328979,0.11467839
2,0.26040126,0.22300405,0.47822279,0.11240097
3,0.23918859,0.21882005,0.45741257,0.11128608
4,0.21649022,0.21655552,0.43262255,0.11105918
5,0.19859473,0.21723133,0.41041657,0.11140863
6,0.18537948,0.22041710,0.39209598,0.11223628
7,0.17595187,0.22345356,0.37826757,0.11297114
8,0.16825416,0.22787879,0.36670403,0.11369436
9,0.16215922,0.23214564,0.35715069,0.11420449
10,0.15655722,0.23498829,0.34856619,0.11463836
11,0.15229222,0.23675524,0.34162376,0.11487615
12,0.14810888,0.24234331,0.33487932,0.11566282
13,0.14460337,0.24702675,0.32913844,0.11586462
14,0.14133762,0.24536227,0.32349410,0.11548179
15,0.13841035,0.24722200,0.31841097,0.11559388
16,0.13578144,0.24736624,0.31401075,0.11533899
17,0.13320674,0.24610785,0.30951747,0.11533071
18,0.13104987,0.24372109,0.30550759,0.11522814
19,0.12905711,0.24803820,0.30206549,0.11560582
20,0.12734844,0.24712067,0.29891274,0.11579821
21,0.12551377,0.24870982,0.29536847,0.11577989
22,0.12383739,0.24313626,0.29228031,0.11484634
23,0.12223184,0.24279360,0.28954392,0.11468998
24,0.12062075,0.24425132,0.28639046,0.11529036
25,0.11930560,0.24170662,0.28388141,0.11447518
26,0.11813721,0.24005418,0.28168676,0.11485577
27,0.11681123,0.23377678,0.27911003,0.11364161
28,0.11550537,0.23437793,0.27647582,0.11360635
29,0.11429928,0.23725855,0.27445013,0.11404432
30,0.11347549,0.23546425,0.27248686,0.11422524
31,0.11230929,0.23959263,0.27046043,0.11405862
32,0.11129437,0.23292375,0.26849887,0.11336915
33,0.11006644,0.23305662,0.26636852,0.11329664
34,0.10918825,0.23541938,0.26439815,0.11367517
35,0.10821717,0.23767514,0.26254508,0.11398123
36,0.10724005,0.22959655,0.26044707,0.11323504
37,0.10619898,0.23298826,0.25840427,0.11367590
38,0.10576740,0.22932952,0.25747881,0.11262129
39,0.10477604,0.22818387,0.25554580,0.11307132
40,0.10380925,0.23045495,0.25351325,0.11361313
41,0.10275620,0.22947215,0.25151430,0.11373005
42,0.10228631,0.22424373,0.25065935,0.11299972
43,0.10154280,0.22931192,0.24900668,0.11420695
44,0.10076029,0.23011876,0.24724982,0.11327137
45,0.10013340,0.23107869,0.24606563,0.11418301
46,0.09908301,0.22589609,0.24423666,0.11384636
47,0.09844213,0.22683138,0.24258838,0.11334004
48,0.09807858,0.22926278,0.24180369,0.11394482
49,0.09736017,0.22155457,0.24005725,0.11382961
50,0.09691418,0.22722378,0.23924586,0.11437246
51,0.09608705,0.22332816,0.23743052,0.11468419
52,0.09558203,0.22405281,0.23655723,0.11382912
53,0.09506487,0.22425516,0.23527867,0.11411674
