epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.28039542,0.22978846,0.49614093,0.11645608
2,0.27613083,0.22897851,0.49185072,0.11582558
3,0.27248617,0.22797556,0.48809229,0.11517972
4,0.26795490,0.22650378,0.48365788,0.11450659
5,0.26389890,0.22459750,0.47928433,0.11382368
6,0.25879094,0.22235015,0.47415429,0.11324714
7,0.25214783,0.21979646,0.46694214,0.11273353
8,0.24446444,0.21712846,0.45817847,0.11229247
9,0.23792935,0.21486629,0.44918011,0.11190678
10,0.23251807,0.21226111,0.44107876,0.11130982
11,0.22673930,0.21115728,0.43249746,0.11109571
12,0.22306948,0.21032421,0.42581366,0.11086976
13,0.21835289,0.20966536,0.41899917,0.11071409
14,0.21491138,0.20976913,0.41347230,0.11073259
15,0.21168200,0.20935667,0.40820992,0.11078495
16,0.20934294,0.20934092,0.40417888,0.11060031
17,0.20659971,0.21029307,0.39916839,0.11082914
18,0.20481488,0.20981072,0.39612135,0.11086986
19,0.20301995,0.20959430,0.39223822,0.11074704
20,0.20114237,0.21012153,0.38976345,0.11077197
21,0.19921525,0.20965879,0.38638123,0.11073553
22,0.19809418,0.21078653,0.38453923,0.11069188
23,0.19648735,0.21139162,0.38147584,0.11052406
24,0.19491562,0.21097414,0.37821022,0.11019333
25,0.19317539,0.21133210,0.37643570,0.11049065
26,0.19286550,0.21250959,0.37519311,0.11065335
27,0.19112913,0.21201022,0.37167888,0.11061666
28,0.19045413,0.21106289,0.36990578,0.11026065
29,0.18881752,0.21122522,0.36819035,0.10978372
30,0.18773765,0.21144500,0.36600646,0.11005263
31,0.18664866,0.21301856,0.36337306,0.10990611
32,0.18596869,0.21055464,0.36249338,0.10941198
33,0.18516599,0.21153147,0.36135821,0.10977766
34,0.18492436,0.21036774,0.35998010,0.10947946
35,0.18318765,0.21072052,0.35738939,0.10924627
36,0.18279899,0.21080853,0.35576635,0.10940472
37,0.18224672,0.20970250,0.35519665,0.10945075
38,0.18066565,0.21103868,0.35369492,0.10969143
39,0.18074161,0.21127733,0.35207733,0.10933901
40,0.18014286,0.20816766,0.35141658,0.10898893
41,0.17938841,0.21183940,0.34962318,0.10924784
42,0.17798183,0.21151779,0.34786261,0.10952002
43,0.17755637,0.21001582,0.34677336,0.10926379
44,0.17687160,0.21213494,0.34511456,0.10954174
45,0.17687089,0.21023562,0.34482837,0.10936757
46,0.17488870,0.21119529,0.34163673,0.10934650
47,0.17539213,0.20902669,0.34304802,0.10926588
48,0.17486908,0.21034905,0.34159101,0.10925955
49,0.17410490,0.21006790,0.33979969,0.10899753
50,0.17283743,0.21098834,0.33802968,0.10964534
51,0.17301682,0.21135602,0.33853292,0.10924562
52,0.17325836,0.20893041,0.33838120,0.10922075
53,0.17310229,0.21070466,0.33747562,0.10935886
54,0.17164212,0.20915991,0.33492506,0.10874228
55,0.17189585,0.21039645,0.33576470,0.10882147
56,0.17152829,0.21118886,0.33475808,0.10911012
57,0.17034919,0.20737385,0.33299060,0.10864242
58,0.17010058,0.20983800,0.33256674,0.10914113
59,0.16992210,0.20800636,0.33176327,0.10916547
60,0.16959583,0.20955663,0.33148320,0.10909727
61,0.16891009,0.20963291,0.32951390,0.10926880
62,0.16918656,0.21158381,0.33096325,0.10911147
63,0.16782829,0.20946782,0.32792040,0.10924335
64,0.16873147,0.21008486,0.32939129,0.10913063
65,0.16846373,0.20886074,0.32870771,0.10899088
66,0.16702738,0.20963837,0.32536253,0.10904872
67,0.16751482,0.21043045,0.32785205,0.10934225
68,0.16697937,0.20963613,0.32603991,0.10898613
69,0.16692533,0.20793732,0.32566976,0.10886386
70,0.16697230,0.20847209,0.32570437,0.10898060
71,0.16644709,0.20794976,0.32457237,0.10882527
72,0.16536290,0.20855463,0.32364557,0.10946396
73,0.16566682,0.21093075,0.32407798,0.10933084
74,0.16557076,0.20933581,0.32363934,0.10916836
75,0.16535034,0.20730415,0.32298705,0.10877713
76,0.16492327,0.20895995,0.32201599,0.10873129
77,0.16468936,0.20920725,0.32215285,0.10936080
78,0.16455658,0.20848209,0.32194712,0.10876902
79,0.16394489,0.20882553,0.32010972,0.10900287
80,0.16424001,0.20915234,0.32090723,0.10894647
81,0.16405672,0.20794800,0.32041538,0.10861775
82,0.16380616,0.21112494,0.31995538,0.10909580
83,0.16349180,0.20837209,0.31971212,0.10885754
84,0.16321466,0.20956120,0.31899513,0.10900477
85,0.16331540,0.20770706,0.31809720,0.10852399
86,0.16259795,0.20829878,0.31821985,0.10896738
87,0.16159972,0.20858020,0.31649470,0.10879457
88,0.16223256,0.20738700,0.31698419,0.10855035
89,0.16202863,0.20734082,0.31712475,0.10895576
90,0.16203752,0.20770582,0.31586999,0.10827382
91,0.16123415,0.20910872,0.31636932,0.10873002
92,0.16193573,0.20764016,0.31617867,0.10904025
93,0.16101340,0.20916088,0.31443157,0.10865522
94,0.16125545,0.20808583,0.31553599,0.10879098
95,0.16075632,0.20879621,0.31461305,0.10863881
96,0.16101281,0.20793658,0.31445327,0.10886691
97,0.16115237,0.20796082,0.31500964,0.10840524
98,0.16080737,0.20728930,0.31522478,0.10841716
99,0.16013458,0.20787535,0.31247264,0.10876090
100,0.16015735,0.20803423,0.31283652,0.10848423
101,0.16012358,0.20672443,0.31245062,0.10893565
102,0.15959759,0.20963961,0.31275267,0.10882051
103,0.15954773,0.20628103,0.31177241,0.10874746
104,0.15958856,0.20901764,0.31200124,0.10870039
105,0.15967665,0.20801610,0.31165837,0.10892606
106,0.15913651,0.20928872,0.31164179,0.10848098
107,0.15891474,0.20804700,0.31056891,0.10886742
108,0.15917036,0.20753688,0.31140213,0.10879423
109,0.15850396,0.20945244,0.31051266,0.10836253
110,0.15898185,0.20536199,0.30967261,0.10841918
111,0.15873714,0.20876515,0.31098787,0.10855246
112,0.15863348,0.20697635,0.30913839,0.10805467
113,0.15870103,0.20739562,0.30999475,0.10872046
114,0.15851500,0.20781457,0.31016488,0.10847734
