epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.28264478,0.23025090,0.49814097,0.11684145
2,0.28229516,0.22989969,0.49791996,0.11656661
3,0.28079332,0.22959784,0.49664863,0.11629929
4,0.27638414,0.22926619,0.49216190,0.11601366
5,0.27513703,0.22887675,0.49067251,0.11571243
6,0.27323291,0.22840849,0.48889721,0.11538230
7,0.27114478,0.22773784,0.48685102,0.11499349
8,0.26901022,0.22695695,0.48445463,0.11459146
9,0.26592004,0.22596292,0.48143905,0.11418589
10,0.26256469,0.22476229,0.47828175,0.11377920
11,0.25788675,0.22348427,0.47345516,0.11340601
12,0.25421190,0.22204041,0.46963415,0.11309402
13,0.25107596,0.22055617,0.46633123,0.11286246
14,0.24603233,0.21892531,0.46077821,0.11263293
15,0.24030117,0.21723000,0.45422499,0.11240181
16,0.23723724,0.21560548,0.44990964,0.11217268
17,0.23325600,0.21415547,0.44436473,0.11190755
18,0.22852988,0.21273581,0.43785769,0.11162997
19,0.22397445,0.21171543,0.43128371,0.11137448
20,0.22080583,0.21085118,0.42631714,0.11111158
21,0.21595534,0.21016614,0.41915511,0.11098605
22,0.21256956,0.20939870,0.41393433,0.11086372
23,0.21077985,0.20902939,0.41079108,0.11077276
24,0.20773003,0.20914309,0.40635842,0.11080673
25,0.20488722,0.20967310,0.40201996,0.11090988
26,0.20318099,0.21018583,0.39903355,0.11105635
27,0.20119753,0.21086994,0.39548090,0.11120056
28,0.19820559,0.21071752,0.39097036,0.11121026
29,0.19813425,0.20975898,0.38998177,0.11108140
30,0.19338188,0.21049204,0.38399422,0.11109208
31,0.19382586,0.21119353,0.38365530,0.11112335
32,0.19029118,0.21140279,0.37843899,0.11110164
33,0.18975721,0.21087923,0.37730257,0.11110219
34,0.18822059,0.21155077,0.37512933,0.11110597
35,0.18702193,0.21082862,0.37199920,0.11087384
36,0.18662460,0.21145183,0.37047737,0.11088249
37,0.18584999,0.21259149,0.36889745,0.11081284
38,0.18426316,0.21267462,0.36702062,0.11098841
39,0.18261447,0.21441975,0.36394918,0.11114188
40,0.18033073,0.21240764,0.36067577,0.11052083
41,0.17981088,0.21276608,0.36000165,0.11068597
42,0.18019411,0.21382385,0.36018044,0.11058661
43,0.17973471,0.21543485,0.35782231,0.11084647
44,0.17599864,0.21496576,0.35329665,0.11073030
45,0.17594469,0.21412682,0.35275513,0.11069192
46,0.17480239,0.21445570,0.35102336,0.11075184
47,0.17362287,0.21318767,0.34867690,0.11018138
48,0.17433189,0.21497600,0.34860697,0.11061622
49,0.17174310,0.21420595,0.34451768,0.11011352
50,0.17214406,0.21530620,0.34526930,0.11013047
51,0.17190460,0.21474164,0.34494034,0.11020524
52,0.17058539,0.21815658,0.34304447,0.11051430
53,0.17027745,0.21643842,0.34131992,0.11038271
54,0.16881091,0.21515427,0.33927502,0.11022859
55,0.16910052,0.21826684,0.33851884,0.11057810
56,0.16897194,0.21808883,0.33868905,0.11020212
57,0.16710690,0.21452471,0.33554739,0.11034038
58,0.16733406,0.21423067,0.33714561,0.11022389
59,0.16679521,0.21718340,0.33540558,0.11013906
60,0.16673056,0.21484453,0.33450361,0.10994489
61,0.16602398,0.21258761,0.33281897,0.10993191
62,0.16501719,0.21607135,0.33244303,0.10981380
63,0.16415048,0.21517261,0.32914834,0.10925901
64,0.16407376,0.21493834,0.33057076,0.10964084
65,0.16295937,0.21553993,0.32884980,0.11008215
66,0.16272027,0.21503675,0.32693066,0.10978757
67,0.16153497,0.21693423,0.32615496,0.11033503
68,0.16188114,0.21617420,0.32573313,0.10991734
69,0.16167266,0.21508303,0.32561951,0.10972681
70,0.16099181,0.21441985,0.32461802,0.10989503
71,0.16204671,0.21952946,0.32604450,0.11067929
72,0.15975212,0.21468853,0.32158771,0.10957441
73,0.16160730,0.21518263,0.32427106,0.10972176
74,0.15858912,0.21608547,0.31961384,0.11001600
75,0.15969186,0.21346569,0.32090870,0.10959363
76,0.15910341,0.21134500,0.32133590,0.10931656
77,0.15947600,0.21902986,0.32159563,0.11011864
78,0.15848868,0.21830905,0.31895624,0.11037278
79,0.15832624,0.21258454,0.31828913,0.10962367
80,0.15793851,0.21744156,0.31823736,0.10997065
81,0.15816258,0.21652902,0.31761942,0.10982788
82,0.15763974,0.21417445,0.31738272,0.10954093
83,0.15796863,0.21624820,0.31756960,0.10959675
84,0.15664382,0.21712678,0.31622156,0.10931222
85,0.15683167,0.21651741,0.31574028,0.10968180
86,0.15641863,0.21397981,0.31531882,0.10971190
87,0.15651952,0.21747738,0.31457067,0.10985698
88,0.15573098,0.21686999,0.31340504,0.10959446
89,0.15521992,0.21540232,0.31278132,0.10957594
90,0.15508284,0.21475558,0.31245712,0.10941911
91,0.15522062,0.21436986,0.31316641,0.10945197
92,0.15454280,0.21614360,0.31201860,0.10955755
93,0.15409634,0.21595656,0.31167680,0.10944280
94,0.15480074,0.21845049,0.31096404,0.10974618
95,0.15335568,0.21495994,0.31024384,0.10965209
96,0.15480860,0.21515780,0.31080353,0.10953874
97,0.15391481,0.21625396,0.31016425,0.10986213
98,0.15398174,0.21648583,0.30939033,0.11013237
99,0.15326264,0.21792375,0.30827856,0.10999282
100,0.15330531,0.21540377,0.30786151,0.10965850
101,0.15264055,0.21427545,0.30759528,0.10985057
102,0.15246200,0.21277579,0.30778543,0.10955674
103,0.15327833,0.21527967,0.30880213,0.10948205
104,0.15234397,0.21461182,0.30640456,0.10971680
105,0.15141211,0.21564826,0.30623736,0.10984221
106,0.15230252,0.21679351,0.30637142,0.11009650
107,0.15161485,0.21686527,0.30543937,0.10995839
108,0.15198657,0.21507306,0.30489143,0.10951457
109,0.15200312,0.21478601,0.30630633,0.10957353
110,0.15098388,0.21346083,0.30561882,0.10958070
111,0.15195105,0.21310385,0.30467800,0.10931157
112,0.15042037,0.21324347,0.30291017,0.10923049
113,0.15108474,0.21679594,0.30421546,0.10988203
114,0.15181337,0.21599237,0.30434484,0.10986653
115,0.14969726,0.21606288,0.30229788,0.10989377
116,0.14978940,0.21603270,0.30174557,0.11010417
117,0.14963388,0.21418918,0.30174476,0.10972948
118,0.15070285,0.21486544,0.30134536,0.10998968
119,0.14905439,0.21567005,0.30022328,0.10987908
120,0.15016079,0.21495431,0.30340894,0.11014926
121,0.14916705,0.21626765,0.30161217,0.11022002
122,0.14921981,0.21598563,0.29951949,0.11000882
123,0.14888883,0.21409253,0.29964769,0.10984923
124,0.14892387,0.21360556,0.30087386,0.10995196
125,0.14865333,0.21538730,0.29925429,0.10987605
126,0.14818427,0.21631271,0.29900750,0.10993313
127,0.14898420,0.21308480,0.30016706,0.10979483
128,0.14791853,0.21366899,0.29748332,0.10976324
129,0.14828050,0.21649718,0.29924520,0.10998936
130,0.14794579,0.21698615,0.29769854,0.11002885
131,0.14774308,0.21380462,0.29809331,0.10968994
132,0.14831751,0.21638074,0.29833159,0.11001166
133,0.14800799,0.21731734,0.29829753,0.11009619
134,0.14830959,0.21517505,0.29741438,0.10972324
135,0.14680158,0.21359875,0.29624596,0.10965559
136,0.14726484,0.21681477,0.29600171,0.10987102
137,0.14733874,0.21549745,0.29642318,0.10987248
138,0.14658413,0.21279137,0.29453857,0.10944402
139,0.14671600,0.21539416,0.29594067,0.11013325
140,0.14729353,0.21583520,0.29537641,0.11008055
141,0.14720932,0.21341756,0.29606397,0.10961416
142,0.14671334,0.21332673,0.29600854,0.10960236
143,0.14686602,0.21701312,0.29429422,0.10999067
144,0.14652968,0.21300212,0.29527339,0.10945570
145,0.14684142,0.21437146,0.29580653,0.10954936
146,0.14647897,0.21629102,0.29482226,0.10994647
147,0.14619442,0.21464013,0.29346870,0.10987298
148,0.14660180,0.21310365,0.29514433,0.10953666
149,0.14551694,0.21552294,0.29311082,0.10989798
150,0.14571100,0.21544830,0.29244242,0.10995782
151,0.14590832,0.21218524,0.29296455,0.10915147
152,0.14500213,0.21324350,0.29332458,0.10960496
153,0.14553142,0.21501386,0.29343321,0.11004964
154,0.14495123,0.21551474,0.29156402,0.11003862
155,0.14512019,0.21382183,0.29186085,0.10961354
156,0.14582834,0.21576761,0.29293942,0.10959080
157,0.14424220,0.21491471,0.28928918,0.10967457
158,0.14578653,0.21368157,0.29247068,0.10972823
159,0.14492828,0.21446652,0.29265278,0.10978625
160,0.14474428,0.21436153,0.29110031,0.10945247
161,0.14510335,0.21489091,0.28980316,0.10925160
162,0.14467864,0.21308446,0.29226718,0.10939576
163,0.14331165,0.21526388,0.28935671,0.10996462
164,0.14360547,0.21558469,0.28886053,0.10998855
165,0.14450824,0.21587151,0.29109437,0.11011908
166,0.14356773,0.21553921,0.28966997,0.10999589
167,0.14385882,0.21584201,0.28938698,0.10988900
168,0.14352401,0.21519097,0.28833747,0.10959620
169,0.14388459,0.21341440,0.29050199,0.10935770
170,0.14282531,0.21131851,0.28819297,0.10929776
171,0.14361065,0.21365456,0.28843533,0.10966859
172,0.14369188,0.21507389,0.28919115,0.10967809
173,0.14307886,0.21335697,0.28860416,0.10951023
174,0.14343627,0.21309387,0.28812050,0.10971379
175,0.14236274,0.21328455,0.28593054,0.10966561
176,0.14286380,0.21254840,0.28745201,0.10917389
177,0.14321633,0.21367634,0.28755631,0.10922961
178,0.14316954,0.21512180,0.28894581,0.10940883
179,0.14313293,0.21340450,0.28755253,0.10962174
180,0.14336612,0.21336076,0.28743401,0.10960545
181,0.14279230,0.21361885,0.28675234,0.10976940
182,0.14253204,0.21460793,0.28590723,0.10950539
183,0.14169099,0.21388182,0.28626699,0.10941135
184,0.14161942,0.21332929,0.28536988,0.10968445
185,0.14221492,0.21491312,0.28733904,0.10985696
186,0.14211139,0.21637063,0.28593334,0.10967277
187,0.14244290,0.21424313,0.28502023,0.10951515
188,0.14217998,0.21366621,0.28675193,0.10954510
189,0.14191375,0.21473291,0.28514091,0.10979696
190,0.14229516,0.21575263,0.28594920,0.10981497
191,0.14128888,0.21458466,0.28383859,0.10966920
192,0.14160506,0.21348280,0.28541237,0.10957009
193,0.14070892,0.21574455,0.28450358,0.10970324
194,0.14106638,0.21632109,0.28454720,0.10971003
195,0.14134945,0.21570590,0.28382107,0.10979212
196,0.14106346,0.21401711,0.28266024,0.10978998
197,0.14126194,0.21536674,0.28466334,0.10977496
198,0.14211091,0.21538870,0.28585831,0.10970028
199,0.14086093,0.21324596,0.28334206,0.10940619
200,0.14155045,0.21243482,0.28420723,0.10915542
201,0.14112532,0.21305748,0.28407821,0.10943445
202,0.14041313,0.21550838,0.28248941,0.10984066
203,0.14026693,0.21373265,0.28108153,0.10990036
204,0.14124971,0.21350460,0.28438513,0.10971671
205,0.14126809,0.21344320,0.28413551,0.10941053
206,0.14024649,0.21335054,0.28175049,0.10932329
207,0.14086138,0.21292757,0.28394391,0.10949498
208,0.14026472,0.21323170,0.28183581,0.10979847
209,0.14030416,0.21315632,0.28184173,0.10972733
210,0.14046162,0.21336848,0.28107299,0.10977595
211,0.14074174,0.21287384,0.28235835,0.10948618
212,0.14036650,0.21379015,0.28294375,0.10953989
213,0.14007398,0.21536757,0.28108501,0.10971136
214,0.13998931,0.21525206,0.28069864,0.10994226
215,0.13978460,0.21354701,0.28265436,0.11002305
216,0.13936501,0.21453990,0.28154712,0.11006698
217,0.14014344,0.21587836,0.28131873,0.10989725
218,0.14023173,0.21593050,0.28190469,0.10981343
219,0.13938225,0.21427228,0.28122639,0.10953752
220,0.13985677,0.21275027,0.28010089,0.10956852
221,0.13892790,0.21230192,0.28013071,0.10985016
222,0.13891149,0.21380216,0.28139924,0.10999851
223,0.13927018,0.21508291,0.27819755,0.10986230
224,0.13979600,0.21269384,0.28085855,0.10939034
225,0.13877828,0.21370188,0.27978871,0.10976218
226,0.13884205,0.21335972,0.27939221,0.10994560
227,0.13933449,0.21195135,0.27925672,0.10989403
228,0.13864487,0.21294147,0.27941250,0.10992077
229,0.13822425,0.21547817,0.27958348,0.10999245
230,0.13901735,0.21492425,0.27872767,0.10988873
231,0.13932382,0.21262023,0.27839437,0.10984267
232,0.13859946,0.21123475,0.27842243,0.10974286
233,0.13882855,0.21228031,0.27905358,0.10956958
234,0.13864968,0.21319900,0.28009533,0.10988806
235,0.13828345,0.21345656,0.27703462,0.10991371
236,0.13826494,0.21377604,0.27846945,0.10986209
237,0.13857711,0.21441875,0.27803204,0.10989734
238,0.13880045,0.21388460,0.27868742,0.10987751
239,0.13882788,0.21395146,0.27880305,0.11001588
240,0.13829469,0.21336650,0.27957439,0.10976451
241,0.13868558,0.21272916,0.27701507,0.10966104
242,0.13849746,0.21232376,0.27825186,0.10963095
243,0.13856969,0.21261949,0.27795480,0.10964604
244,0.13769593,0.21466586,0.27674001,0.10995386
245,0.13806718,0.21366255,0.27626431,0.10957611
246,0.13837152,0.21312534,0.27789930,0.10958837
247,0.13840084,0.21432872,0.27908012,0.10993285
248,0.13781328,0.21529397,0.27724677,0.11013848
249,0.13724158,0.21366869,0.27496729,0.10963227
250,0.13737469,0.21280405,0.27844212,0.10957635
251,0.13790644,0.21438160,0.27659068,0.10987425
252,0.13776010,0.21469925,0.27556918,0.11014077
253,0.13767431,0.21451006,0.27623872,0.11019412
254,0.13715422,0.21389924,0.27641321,0.10996721
255,0.13773457,0.21318196,0.27589055,0.10986180
256,0.13687109,0.21420695,0.27553046,0.10996191
257,0.13830116,0.21506423,0.27731668,0.11001418
258,0.13758607,0.21416335,0.27673766,0.10982611
259,0.13711215,0.21502747,0.27579972,0.10999695
260,0.13763399,0.21414462,0.27654851,0.11001340
261,0.13722098,0.21431318,0.27602966,0.10986664
262,0.13712560,0.21414030,0.27576286,0.10954434
263,0.13735151,0.21330868,0.27430155,0.10914094
264,0.13671421,0.21310661,0.27547691,0.10946054
265,0.13710351,0.21358238,0.27474005,0.10981172
266,0.13722553,0.21404372,0.27547969,0.10976327
267,0.13684384,0.21404853,0.27423281,0.10953368
268,0.13710757,0.21362763,0.27424956,0.10954005
269,0.13690159,0.21392231,0.27555895,0.10991052
270,0.13711451,0.21416599,0.27557430,0.10978217
271,0.13727009,0.21419636,0.27605078,0.10977565
272,0.13613580,0.21517706,0.27319800,0.10997012
273,0.13717726,0.21480761,0.27531440,0.10995616
274,0.13649046,0.21539149,0.27388272,0.11004699
275,0.13660908,0.21355681,0.27390324,0.10963038
276,0.13645123,0.21350139,0.27434498,0.10964540
277,0.13634372,0.21448240,0.27393170,0.11021408
278,0.13649926,0.21511220,0.27211728,0.11027342
279,0.13628644,0.21426384,0.27385567,0.10985528
280,0.13560834,0.21371157,0.27336350,0.10990929
281,0.13667241,0.21416199,0.27404844,0.11017827
282,0.13537024,0.21395870,0.27284011,0.11002417
283,0.13599225,0.21448994,0.27302818,0.10989872
284,0.13558947,0.21443593,0.27220619,0.10995634
285,0.13548703,0.21429129,0.27230987,0.11001252
286,0.13603675,0.21524215,0.27294872,0.11015089
287,0.13568973,0.21476777,0.27173565,0.10973844
288,0.13535294,0.21490452,0.27256624,0.10979464
289,0.13627466,0.21412093,0.27354555,0.10992262
290,0.13493366,0.21539512,0.27149445,0.11014909
291,0.13568861,0.21452918,0.27147455,0.11014000
292,0.13548835,0.21560947,0.27219700,0.10983473
293,0.13574710,0.21471226,0.27193661,0.10980941
294,0.13624250,0.21494125,0.27302643,0.10997940
295,0.13582652,0.21496047,0.27244796,0.11015719
296,0.13639580,0.21497740,0.27140019,0.10994959
297,0.13494450,0.21650678,0.27263074,0.11008341
298,0.13625081,0.21617068,0.27367542,0.11008094
299,0.13507542,0.21515588,0.27182192,0.10981428
300,0.13604960,0.21436476,0.27192819,0.10973841
