epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.41381694,0.75879301,0.33824444,0.22405922,1.84431812
2,0.72278340,0.49005777,0.22901403,0.17483904,0.88626455
3,0.54234106,0.42251938,0.19738329,0.15892121,0.66406617
4,0.47144526,0.38436045,0.18291048,0.14932195,0.57324994
5,0.42003260,0.36231551,0.17270712,0.14291758,0.51087045
6,0.38284853,0.34484822,0.16411099,0.13865521,0.46324050
7,0.35496220,0.33405186,0.15809017,0.13512129,0.42934117
8,0.33150585,0.32733434,0.15231316,0.13232846,0.39973846
9,0.31236837,0.32005616,0.14801984,0.13008022,0.37726990
10,0.29415808,0.31406964,0.14312753,0.12844999,0.35411349
11,0.28235028,0.31023976,0.14013685,0.12690720,0.33965226
12,0.26911195,0.30315693,0.13671424,0.12576289,0.32333671
13,0.25767316,0.30335104,0.13392697,0.12479592,0.30973051
14,0.24834433,0.29902967,0.13133621,0.12359840,0.29814741
15,0.24021691,0.29687297,0.12928446,0.12318625,0.28870583
16,0.23214328,0.29287802,0.12690652,0.12221170,0.27830166
17,0.22553867,0.29047972,0.12519568,0.12186322,0.27106836
18,0.21846576,0.29128844,0.12290826,0.12141634,0.26211862
19,0.21246088,0.28908705,0.12135982,0.12115509,0.25504324
20,0.20772457,0.28680529,0.11986222,0.12018024,0.24887976
21,0.20095400,0.28490562,0.11795881,0.12016967,0.24086786
22,0.19774221,0.28408934,0.11698492,0.11962470,0.23714713
23,0.19336883,0.28241200,0.11569587,0.11939939,0.23190632
24,0.18926755,0.28163420,0.11448541,0.11907887,0.22686222
25,0.18486461,0.28096450,0.11326005,0.11897562,0.22188221
26,0.18062153,0.27829076,0.11188553,0.11840077,0.21671007
27,0.17683781,0.27856384,0.11063379,0.11836300,0.21176314
28,0.17309593,0.27689315,0.10961353,0.11826717,0.20789356
29,0.17020219,0.27610341,0.10870067,0.11811055,0.20436154
30,0.16719607,0.27645945,0.10778957,0.11766369,0.20096373
31,0.16407950,0.27651131,0.10702818,0.11751068,0.19754017
32,0.16056157,0.27280351,0.10575802,0.11745549,0.19310041
33,0.15755120,0.27408318,0.10481405,0.11731051,0.18968494
34,0.15459159,0.27116606,0.10377929,0.11683756,0.18594616
35,0.15164173,0.27313242,0.10276237,0.11688943,0.18226070
36,0.14987038,0.27091591,0.10221879,0.11664184,0.18029034
37,0.14676958,0.27328508,0.10122437,0.11666253,0.17681536
38,0.14451229,0.27059740,0.10050367,0.11639961,0.17426899
39,0.14160810,0.27070340,0.09950962,0.11637230,0.17067840
40,0.13955606,0.26964957,0.09884262,0.11640960,0.16817383
41,0.13823220,0.26826229,0.09843962,0.11615184,0.16679502
42,0.13573509,0.26906736,0.09759507,0.11587416,0.16380103
43,0.13346158,0.26910359,0.09675654,0.11624966,0.16109270
44,0.13134413,0.26803819,0.09604273,0.11573153,0.15859527
45,0.12949167,0.26825912,0.09523624,0.11563652,0.15626231
46,0.12773362,0.26803646,0.09486626,0.11588975,0.15440978
47,0.12645054,0.26747248,0.09448652,0.11550590,0.15311556
48,0.12338776,0.26561009,0.09324463,0.11564122,0.14913121
49,0.12233204,0.26700179,0.09301176,0.11565546,0.14816719
50,0.12094947,0.26597139,0.09247675,0.11527766,0.14647724
51,0.11833208,0.26790473,0.09154054,0.11560765,0.14343912
52,0.11665024,0.26776227,0.09087750,0.11543254,0.14146359
53,0.11536031,0.26437752,0.09036577,0.11494482,0.13987199
54,0.11375685,0.26818725,0.08989510,0.11573411,0.13811417
55,0.11197408,0.26924927,0.08922408,0.11565663,0.13597864
56,0.11079319,0.26790802,0.08870826,0.11554594,0.13446633
57,0.10971226,0.26605677,0.08839486,0.11532337,0.13339005
58,0.10808599,0.27088515,0.08763880,0.11573135,0.13119713
59,0.10651567,0.26805631,0.08720743,0.11573691,0.12969092
60,0.10508611,0.26926297,0.08659395,0.11564246,0.12782466
61,0.10396541,0.26950296,0.08607485,0.11543715,0.12626669
62,0.10341689,0.26840910,0.08576721,0.11561718,0.12564661
63,0.10210059,0.26832698,0.08537181,0.11559954,0.12420921
64,0.10034148,0.27138333,0.08450231,0.11587883,0.12178510
65,0.09923741,0.27142325,0.08424138,0.11560494,0.12077344
66,0.09786440,0.27201647,0.08351153,0.11595375,0.11895744
67,0.09681772,0.27005043,0.08323883,0.11581850,0.11777936
68,0.09557068,0.26955438,0.08289887,0.11582010,0.11672968
69,0.09442764,0.27343378,0.08216550,0.11652633,0.11492474
70,0.09314483,0.27322535,0.08178090,0.11665624,0.11370777
71,0.09230733,0.27197390,0.08134139,0.11624494,0.11252222
72,0.09106314,0.27178190,0.08079204,0.11642193,0.11105997
73,0.09042216,0.27235063,0.08061211,0.11627001,0.11037043
74,0.08907580,0.27171246,0.07996723,0.11655552,0.10868069
75,0.08838414,0.27276211,0.07970988,0.11676379,0.10786195
76,0.08743554,0.27276529,0.07939155,0.11678067,0.10693836
77,0.08658813,0.27491340,0.07886712,0.11713185,0.10568147
78,0.08522445,0.27409258,0.07830943,0.11669266,0.10411182
79,0.08454276,0.27422136,0.07804714,0.11687597,0.10345492
80,0.08403031,0.27401966,0.07763932,0.11684310,0.10259300
81,0.08266484,0.27411296,0.07724431,0.11706300,0.10120178
82,0.08232832,0.27557478,0.07704519,0.11717744,0.10067591
83,0.08147611,0.27397710,0.07669005,0.11703037,0.09978883
84,0.08044962,0.27592090,0.07613997,0.11750267,0.09833564
85,0.07950023,0.27562510,0.07571012,0.11770087,0.09727809
86,0.07817153,0.27689659,0.07512546,0.11787217,0.09565570
87,0.07788041,0.27339035,0.07495630,0.11761529,0.09527597
88,0.07700672,0.27826743,0.07449766,0.11819505,0.09417263
89,0.07634829,0.27520863,0.07411337,0.11795240,0.09335185
90,0.07547579,0.27611049,0.07378568,0.11827990,0.09232662
91,0.07461024,0.27807350,0.07349208,0.11863595,0.09144549
92,0.07398608,0.27929379,0.07309169,0.11915273,0.09055116
93,0.07316355,0.27772127,0.07259377,0.11921647,0.08938637
94,0.07284508,0.28079713,0.07253419,0.11951700,0.08921260
95,0.07182823,0.27922102,0.07210620,0.11930653,0.08802128
96,0.07139028,0.27814553,0.07178463,0.11922291,0.08737183
