epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.06881860,0.49232640,0.28893219,0.17503172,1.36430972
2,0.51202922,0.38970107,0.19138351,0.15053459,0.62540454
3,0.41116119,0.35161219,0.17044790,0.13989645,0.49873876
4,0.35399645,0.32838663,0.15763722,0.13320715,0.42805785
5,0.31649917,0.31767363,0.14859367,0.12955004,0.38129662
6,0.28823709,0.30813075,0.14163548,0.12692291,0.34633185
7,0.26635030,0.30391486,0.13599846,0.12477276,0.32022521
8,0.24957179,0.29811098,0.13152037,0.12341037,0.29923190
9,0.23668669,0.29359226,0.12787197,0.12233541,0.28355580
10,0.22351224,0.29024148,0.12432687,0.12139741,0.26779223
11,0.21364637,0.28840150,0.12150299,0.12052304,0.25590337
12,0.20494882,0.28746807,0.11887366,0.11996699,0.24526351
13,0.19761110,0.28422914,0.11685035,0.11961922,0.23683222
14,0.18969743,0.28202834,0.11443708,0.11898801,0.22705110
15,0.18324525,0.28078937,0.11252501,0.11876577,0.21958675
16,0.17749016,0.27700991,0.11085025,0.11831182,0.21286784
17,0.17178312,0.27765197,0.10905381,0.11772704,0.20601093
18,0.16744036,0.27353892,0.10770609,0.11709886,0.20084421
19,0.16197125,0.27278702,0.10598393,0.11726573,0.19435668
20,0.15741535,0.27426222,0.10440636,0.11714897,0.18873013
21,0.15356181,0.27052710,0.10330125,0.11666770,0.18457763
22,0.14928857,0.27101218,0.10195060,0.11657758,0.17951686
23,0.14513321,0.26940286,0.10056707,0.11635227,0.17458996
24,0.14131234,0.26974759,0.09926405,0.11628790,0.16997165
25,0.13699543,0.26937442,0.09784022,0.11593508,0.16497930
26,0.13425572,0.26899410,0.09684472,0.11586052,0.16167853
27,0.13108866,0.26789454,0.09581371,0.11606704,0.15803617
28,0.12772023,0.26682909,0.09473973,0.11591494,0.15429357
29,0.12497854,0.26505530,0.09381485,0.11542889,0.15094410
30,0.12218438,0.26776103,0.09276639,0.11575201,0.14770224
31,0.11949583,0.26780596,0.09173841,0.11571630,0.14442798
32,0.11671767,0.26652130,0.09077727,0.11562681,0.14121675
33,0.11428198,0.26757088,0.08987077,0.11581254,0.13829867
34,0.11200641,0.26833695,0.08905090,0.11610590,0.13564906
35,0.10986250,0.26890638,0.08827585,0.11560859,0.13328541
36,0.10714351,0.26933092,0.08727353,0.11575642,0.13006428
37,0.10574762,0.26928947,0.08662351,0.11612927,0.12826939
38,0.10308458,0.26969856,0.08566685,0.11589698,0.12522381
39,0.10139248,0.27139587,0.08493941,0.11606733,0.12313962
40,0.09937658,0.26864558,0.08407352,0.11604561,0.12055877
41,0.09771474,0.27226657,0.08351736,0.11603434,0.11886848
42,0.09579989,0.27121425,0.08280585,0.11630447,0.11669208
43,0.09426001,0.27112577,0.08205880,0.11649378,0.11468244
44,0.09269053,0.27065435,0.08139625,0.11615391,0.11279166
45,0.09058626,0.27142184,0.08059058,0.11613038,0.11037655
46,0.08885228,0.27156521,0.07980102,0.11644137,0.10825184
47,0.08745798,0.27370777,0.07916792,0.11692926,0.10651162
48,0.08584205,0.27530848,0.07851659,0.11683327,0.10473269
49,0.08476307,0.27158817,0.07790084,0.11693642,0.10324723
50,0.08339112,0.27315708,0.07743574,0.11698293,0.10182395
51,0.08163395,0.27439050,0.07664002,0.11716958,0.09966404
52,0.08059078,0.27372600,0.07612099,0.11674933,0.09830661
53,0.07943156,0.27202447,0.07550876,0.11716778,0.09692557
54,0.07770794,0.27740591,0.07477096,0.11828740,0.09488717
55,0.07686083,0.27414717,0.07439820,0.11767643,0.09394728
56,0.07550287,0.27549066,0.07369236,0.11837266,0.09216762
57,0.07429016,0.27513289,0.07317694,0.11814916,0.09076822
58,0.07303320,0.27670036,0.07248013,0.11877236,0.08919058
59,0.07189334,0.27525281,0.07198808,0.11838855,0.08789176
60,0.07079867,0.27451636,0.07145868,0.11861089,0.08656142
61,0.06972752,0.27558155,0.07085208,0.11925579,0.08515633
62,0.06953010,0.27590407,0.07079899,0.11841944,0.08502139
63,0.06810717,0.27865399,0.07003445,0.11943311,0.08322749
64,0.06704967,0.27836722,0.06946959,0.11940779,0.08191199
65,0.06620460,0.27590191,0.06917066,0.11914585,0.08103585
66,0.06528627,0.27915857,0.06859778,0.12006324,0.07974866
67,0.06389671,0.27883394,0.06782645,0.12008415,0.07797761
68,0.06336022,0.27809086,0.06765686,0.11977044,0.07749749
69,0.06226343,0.27851933,0.06699725,0.12039853,0.07605277
70,0.06163331,0.27533046,0.06663217,0.11994172,0.07520569
71,0.06098643,0.27740608,0.06626081,0.12044741,0.07447081
72,0.05997549,0.27842437,0.06573729,0.12049752,0.07320322
73,0.05946540,0.27699271,0.06531589,0.12037003,0.07243618
74,0.05831418,0.27572363,0.06479525,0.12078570,0.07115512
75,0.05782743,0.27734456,0.06452555,0.12050010,0.07044155
76,0.05709310,0.28251947,0.06407062,0.12124994,0.06957368
77,0.05641592,0.27697963,0.06373884,0.12078427,0.06876930
78,0.05565008,0.27743814,0.06326629,0.12041748,0.06778642
79,0.05499451,0.28073261,0.06295639,0.12067178,0.06708330
80,0.05431207,0.27342799,0.06252442,0.11963555,0.06618372
81,0.05361045,0.27829310,0.06197134,0.12064816,0.06506374
82,0.05304185,0.28008911,0.06177517,0.12109280,0.06457684
83,0.05234403,0.27874885,0.06130327,0.12065801,0.06358306
84,0.05201480,0.27890208,0.06113867,0.12068895,0.06332289
85,0.05119807,0.28010795,0.06066182,0.12168199,0.06226552
86,0.05045603,0.28043913,0.06014976,0.12209005,0.06123594
87,0.05009655,0.27825122,0.05986982,0.12077462,0.06072809
88,0.04955723,0.28000066,0.05950769,0.12120347,0.06009419
89,0.04884839,0.28006835,0.05922476,0.12097949,0.05931568
90,0.04814769,0.28063680,0.05872991,0.12129768,0.05837287
91,0.04764978,0.28281879,0.05850549,0.12152786,0.05787232
92,0.04750426,0.27984624,0.05832384,0.12113227,0.05757480
93,0.04685325,0.28180116,0.05789248,0.12232640,0.05669946
94,0.04641724,0.28346664,0.05759555,0.12283986,0.05617600
95,0.04581698,0.28231869,0.05717159,0.12168521,0.05533105
96,0.04546081,0.28073530,0.05700521,0.12137637,0.05498647
97,0.04463507,0.27912981,0.05656024,0.12190200,0.05407078
98,0.04445914,0.28167184,0.05630499,0.12218307,0.05369737
99,0.04367529,0.28455352,0.05588352,0.12240108,0.05282296
100,0.04340582,0.28448688,0.05569862,0.12222878,0.05245349
101,0.04296850,0.28633075,0.05533745,0.12275042,0.05183590
102,0.04249555,0.28387453,0.05506722,0.12259598,0.05130315
103,0.04215881,0.28819910,0.05491072,0.12290716,0.05098298
104,0.04180750,0.28490993,0.05468965,0.12291105,0.05055248
105,0.04147434,0.28383426,0.05436633,0.12255116,0.05001262
