epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.98869678,0.46951120,0.27223280,0.16980697,1.23690651
2,0.46071922,0.35517860,0.18148761,0.14119232,0.55750904
3,0.36343985,0.31188784,0.16105073,0.12874486,0.43745979
4,0.31292668,0.29091188,0.14915888,0.12184941,0.37520372
5,0.27467354,0.27648304,0.13980875,0.11741704,0.32926754
6,0.25106696,0.26792550,0.13347559,0.11461596,0.30034341
7,0.23191878,0.26126189,0.12809240,0.11219400,0.27690070
8,0.21685306,0.25653125,0.12361907,0.11044699,0.25812358
9,0.20320330,0.25063216,0.11978558,0.10898841,0.24196219
10,0.19383701,0.24892957,0.11675941,0.10818807,0.23015061
11,0.18562423,0.24666929,0.11417400,0.10734912,0.22017145
12,0.17805601,0.24344704,0.11175091,0.10680260,0.21089999
13,0.17082417,0.24203594,0.10952027,0.10574994,0.20236101
14,0.16496145,0.24007288,0.10751512,0.10520635,0.19514046
15,0.15911768,0.23966047,0.10556981,0.10508281,0.18813840
16,0.15485835,0.23538328,0.10434707,0.10451476,0.18314490
17,0.14971206,0.23558626,0.10244478,0.10430025,0.17675637
18,0.14605300,0.23446820,0.10121056,0.10418330,0.17248913
19,0.14305468,0.23235667,0.10019124,0.10359149,0.16880165
20,0.13870220,0.23193203,0.09862392,0.10338255,0.16366562
21,0.13501864,0.23019290,0.09743758,0.10308616,0.15963764
22,0.13214144,0.23010433,0.09630963,0.10290109,0.15591766
23,0.12883215,0.22839545,0.09521000,0.10275282,0.15214952
24,0.12636621,0.22837078,0.09420049,0.10262694,0.14921950
25,0.12360580,0.22745165,0.09332748,0.10243395,0.14611677
26,0.12090620,0.22592457,0.09229744,0.10234849,0.14288533
27,0.11827288,0.22673432,0.09132292,0.10202097,0.13995085
28,0.11633224,0.22615373,0.09059753,0.10208507,0.13770254
29,0.11407277,0.22657489,0.08963700,0.10202786,0.13495092
30,0.11185230,0.22435782,0.08887974,0.10212915,0.13266148
31,0.10992986,0.22473671,0.08810450,0.10193786,0.13037095
32,0.10827096,0.22384187,0.08746577,0.10165438,0.12856791
33,0.10597549,0.22244553,0.08659432,0.10155774,0.12596140
34,0.10421603,0.22427196,0.08595086,0.10193941,0.12410253
35,0.10255992,0.22198560,0.08529537,0.10135926,0.12224355
36,0.10076800,0.22313210,0.08437073,0.10179921,0.12005922
37,0.09924456,0.22248745,0.08388673,0.10148715,0.11853335
38,0.09753690,0.22336573,0.08318471,0.10160481,0.11676717
39,0.09635808,0.22218141,0.08279399,0.10131044,0.11554752
40,0.09480865,0.22379776,0.08196102,0.10140445,0.11350973
