epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.98003527,1.67607433,0.39301903,0.34376878,2.60762231
2,1.81177270,1.52390408,0.37511179,0.32647821,2.35655777
3,1.64115047,1.38335332,0.35473655,0.31030159,2.10063203
4,1.47574794,1.25408494,0.33472491,0.29485688,1.86091574
5,1.32318421,1.13669723,0.31625475,0.27970471,1.65886772
6,1.18538400,1.02882759,0.29872021,0.26435460,1.47462197
7,1.07845251,0.92833688,0.28286756,0.24875446,1.32477212
8,0.97257312,0.83866344,0.26678791,0.23373194,1.18641615
9,0.85803288,0.75883362,0.24967036,0.21994617,1.03998446
10,0.77750289,0.68965268,0.23687795,0.20816775,0.94324509
11,0.73351312,0.62894723,0.22958855,0.19833370,0.89133984
12,0.66003144,0.57818444,0.21630637,0.19024171,0.79773110
13,0.61828669,0.53759370,0.20829212,0.18364674,0.74209112
14,0.58730946,0.50593164,0.20285367,0.17820487,0.70572722
15,0.55296053,0.47983913,0.19786428,0.17350776,0.66689485
16,0.53321791,0.45956906,0.19433369,0.16937379,0.64421024
17,0.50430157,0.44325299,0.18952077,0.16546716,0.61033458
18,0.48713504,0.42993797,0.18670492,0.16190195,0.58936012
19,0.47641032,0.41844684,0.18406798,0.15873166,0.57773962
20,0.46414373,0.40700246,0.18188310,0.15564585,0.56176118
21,0.44954360,0.39579503,0.17887496,0.15273146,0.54290644
22,0.45219399,0.38588089,0.17910416,0.15008511,0.54611339
23,0.43275019,0.37696020,0.17470082,0.14765903,0.51957466
24,0.42359611,0.36822331,0.17260162,0.14537551,0.50743041
25,0.41128407,0.36079753,0.17142918,0.14339660,0.49588588
26,0.40325564,0.35442838,0.16875311,0.14167478,0.48518251
27,0.39643458,0.34942584,0.16755647,0.14031272,0.47680490
28,0.38100694,0.34507114,0.16487353,0.13911045,0.45845513
29,0.37912365,0.34086296,0.16373256,0.13782432,0.45617973
30,0.36428266,0.33686013,0.16066207,0.13651007,0.43616330
31,0.36306106,0.33334166,0.16009664,0.13526725,0.43515109
32,0.33900137,0.32984851,0.15455001,0.13412437,0.40595079
33,0.34094777,0.32605646,0.15606336,0.13307376,0.40812319
