epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.18717345,0.24363329,0.11060604,0.10895215,0.22131764
2,0.18248157,0.24140638,0.10896780,0.10805280,0.21559426
3,0.17840269,0.23878552,0.10748217,0.10713622,0.21057927
4,0.17429787,0.23567854,0.10593877,0.10607115,0.20539125
5,0.16961020,0.23235139,0.10422830,0.10500549,0.19952545
6,0.16443762,0.22916527,0.10249557,0.10412045,0.19331333
7,0.15886583,0.22634516,0.10073838,0.10346406,0.18686431
8,0.15397462,0.22336982,0.09923712,0.10285596,0.18115293
9,0.14859783,0.22071877,0.09775804,0.10233521,0.17524983
10,0.14368321,0.21808079,0.09630247,0.10186434,0.16960937
11,0.13882951,0.21539053,0.09491534,0.10137273,0.16406738
12,0.13456929,0.21408084,0.09374514,0.10102602,0.15942020
13,0.13014124,0.21319444,0.09246018,0.10098751,0.15447221
14,0.12652654,0.21253342,0.09125147,0.10091062,0.15021693
15,0.12329942,0.21256291,0.09025919,0.10095060,0.14664524
16,0.12016170,0.21202706,0.08922501,0.10096025,0.14301743
17,0.11718734,0.21293763,0.08829983,0.10117976,0.13969496
18,0.11484750,0.21337321,0.08749439,0.10122640,0.13697301
19,0.11224007,0.21353939,0.08665250,0.10123207,0.13405450
20,0.10983456,0.21328804,0.08578566,0.10137383,0.13130891
21,0.10715504,0.21428780,0.08482458,0.10144917,0.12814488
22,0.10523520,0.21373422,0.08417004,0.10138310,0.12603839
23,0.10254383,0.21408179,0.08329160,0.10144954,0.12312665
24,0.10037634,0.21467425,0.08247563,0.10151244,0.12060082
25,0.09860471,0.21463148,0.08184621,0.10163260,0.11859722
26,0.09678060,0.21505913,0.08125738,0.10156253,0.11661272
27,0.09537962,0.21638080,0.08072042,0.10176846,0.11507518
28,0.09278664,0.21638612,0.07970163,0.10175771,0.11206715
29,0.09102928,0.21745902,0.07900209,0.10179708,0.10991400
30,0.08955340,0.21740986,0.07849846,0.10197894,0.10834225
31,0.08822409,0.21823905,0.07792518,0.10191118,0.10677166
32,0.08673263,0.21924776,0.07733584,0.10201171,0.10506350
33,0.08538696,0.21946470,0.07690265,0.10211400,0.10365331
34,0.08410499,0.21872916,0.07638960,0.10180459,0.10221229
35,0.08221072,0.21919224,0.07562464,0.10207829,0.10004334
36,0.08124265,0.21987069,0.07510996,0.10234801,0.09874105
37,0.08042415,0.22020786,0.07484571,0.10219590,0.09795156
38,0.07934796,0.22068155,0.07435311,0.10242052,0.09660877
39,0.07842538,0.22154640,0.07399386,0.10219003,0.09562389
40,0.07739854,0.22256986,0.07353406,0.10239861,0.09443804
41,0.07641543,0.22081885,0.07317323,0.10229979,0.09333940
42,0.07556977,0.22163208,0.07284921,0.10251293,0.09244145
43,0.07437911,0.22097909,0.07220576,0.10220042,0.09088067
