epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.18151294,0.23590111,0.10869129,0.10616823,0.21489052
2,0.16470961,0.22481359,0.10296490,0.10305196,0.19531446
3,0.14736677,0.21615904,0.09772685,0.10164813,0.17643284
4,0.13343312,0.21081411,0.09365317,0.10102471,0.16174584
5,0.12347527,0.20933613,0.09057044,0.10088055,0.15134064
6,0.11598422,0.20883092,0.08813129,0.10078180,0.14349288
7,0.11000970,0.20852639,0.08607674,0.10075468,0.13716454
8,0.10481420,0.20815605,0.08422751,0.10045206,0.13161436
9,0.10024193,0.21041463,0.08262147,0.10042109,0.12685264
10,0.09589546,0.20968037,0.08104508,0.10030668,0.12227631
11,0.09263826,0.21046538,0.07974959,0.10024680,0.11875545
12,0.08931086,0.21003555,0.07850036,0.10020347,0.11530598
13,0.08630756,0.21066047,0.07735636,0.09989985,0.11218004
14,0.08399470,0.21096743,0.07640921,0.10002594,0.10977344
15,0.08151764,0.21193994,0.07538317,0.10002123,0.10710748
16,0.07958255,0.21175533,0.07459752,0.10000705,0.10504143
17,0.07760272,0.21271853,0.07371849,0.10007924,0.10290632
18,0.07595953,0.21208497,0.07297681,0.09976912,0.10118354
19,0.07418874,0.21226812,0.07224637,0.09966151,0.09924196
20,0.07284767,0.21324907,0.07166357,0.09948550,0.09784595
21,0.07120795,0.21296274,0.07093773,0.09962653,0.09605805
22,0.07010601,0.21407772,0.07038394,0.09954307,0.09483366
23,0.06867768,0.21351433,0.06970432,0.09948509,0.09328503
24,0.06730345,0.21405578,0.06908473,0.09955060,0.09179530
25,0.06615550,0.21511560,0.06847939,0.09958918,0.09048179
26,0.06515108,0.21557795,0.06796961,0.09968604,0.08936385
27,0.06401007,0.21561505,0.06740148,0.09951462,0.08808638
28,0.06302158,0.21694523,0.06689777,0.09975867,0.08693808
29,0.06178427,0.21672708,0.06622323,0.09948960,0.08555405
30,0.06098678,0.21790047,0.06578753,0.09963456,0.08461215
31,0.05996888,0.21866866,0.06523750,0.09957485,0.08344167
32,0.05898862,0.21767490,0.06471220,0.09955597,0.08236041
33,0.05809382,0.21681440,0.06425756,0.09945696,0.08134459
34,0.05731852,0.21876085,0.06380102,0.09966094,0.08047740
35,0.05640530,0.21900477,0.06332251,0.09952543,0.07944864
36,0.05553379,0.22086134,0.06280861,0.09948884,0.07839016
37,0.05468414,0.21582567,0.06227920,0.09904947,0.07744279
38,0.05407603,0.21833548,0.06191764,0.09939805,0.07669503
39,0.05325578,0.21714654,0.06144383,0.09909974,0.07573288
40,0.05271669,0.21772218,0.06110617,0.09948494,0.07512292
41,0.05213075,0.21790772,0.06075784,0.09923073,0.07442951
42,0.05128833,0.21928368,0.06023162,0.09945185,0.07343649
43,0.05082320,0.21846559,0.05988395,0.09948874,0.07278192
44,0.05000483,0.21886335,0.05938176,0.09961292,0.07184020
45,0.04917828,0.22020044,0.05889853,0.09959304,0.07095364
46,0.04857852,0.21662921,0.05851083,0.09918955,0.07021986
47,0.04818532,0.21939329,0.05818573,0.09958588,0.06966635
48,0.04768284,0.21792314,0.05791126,0.09935485,0.06916021
49,0.04697518,0.21974089,0.05750816,0.09947203,0.06836727
50,0.04624628,0.21634334,0.05690402,0.09931454,0.06738978
51,0.04567504,0.21568242,0.05657138,0.09917259,0.06678211
52,0.04522335,0.21854515,0.05627206,0.09947311,0.06621350
53,0.04461691,0.21916317,0.05587451,0.09954149,0.06546388
54,0.04430623,0.21632554,0.05564204,0.09931652,0.06519320
55,0.04361601,0.21910039,0.05521211,0.09983481,0.06434202
56,0.04317694,0.21745706,0.05492421,0.09943701,0.06386452
57,0.04250894,0.21685736,0.05444063,0.09931962,0.06306956
58,0.04210785,0.21784101,0.05413098,0.09929241,0.06254873
59,0.04149693,0.21633433,0.05374793,0.09915476,0.06186841
60,0.04124288,0.21730232,0.05349450,0.09937996,0.06151571
61,0.04077981,0.21612357,0.05315398,0.09912763,0.06095285
62,0.04028022,0.21622546,0.05279457,0.09919999,0.06037555
63,0.03967296,0.21705160,0.05238717,0.09947576,0.05968261
64,0.03930974,0.21802767,0.05213955,0.09934524,0.05926678
65,0.03883424,0.21610520,0.05187408,0.09937443,0.05883412
66,0.03845002,0.21589271,0.05155661,0.09939268,0.05827377
67,0.03824793,0.21698446,0.05130161,0.09934099,0.05799639
68,0.03770735,0.21793307,0.05097813,0.09956919,0.05737505
69,0.03718554,0.21542232,0.05065981,0.09929920,0.05689384
70,0.03677968,0.21679084,0.05032492,0.09937453,0.05636078
71,0.03642955,0.21633743,0.05004531,0.09921086,0.05593173
72,0.03616113,0.21425318,0.04990172,0.09906621,0.05571364
73,0.03554829,0.21479897,0.04943432,0.09914294,0.05496133
74,0.03524751,0.21485647,0.04919983,0.09894617,0.05466029
75,0.03523249,0.21784681,0.04910723,0.09930086,0.05451453
76,0.03468603,0.21491599,0.04881343,0.09934085,0.05403328
77,0.03433968,0.21788588,0.04849343,0.09974094,0.05355448
78,0.03409610,0.21562947,0.04832940,0.09898948,0.05329070
79,0.03365477,0.21677564,0.04797603,0.09876217,0.05278461
80,0.03338005,0.21617149,0.04776702,0.09909124,0.05247268
81,0.03307358,0.21646713,0.04753718,0.09891486,0.05212966
82,0.03264892,0.21600292,0.04722446,0.09904227,0.05168493
83,0.03234644,0.21569687,0.04692493,0.09887013,0.05127470
84,0.03223118,0.21584568,0.04687984,0.09866637,0.05119290
85,0.03180117,0.21454670,0.04659836,0.09875033,0.05072171
86,0.03135898,0.21554220,0.04623508,0.09901833,0.05023960
87,0.03120875,0.21610124,0.04609840,0.09905067,0.05002189
88,0.03078937,0.21550418,0.04576623,0.09874467,0.04955139
89,0.03074867,0.21593001,0.04572570,0.09886031,0.04951207
90,0.03030329,0.21618339,0.04531074,0.09875473,0.04894644
91,0.03004470,0.21721465,0.04518915,0.09936465,0.04875609
92,0.02967683,0.21527203,0.04487959,0.09912237,0.04829141
93,0.02946688,0.21692385,0.04471034,0.09929852,0.04810414
94,0.02910545,0.21579648,0.04440406,0.09919821,0.04764117
95,0.02897052,0.21494803,0.04436994,0.09867301,0.04757751
96,0.02870541,0.21821915,0.04417218,0.09943643,0.04727867
97,0.02846953,0.21417614,0.04392376,0.09900082,0.04697546
98,0.02820570,0.21722900,0.04370539,0.09901766,0.04667210
99,0.02783311,0.21835160,0.04338614,0.09942032,0.04626567
100,0.02769426,0.21791269,0.04325988,0.09909367,0.04610717
101,0.02744179,0.21889131,0.04305777,0.09952541,0.04581065
102,0.02726239,0.21761324,0.04287252,0.09936630,0.04558421
103,0.02704240,0.21919134,0.04268626,0.09958829,0.04532631
104,0.02667583,0.21640227,0.04239060,0.09936464,0.04495390
105,0.02649939,0.21683799,0.04222169,0.09951937,0.04474975
106,0.02625131,0.21653302,0.04203717,0.09922996,0.04446895
107,0.02611967,0.21779713,0.04191616,0.09933201,0.04430982
108,0.02589615,0.21820076,0.04178766,0.09930811,0.04412663
109,0.02579386,0.21613673,0.04164262,0.09934801,0.04393307
110,0.02534416,0.21975029,0.04134846,0.09959033,0.04350271
111,0.02539127,0.22008432,0.04134569,0.09956566,0.04352753
112,0.02515283,0.21856016,0.04103332,0.09971658,0.04320869
113,0.02483197,0.21899000,0.04084509,0.09951425,0.04290064
114,0.02466694,0.21899528,0.04068758,0.09969082,0.04269851
115,0.02436609,0.21848142,0.04045109,0.09961159,0.04239953
116,0.02418462,0.22047880,0.04029781,0.09996585,0.04221792
117,0.02403746,0.21888962,0.04004242,0.09993293,0.04192668
118,0.02387270,0.21961472,0.04001384,0.09999607,0.04186151
119,0.02365994,0.21750516,0.03980655,0.09964351,0.04161800
120,0.02348214,0.21736734,0.03964697,0.09938450,0.04138374
121,0.02338547,0.21616793,0.03951232,0.09912498,0.04123623
122,0.02306070,0.21849006,0.03931571,0.09988012,0.04099173
123,0.02301585,0.21895770,0.03925413,0.09982133,0.04089472
124,0.02284937,0.21732571,0.03908127,0.09968840,0.04070138
125,0.02255414,0.21907686,0.03878782,0.09993698,0.04037040
126,0.02233540,0.22060241,0.03861539,0.10012345,0.04014838
127,0.02239276,0.21948954,0.03864949,0.09974149,0.04017781
128,0.02210759,0.21766371,0.03846100,0.09965362,0.03992774
129,0.02191873,0.21961557,0.03827950,0.09972919,0.03972418
130,0.02181497,0.21944564,0.03813755,0.09967558,0.03954702
131,0.02164702,0.22015481,0.03800565,0.09985442,0.03939515
132,0.02144894,0.21717178,0.03780601,0.10006325,0.03912789
133,0.02132622,0.21979701,0.03777273,0.10024271,0.03907438
134,0.02109490,0.21900738,0.03749353,0.09989851,0.03873922
135,0.02102164,0.22115236,0.03738445,0.10008266,0.03868423
136,0.02103661,0.21959277,0.03742335,0.10032678,0.03868861
137,0.02073781,0.21843491,0.03713121,0.10008204,0.03837611
138,0.02052695,0.21761142,0.03691117,0.09971417,0.03811664
139,0.02047413,0.21966749,0.03695568,0.10004558,0.03810577
140,0.02036941,0.21888697,0.03682113,0.10004265,0.03796974
141,0.02025656,0.21939347,0.03668136,0.10033946,0.03784281
142,0.02000318,0.22104047,0.03650621,0.10019654,0.03761050
143,0.01985538,0.21943610,0.03634033,0.09981823,0.03742663
144,0.01985426,0.22269128,0.03625981,0.10054045,0.03736569
145,0.01962447,0.22347305,0.03607731,0.10069659,0.03712501
146,0.01949827,0.22123932,0.03597383,0.10017804,0.03702372
147,0.01937384,0.21941820,0.03582982,0.10031074,0.03684924
148,0.01928279,0.22262090,0.03575242,0.10006250,0.03676766
149,0.01908507,0.22078811,0.03554770,0.10024348,0.03654565
150,0.01902441,0.22010111,0.03546179,0.09993696,0.03645490
151,0.01892958,0.21884279,0.03540028,0.10019320,0.03638051
