epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.68273130,1.24390002,0.37347665,0.32557154,2.22064334
2,1.48439141,1.03486225,0.34696931,0.28746369,1.92029215
3,1.29078647,0.88398343,0.31968469,0.25626370,1.64030344
4,1.14436138,0.76364588,0.29822739,0.22991883,1.43756272
5,1.01037201,0.66380726,0.27811761,0.20787688,1.25385418
6,0.89675885,0.58294364,0.25980757,0.18995063,1.10425770
7,0.81114281,0.52115784,0.24624695,0.17617579,0.99661686
8,0.73442542,0.46883517,0.23299289,0.16476996,0.89667206
9,0.67268486,0.43178237,0.22279919,0.15689775,0.82428879
10,0.62509728,0.40670591,0.21377979,0.15152074,0.76140048
11,0.58455721,0.38640807,0.20625971,0.14656462,0.71083446
12,0.55396147,0.37514767,0.20027001,0.14395816,0.67227997
13,0.53214726,0.36148456,0.19658037,0.14096404,0.64709144
14,0.50068573,0.35177299,0.19031784,0.13810293,0.60780162
15,0.48475163,0.34451226,0.18699683,0.13633351,0.58815497
16,0.46489637,0.33658304,0.18338437,0.13483911,0.56418540
17,0.44792671,0.32839149,0.17957263,0.13272909,0.54295902
18,0.43955415,0.32332702,0.17784916,0.13162181,0.53300362
19,0.41977746,0.31937494,0.17371856,0.13059485,0.50911803
20,0.40868279,0.31562870,0.17111532,0.12938164,0.49418848
21,0.39994061,0.31167245,0.16909140,0.12844582,0.48319824
22,0.38908684,0.30915321,0.16679267,0.12760935,0.46980326
23,0.37633625,0.30669708,0.16368318,0.12709980,0.45401203
24,0.36675410,0.30154855,0.16177221,0.12624130,0.44330826
25,0.35974697,0.30035801,0.16024635,0.12583440,0.43447268
26,0.34917386,0.29679334,0.15768863,0.12503970,0.42128017
27,0.34329650,0.29366626,0.15623686,0.12418925,0.41447821
28,0.33463565,0.29385938,0.15412777,0.12400414,0.40323229
29,0.32920782,0.29123929,0.15298937,0.12347881,0.39766334
30,0.32450297,0.28928137,0.15145352,0.12297851,0.39043840
31,0.31554576,0.28995147,0.14956621,0.12315621,0.38004348
32,0.31332330,0.28641120,0.14931079,0.12249410,0.37845328
33,0.30441713,0.28383522,0.14713119,0.12176737,0.36788731
34,0.29828889,0.28268642,0.14517914,0.12166531,0.35926585
35,0.29667974,0.28127452,0.14502284,0.12142213,0.35782359
36,0.29103560,0.27980357,0.14370800,0.12121789,0.35098673
37,0.28784518,0.27804955,0.14256267,0.12069644,0.34695145
38,0.28186423,0.27871496,0.14140683,0.12051578,0.34038842
39,0.27938935,0.27696710,0.14025046,0.11994061,0.33608094
40,0.27545961,0.27493014,0.13954036,0.11961142,0.33234120
41,0.26801262,0.27223576,0.13739758,0.11938936,0.32276297
42,0.26584357,0.27103945,0.13683301,0.11910976,0.32033789
43,0.25964141,0.27067205,0.13531146,0.11903259,0.31275813
44,0.25879372,0.27000903,0.13523491,0.11882356,0.31238013
45,0.25544327,0.26926407,0.13395355,0.11863343,0.30677854
