epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.93186063,1.71136786,0.38927028,0.32424504,2.39805830
2,1.83832306,1.64928694,0.38069975,0.31779149,2.26870835
3,1.82484812,1.58673396,0.38078248,0.31119433,2.28566241
4,1.77420008,1.52345515,0.36943299,0.30442536,2.21737516
5,1.72703254,1.46096291,0.36782701,0.29762508,2.19871736
6,1.66295838,1.39842009,0.36305428,0.29069699,2.13629353
7,1.61287886,1.33660785,0.35367127,0.28376742,2.04021120
8,1.62366188,1.27596599,0.35434303,0.27684704,2.11876285
9,1.54175532,1.21632599,0.34380373,0.26992558,1.96580380
10,1.47570521,1.15863185,0.33539639,0.26310014,1.90259790
11,1.47629362,1.10284937,0.33535177,0.25637225,1.93271708
12,1.41567135,1.04905837,0.33015609,0.24974252,1.85917515
13,1.34858924,0.99745176,0.32148006,0.24322375,1.77216065
14,1.29248428,0.94863918,0.31345088,0.23688605,1.70760411
15,1.29674083,0.90270479,0.30885912,0.23075592,1.69689018
16,1.21714514,0.85937769,0.30179785,0.22486237,1.63681942
17,1.23476744,0.81912615,0.30212162,0.21925740,1.64849067
18,1.14979213,0.78136949,0.29475173,0.21391940,1.55467987
19,1.10334224,0.74628820,0.28471247,0.20893015,1.49014455
20,1.07094800,0.71385229,0.28324586,0.20427802,1.46789271
21,1.06042916,0.68413669,0.27865616,0.19996162,1.43478322
22,1.02115417,0.65665084,0.27430375,0.19595564,1.41214186
23,0.99671316,0.63107248,0.27085564,0.19214624,1.37400937
24,0.95632839,0.60748035,0.26722039,0.18854176,1.33046311
25,0.94855550,0.58546385,0.26466855,0.18503142,1.33164203
26,0.90979668,0.56510306,0.25823105,0.18169611,1.27641946
27,0.88467127,0.54610211,0.25385754,0.17853511,1.24285370
28,0.85109213,0.52843797,0.24899471,0.17558125,1.20106411
29,0.83879656,0.51250704,0.24994507,0.17288291,1.21182942
30,0.76916596,0.49782701,0.24170360,0.17025996,1.11702406
31,0.80021480,0.48405212,0.24217959,0.16763366,1.16015106
32,0.75579205,0.47147559,0.23721320,0.16512944,1.08836240
33,0.72834516,0.46005372,0.23213781,0.16281705,1.05696523
34,0.71536225,0.44962313,0.23086947,0.16076543,1.05270445
35,0.73343244,0.43982759,0.22960818,0.15882809,1.06263673
36,0.69033125,0.43069814,0.22545027,0.15693935,1.01461300
37,0.66465467,0.42153883,0.22290321,0.15509197,0.97480577
38,0.66356993,0.41269500,0.21999123,0.15330827,0.97981584
39,0.64355174,0.40364243,0.21817980,0.15142859,0.95512778
40,0.65267941,0.39454342,0.21631543,0.14952613,0.97192040
