epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.38041973,0.67170677,0.32340646,0.19761439,1.68322881
2,0.83669152,0.41881643,0.24741886,0.15375608,1.02370367
3,0.61234594,0.34420295,0.21098328,0.13702855,0.75143804
4,0.50527691,0.30827314,0.19095971,0.12866871,0.61698095
5,0.44348527,0.28488161,0.17885564,0.12321216,0.54103537
6,0.39658763,0.26731139,0.16917213,0.11923138,0.48420301
7,0.36020005,0.25658288,0.16083197,0.11641661,0.43869997
8,0.33278414,0.24860969,0.15458193,0.11438589,0.40562433
9,0.30773770,0.24165163,0.14857309,0.11235856,0.37493759
10,0.28938710,0.23541595,0.14406565,0.11083210,0.35270242
11,0.27293112,0.23087418,0.13992039,0.10963053,0.33269932
12,0.25810065,0.22830765,0.13610516,0.10873804,0.31498421
13,0.24611407,0.22433825,0.13293129,0.10744078,0.30044101
14,0.23472347,0.22088540,0.12992462,0.10667957,0.28700359
15,0.22628566,0.21916114,0.12736490,0.10597867,0.27619612
16,0.21728938,0.21743514,0.12502201,0.10544822,0.26607032
17,0.20843634,0.21373786,0.12250591,0.10464671,0.25536300
18,0.20242276,0.21105937,0.12076821,0.10394358,0.24814676
19,0.19637332,0.21053008,0.11874177,0.10366198,0.24055011
20,0.18938476,0.20845870,0.11679950,0.10298876,0.23247411
21,0.18472530,0.20707100,0.11534447,0.10240656,0.22676138
22,0.17934403,0.20668295,0.11385361,0.10230526,0.22067941
23,0.17471659,0.20472238,0.11216957,0.10211145,0.21467051
24,0.17088547,0.20418850,0.11097572,0.10169717,0.21033396
25,0.16582143,0.20362587,0.10933667,0.10145067,0.20403490
26,0.16318787,0.20189819,0.10858219,0.10101715,0.20100529
27,0.15932826,0.20098644,0.10724088,0.10051078,0.19624582
28,0.15589427,0.19923572,0.10616331,0.10025119,0.19248920
29,0.15322449,0.19891907,0.10525839,0.10004997,0.18915809
30,0.14963888,0.19723783,0.10410606,0.09957746,0.18495178
31,0.14649557,0.19617576,0.10291816,0.09934621,0.18106466
32,0.14428743,0.19643656,0.10219983,0.09923034,0.17850110
33,0.14210918,0.19523064,0.10134729,0.09879869,0.17561324
34,0.13916571,0.19569513,0.10042320,0.09890333,0.17245638
35,0.13632067,0.19447757,0.09933990,0.09857132,0.16886953
36,0.13435054,0.19438421,0.09854215,0.09852102,0.16630531
37,0.13224883,0.19251814,0.09786378,0.09825370,0.16392816
38,0.13002869,0.19263771,0.09707845,0.09806551,0.16142989
39,0.12842150,0.19220546,0.09641906,0.09814482,0.15935045
40,0.12663575,0.19073473,0.09569437,0.09772145,0.15711443
41,0.12509558,0.19160456,0.09524849,0.09771718,0.15553285
42,0.12265525,0.19140396,0.09416091,0.09776228,0.15229542
43,0.12142463,0.19134892,0.09373674,0.09767478,0.15084627
44,0.11916145,0.18933392,0.09298324,0.09720374,0.14845689
45,0.11788502,0.18979570,0.09246114,0.09704145,0.14685276
46,0.11644803,0.18939495,0.09189923,0.09723225,0.14518625
47,0.11474152,0.18870384,0.09119397,0.09683311,0.14309525
48,0.11395093,0.18805077,0.09097741,0.09678306,0.14232241
49,0.11235378,0.18848956,0.09028068,0.09687431,0.14025150
50,0.11080687,0.18755611,0.08970311,0.09662669,0.13838748
51,0.10943544,0.18802458,0.08910115,0.09679260,0.13669831
52,0.10796678,0.18816122,0.08862220,0.09651224,0.13507549
53,0.10689493,0.18728775,0.08804581,0.09618826,0.13370756
54,0.10532688,0.18761301,0.08750611,0.09644096,0.13185997
55,0.10462773,0.18739875,0.08726511,0.09625545,0.13125457
56,0.10295715,0.18685808,0.08653664,0.09593966,0.12915958
57,0.10193271,0.18795884,0.08603118,0.09616730,0.12775238
58,0.10093105,0.18752694,0.08578088,0.09633417,0.12687402
59,0.09960126,0.18731679,0.08518173,0.09578869,0.12525863
60,0.09881428,0.18640554,0.08485411,0.09588095,0.12433373
61,0.09752651,0.18675953,0.08435941,0.09593095,0.12293491
62,0.09704566,0.18749988,0.08416092,0.09602632,0.12227932
63,0.09567706,0.18809665,0.08351472,0.09621269,0.12057659
64,0.09441700,0.18765397,0.08300679,0.09594075,0.11913343
65,0.09314024,0.18670716,0.08249728,0.09571183,0.11780917
