epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.40093824,0.74366397,0.33075202,0.22537985,1.82029294
2,0.86340183,0.41785901,0.25157942,0.15955668,1.07647965
3,0.60932225,0.32348494,0.20890429,0.13859850,0.75723082
4,0.48959209,0.28668011,0.18676498,0.12907232,0.60990019
5,0.42764234,0.26747314,0.17438828,0.12347178,0.53355388
6,0.38108046,0.25266853,0.16470595,0.11922052,0.47762498
7,0.34930444,0.24450897,0.15768668,0.11630032,0.43910890
8,0.32451964,0.23694534,0.15208875,0.11338227,0.41006681
9,0.30217180,0.23230690,0.14639101,0.11203965,0.38243960
10,0.28583107,0.22781674,0.14237803,0.11074227,0.36339719
11,0.26959764,0.22489887,0.13856334,0.10948639,0.34487093
12,0.25703076,0.22151641,0.13503858,0.10829562,0.32963087
13,0.24527656,0.21813548,0.13197065,0.10724245,0.31620026
14,0.23623925,0.21517721,0.12948769,0.10639916,0.30566079
15,0.22685626,0.21233708,0.12695921,0.10557704,0.29513119
16,0.21810485,0.21136843,0.12416418,0.10505981,0.28418698
17,0.21043510,0.20876244,0.12212157,0.10433067,0.27578465
18,0.20446487,0.20795121,0.12043088,0.10388972,0.26907394
19,0.19786062,0.20481861,0.11857739,0.10319550,0.26201394
20,0.19187461,0.20464225,0.11674087,0.10288258,0.25479033
21,0.18655706,0.20420719,0.11503367,0.10255794,0.24855289
22,0.18114685,0.20141045,0.11343175,0.10216021,0.24271837
23,0.17711885,0.19911524,0.11219828,0.10133937,0.23832208
24,0.17289272,0.19799793,0.11098758,0.10116347,0.23370411
25,0.16829332,0.19758533,0.10945024,0.10085478,0.22839056
26,0.16406962,0.19531848,0.10818058,0.10037257,0.22375648
27,0.16144198,0.19500166,0.10717776,0.10011465,0.22076290
28,0.15805385,0.19313988,0.10614425,0.09988460,0.21724014
29,0.15537012,0.19224310,0.10528141,0.09940707,0.21444090
30,0.15155545,0.19179919,0.10406805,0.09926806,0.21012715
31,0.14904587,0.19097224,0.10317744,0.09906844,0.20744498
32,0.14690421,0.18997667,0.10248646,0.09878469,0.20510568
33,0.14441977,0.18921825,0.10152899,0.09843907,0.20239925
34,0.14174951,0.18882361,0.10074239,0.09853130,0.19994905
35,0.13986270,0.18710110,0.10005658,0.09783128,0.19791615
36,0.13782307,0.18695195,0.09934170,0.09784611,0.19581461
37,0.13566737,0.18658153,0.09853881,0.09762028,0.19320221
38,0.13366920,0.18534882,0.09785049,0.09749676,0.19120523
39,0.13194064,0.18588977,0.09738317,0.09730918,0.18980938
40,0.13009935,0.18357681,0.09653113,0.09690351,0.18746244
41,0.12858314,0.18322664,0.09613818,0.09669357,0.18615898
42,0.12654919,0.18407771,0.09524031,0.09697196,0.18373443
43,0.12508077,0.18372653,0.09479189,0.09700844,0.18243579
44,0.12378153,0.18229532,0.09430614,0.09634751,0.18109772
45,0.12196915,0.18139510,0.09369931,0.09590294,0.17947841
46,0.12084259,0.18189263,0.09320889,0.09600502,0.17825908
47,0.11974601,0.18024881,0.09278543,0.09585670,0.17721572
48,0.11814567,0.18137170,0.09221994,0.09604893,0.17567683
49,0.11742994,0.18076797,0.09187128,0.09579796,0.17477897
50,0.11600353,0.17955313,0.09137107,0.09573900,0.17369480
51,0.11495439,0.18039125,0.09097458,0.09587317,0.17266135
52,0.11362762,0.17910352,0.09044274,0.09532604,0.17128657
53,0.11276096,0.18082408,0.09016862,0.09531885,0.17054121
54,0.11144373,0.17937283,0.08966945,0.09483767,0.16934359
55,0.11043113,0.17834881,0.08921477,0.09465082,0.16844430
56,0.10948115,0.17832892,0.08885259,0.09480613,0.16759287
57,0.10842443,0.17843956,0.08854065,0.09484266,0.16669090
58,0.10818560,0.17678578,0.08829612,0.09426349,0.16640233
59,0.10692127,0.17680789,0.08789183,0.09411692,0.16538363
60,0.10577722,0.17725913,0.08748672,0.09445914,0.16436461
61,0.10485981,0.17627615,0.08713516,0.09386809,0.16357462
62,0.10425588,0.17789821,0.08684598,0.09408224,0.16310662
63,0.10404481,0.17612974,0.08665616,0.09381123,0.16293849
64,0.10274745,0.17658485,0.08620841,0.09377248,0.16182832
65,0.10244896,0.17711877,0.08608276,0.09402773,0.16179778
66,0.10147563,0.17737146,0.08563882,0.09402895,0.16067694
67,0.10094711,0.17753457,0.08545548,0.09409577,0.16047972
68,0.10031393,0.17705786,0.08522463,0.09416338,0.16009479
69,0.09962145,0.17577659,0.08494977,0.09347367,0.15943132
70,0.09926546,0.17719363,0.08481239,0.09358942,0.15929846
71,0.09824556,0.17492866,0.08436014,0.09348011,0.15832977
72,0.09779748,0.17564413,0.08413997,0.09369328,0.15796379
73,0.09705680,0.17449320,0.08385428,0.09310644,0.15733240
74,0.09649140,0.17586972,0.08361754,0.09318984,0.15706051
75,0.09624348,0.17539862,0.08351216,0.09346024,0.15696112
76,0.09544113,0.17479976,0.08317746,0.09297259,0.15629203
77,0.09498632,0.17397886,0.08298655,0.09287039,0.15596412
