epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.83527790,1.59517873,0.37914934,0.31194343,2.25432408
2,1.72235034,1.42820467,0.36482136,0.29380150,2.10325346
3,1.59215488,1.27356640,0.35003929,0.27644309,1.94620856
4,1.49041104,1.13292546,0.33761259,0.25996772,1.82870595
5,1.38489997,1.00821792,0.32305582,0.24454102,1.69260808
6,1.29864951,0.90032514,0.31267227,0.23036086,1.59384199
7,1.21722158,0.80681854,0.30015774,0.21759846,1.49011334
8,1.13444213,0.72659096,0.28950111,0.20621538,1.38918104
9,1.06654872,0.65927974,0.27939175,0.19631345,1.30457230
10,0.98293784,0.60271796,0.26798798,0.18736243,1.20214810
11,0.91786485,0.55534014,0.25806640,0.17931362,1.12217939
12,0.86374092,0.51527863,0.25187520,0.17213595,1.06697243
13,0.82119975,0.48352800,0.24590951,0.16645934,1.01651769
14,0.77630014,0.45676666,0.23800933,0.16167094,0.95731904
15,0.74012432,0.43407965,0.23271326,0.15776065,0.91451216
16,0.70186298,0.41407374,0.22576431,0.15393920,0.86719404
17,0.66645454,0.39735971,0.22002626,0.15020223,0.82195257
18,0.63974842,0.38236493,0.21470966,0.14645623,0.78635839
19,0.60844009,0.36937954,0.21044724,0.14345459,0.75468881
20,0.57962410,0.35705625,0.20501294,0.14066509,0.71684570
21,0.56144685,0.34660556,0.20182864,0.13849792,0.69316705
22,0.54950874,0.33914419,0.19860417,0.13669577,0.67624727
23,0.52124976,0.33282474,0.19420170,0.13487138,0.64484921
24,0.51306116,0.32538993,0.19311144,0.13298288,0.63787040
25,0.49598573,0.31768794,0.18960572,0.13155539,0.61455640
26,0.47700097,0.31119223,0.18564487,0.13021498,0.59103852
27,0.46560167,0.30493779,0.18318798,0.12857161,0.57765135
28,0.45330854,0.29886696,0.18050969,0.12698254,0.56017011
29,0.44644178,0.29396405,0.17957249,0.12588481,0.55463955
30,0.43262696,0.28868847,0.17626242,0.12463457,0.53427605
31,0.43109812,0.28418890,0.17541310,0.12353694,0.53249302
32,0.41947913,0.28079267,0.17382891,0.12281132,0.51969281
33,0.40339970,0.27858648,0.16979685,0.12230879,0.49804097
34,0.39715937,0.27647748,0.16844505,0.12158442,0.49037161
35,0.38597889,0.27458816,0.16591835,0.12069963,0.47619681
36,0.37812963,0.27212597,0.16419981,0.11994528,0.46704718
37,0.37377400,0.26727373,0.16312682,0.11919102,0.46014912
38,0.36726160,0.26324914,0.16191238,0.11857365,0.45284923
39,0.35509146,0.26090650,0.15900178,0.11802480,0.43835089
40,0.35167735,0.25819483,0.15821093,0.11724860,0.43505122
41,0.34904269,0.25613574,0.15805466,0.11654046,0.43171478
42,0.33761612,0.25309343,0.15611967,0.11590812,0.42073421
43,0.33038395,0.25025378,0.15451026,0.11532745,0.41223718
44,0.32942214,0.24712267,0.15359362,0.11470410,0.40845059
45,0.32484607,0.24541488,0.15210186,0.11420879,0.40248764
46,0.31619358,0.24463159,0.15026531,0.11384938,0.39286779
47,0.31118896,0.24345945,0.14969649,0.11348242,0.38881018
48,0.30451736,0.24277853,0.14770601,0.11324882,0.37935188
49,0.30081952,0.24296350,0.14691957,0.11308998,0.37427708
50,0.29914873,0.24172671,0.14599803,0.11282084,0.37164713
51,0.29068321,0.23959478,0.14420699,0.11243056,0.36219160
52,0.29131690,0.23796624,0.14437863,0.11202328,0.36282785
53,0.28911782,0.23572016,0.14378235,0.11140694,0.36000471
54,0.28160112,0.23437914,0.14160684,0.11082123,0.35033045
55,0.27798175,0.23346578,0.14158006,0.11045506,0.34762797
56,0.27573313,0.23354825,0.14045240,0.11032914,0.34386038
57,0.27017626,0.23233245,0.13969968,0.11026654,0.33895718
58,0.26880581,0.23060094,0.13832675,0.11004094,0.33515329
59,0.26248370,0.22915748,0.13677782,0.10973563,0.32719611
60,0.25704851,0.22841564,0.13553580,0.10952708,0.32114935
61,0.25652684,0.22751440,0.13621718,0.10929860,0.32333372
62,0.25343910,0.22681848,0.13485488,0.10897528,0.31841600
63,0.24880861,0.22684720,0.13378488,0.10869614,0.31309054
64,0.25527936,0.22610300,0.13480817,0.10848387,0.31875836
65,0.24705528,0.22651482,0.13305694,0.10850606,0.30919091
66,0.24049227,0.22516349,0.13153112,0.10820117,0.30265521
67,0.23831251,0.22446111,0.13089082,0.10800419,0.29958686
68,0.23515013,0.22464687,0.13006892,0.10796668,0.29622900
69,0.23389978,0.22398365,0.12919233,0.10784385,0.29335478
70,0.22945887,0.22332649,0.12772463,0.10775733,0.28704928
71,0.22870916,0.22236597,0.12855245,0.10732128,0.28962755
72,0.22774800,0.22083609,0.12767367,0.10680614,0.28603927
73,0.22381318,0.21942903,0.12721346,0.10637527,0.28319008
74,0.22683718,0.21871091,0.12763549,0.10618966,0.28543252
75,0.21919229,0.21869319,0.12566129,0.10635080,0.27683510
76,0.21929745,0.21730485,0.12545103,0.10599646,0.27718897
77,0.21583616,0.21620389,0.12460521,0.10576966,0.27340904
78,0.21358236,0.21683051,0.12428091,0.10586644,0.27019823
