epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.14925509,0.19411955,0.10068748,0.09851534,0.18132198
2,0.14503085,0.19126317,0.09891071,0.09728161,0.17635320
3,0.14046361,0.18834397,0.09687393,0.09592421,0.17082111
4,0.13548065,0.18559540,0.09474187,0.09482903,0.16503345
5,0.13077525,0.18305465,0.09295216,0.09406042,0.16015501
6,0.12645934,0.18049026,0.09147106,0.09339045,0.15600264
7,0.12268806,0.17847573,0.09023703,0.09297079,0.15249189
8,0.11945470,0.17645948,0.08919620,0.09250722,0.14965114
9,0.11640615,0.17497662,0.08814481,0.09219950,0.14681734
10,0.11387080,0.17368424,0.08729394,0.09199969,0.14460386
11,0.11165061,0.17268830,0.08646563,0.09179944,0.14253439
12,0.10961946,0.17162959,0.08567503,0.09164154,0.14059764
13,0.10802950,0.17089546,0.08511797,0.09150848,0.13924985
14,0.10628860,0.16979830,0.08443088,0.09138582,0.13755319
15,0.10477144,0.16929872,0.08388503,0.09125893,0.13620909
16,0.10325872,0.16870528,0.08327906,0.09108529,0.13473173
17,0.10188406,0.16793744,0.08275201,0.09097269,0.13352333
18,0.10054065,0.16736589,0.08224384,0.09085368,0.13224363
19,0.09945569,0.16708215,0.08182373,0.09068184,0.13119775
20,0.09805572,0.16667211,0.08128328,0.09063053,0.12990258
21,0.09718934,0.16612349,0.08092477,0.09045589,0.12910230
22,0.09597610,0.16642286,0.08045993,0.09046309,0.12794038
23,0.09484189,0.16593564,0.07999535,0.09039790,0.12690684
24,0.09385533,0.16618232,0.07957967,0.09038399,0.12587994
25,0.09303060,0.16588369,0.07920523,0.09018515,0.12509958
26,0.09198753,0.16535997,0.07879834,0.09012920,0.12410502
27,0.09115491,0.16577011,0.07843934,0.09001999,0.12330697
28,0.09030317,0.16547936,0.07806841,0.08994202,0.12241296
29,0.08954513,0.16531086,0.07775656,0.08992186,0.12173091
30,0.08868303,0.16534780,0.07743387,0.08982877,0.12094615
31,0.08786785,0.16524278,0.07707433,0.08986563,0.12015531
32,0.08727759,0.16574045,0.07680041,0.08981587,0.11956831
33,0.08667187,0.16594986,0.07653369,0.08975333,0.11895293
34,0.08575463,0.16589532,0.07615853,0.08982484,0.11807111
35,0.08516713,0.16541997,0.07583224,0.08967725,0.11741720
36,0.08461170,0.16573427,0.07563752,0.08967119,0.11695211
37,0.08382738,0.16563695,0.07528327,0.08982062,0.11610993
38,0.08329970,0.16554726,0.07501924,0.08969407,0.11558916
39,0.08257185,0.16522056,0.07473608,0.08942925,0.11495805
40,0.08213365,0.16498172,0.07454345,0.08944431,0.11453512
41,0.08128758,0.16520465,0.07412546,0.08946907,0.11360972
42,0.08087278,0.16504886,0.07393931,0.08927718,0.11324583
43,0.08036279,0.16459961,0.07361093,0.08923863,0.11256706
44,0.07975192,0.16456676,0.07338189,0.08914240,0.11205453
45,0.07922250,0.16447800,0.07310389,0.08911751,0.11146210
46,0.07859381,0.16461103,0.07279981,0.08900739,0.11084986
47,0.07812581,0.16448409,0.07257325,0.08903711,0.11036932
48,0.07777455,0.16456133,0.07239012,0.08903863,0.10993947
49,0.07725835,0.16457868,0.07204562,0.08891542,0.10935370
50,0.07678240,0.16416347,0.07191855,0.08894378,0.10899195
51,0.07636777,0.16444665,0.07163986,0.08882832,0.10851185
52,0.07573266,0.16404427,0.07133777,0.08895533,0.10775114
53,0.07539076,0.16452130,0.07115008,0.08900832,0.10744690
54,0.07486662,0.16374523,0.07080159,0.08883031,0.10676793
55,0.07440906,0.16372887,0.07066267,0.08868065,0.10643681
56,0.07382502,0.16425252,0.07033360,0.08863115,0.10576198
57,0.07374979,0.16412790,0.07029323,0.08847861,0.10573314
58,0.07323828,0.16391227,0.06996476,0.08843104,0.10510774
59,0.07266775,0.16380520,0.06963347,0.08824967,0.10450690
60,0.07244082,0.16346773,0.06955213,0.08827679,0.10424761
61,0.07184418,0.16350575,0.06916335,0.08823722,0.10356474
62,0.07168429,0.16353397,0.06915410,0.08826418,0.10346134
63,0.07115628,0.16306210,0.06880165,0.08820155,0.10282855
64,0.07070793,0.16315280,0.06852323,0.08806554,0.10226560
65,0.07032256,0.16361295,0.06826492,0.08805728,0.10187150
66,0.07009364,0.16288860,0.06815920,0.08786275,0.10163740
67,0.06960951,0.16290221,0.06788428,0.08790797,0.10109974
68,0.06924266,0.16272440,0.06759255,0.08794340,0.10059013
69,0.06871929,0.16249613,0.06732376,0.08793789,0.10006020
70,0.06876272,0.16247285,0.06732000,0.08767763,0.10015061
71,0.06809809,0.16248223,0.06693099,0.08763036,0.09933602
72,0.06786486,0.16220178,0.06676828,0.08752567,0.09915663
