epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.14995596,0.19621623,0.10096599,0.09935154,0.18196922
2,0.14885209,0.19544313,0.10053152,0.09905058,0.18063381
3,0.14753144,0.19471096,0.10002814,0.09875728,0.17904760
4,0.14673400,0.19397086,0.09967053,0.09847904,0.17798360
5,0.14535461,0.19321967,0.09910097,0.09817026,0.17624234
6,0.14391432,0.19235065,0.09852664,0.09779786,0.17446492
7,0.14263488,0.19139356,0.09797079,0.09739259,0.17279071
8,0.14141780,0.19039358,0.09734818,0.09695091,0.17101326
9,0.13973887,0.18936017,0.09655059,0.09648106,0.16871430
10,0.13805746,0.18836452,0.09582294,0.09601118,0.16640624
11,0.13600427,0.18743793,0.09488868,0.09556619,0.16357753
12,0.13431837,0.18646615,0.09421120,0.09515733,0.16144033
13,0.13244842,0.18554044,0.09339813,0.09475104,0.15890254
14,0.13061918,0.18458856,0.09270281,0.09442282,0.15665912
15,0.12878598,0.18366942,0.09204211,0.09418932,0.15442006
16,0.12713425,0.18280267,0.09140465,0.09401117,0.15224654
17,0.12552978,0.18199523,0.09081626,0.09382502,0.15028643
18,0.12351861,0.18100791,0.09020624,0.09361903,0.14794171
19,0.12186895,0.18009840,0.08955441,0.09343127,0.14588236
20,0.12036886,0.17920725,0.08919068,0.09326225,0.14431775
21,0.11853752,0.17839445,0.08855990,0.09309771,0.14212643
22,0.11714332,0.17778708,0.08815570,0.09292549,0.14056971
23,0.11589101,0.17720431,0.08777292,0.09279784,0.13908117
24,0.11474138,0.17666919,0.08730270,0.09281391,0.13765552
25,0.11293364,0.17584604,0.08665514,0.09267381,0.13544221
26,0.11201130,0.17542263,0.08646361,0.09259409,0.13452239
27,0.11094604,0.17507051,0.08605437,0.09254203,0.13324256
28,0.10975675,0.17467101,0.08568789,0.09251822,0.13186785
29,0.10818845,0.17424677,0.08511528,0.09243817,0.12998456
30,0.10744975,0.17400243,0.08486206,0.09242015,0.12909057
31,0.10645606,0.17358142,0.08444885,0.09248117,0.12778595
32,0.10564993,0.17334491,0.08407805,0.09237448,0.12675817
33,0.10463334,0.17307137,0.08376531,0.09242520,0.12567571
34,0.10379278,0.17305493,0.08338900,0.09239628,0.12448250
35,0.10278331,0.17277943,0.08311685,0.09239305,0.12349373
36,0.10163051,0.17219438,0.08271969,0.09226136,0.12213752
37,0.10117187,0.17169715,0.08253103,0.09215538,0.12159606
38,0.10039291,0.17184178,0.08220307,0.09203402,0.12058547
39,0.09931000,0.17156183,0.08178903,0.09214232,0.11938505
40,0.09892095,0.17094928,0.08173176,0.09209031,0.11899484
41,0.09818174,0.17051323,0.08133705,0.09194890,0.11800194
42,0.09723738,0.17060256,0.08103123,0.09191046,0.11691736
43,0.09665614,0.17063869,0.08070970,0.09194914,0.11616599
44,0.09605160,0.17030449,0.08052011,0.09180585,0.11541377
45,0.09530075,0.16983811,0.08020654,0.09175434,0.11455382
46,0.09486193,0.17017216,0.08006491,0.09177645,0.11410827
47,0.09417979,0.16959188,0.07969167,0.09175367,0.11309635
48,0.09322943,0.16969799,0.07950535,0.09151154,0.11238487
49,0.09243977,0.16958062,0.07899717,0.09155324,0.11110360
50,0.09216356,0.16973619,0.07890651,0.09154888,0.11077418
51,0.09136471,0.16929242,0.07875333,0.09160870,0.11009368
52,0.09110192,0.16915920,0.07857554,0.09149174,0.10969787
53,0.09094404,0.16913546,0.07853223,0.09144608,0.10951069
54,0.09001413,0.16928612,0.07810006,0.09155542,0.10838558
55,0.08947264,0.16931304,0.07792115,0.09139573,0.10781549
56,0.08891883,0.16952270,0.07771083,0.09158185,0.10707193
57,0.08832659,0.16912646,0.07730212,0.09154414,0.10618781
58,0.08762685,0.16957309,0.07711608,0.09145671,0.10542614
59,0.08766125,0.16941156,0.07709638,0.09144957,0.10551061
60,0.08724572,0.16966945,0.07688645,0.09137129,0.10491800
61,0.08666844,0.16978021,0.07667272,0.09143127,0.10428788
62,0.08623815,0.17004677,0.07647519,0.09150759,0.10372724
63,0.08579840,0.16998572,0.07631764,0.09128398,0.10328661
64,0.08515362,0.16955000,0.07588427,0.09146341,0.10220390
65,0.08454153,0.16946194,0.07567773,0.09134887,0.10164414
66,0.08417891,0.16949386,0.07563297,0.09127791,0.10133595
67,0.08360177,0.16975796,0.07534664,0.09139723,0.10052092
68,0.08342568,0.17000690,0.07533307,0.09135185,0.10044716
69,0.08314676,0.16954489,0.07521895,0.09123518,0.10007026
70,0.08258440,0.16967334,0.07485853,0.09135017,0.09931425
71,0.08240621,0.16993198,0.07489516,0.09142898,0.09924649
72,0.08200010,0.16972949,0.07467181,0.09128719,0.09864510
73,0.08185273,0.16993678,0.07457064,0.09127878,0.09847654
74,0.08192349,0.16967404,0.07451695,0.09119655,0.09846586
75,0.08088987,0.17049201,0.07418626,0.09136401,0.09741236
76,0.08059658,0.17009243,0.07403219,0.09134581,0.09699403
77,0.08044466,0.17048222,0.07391439,0.09135152,0.09673589
