epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.20282995,0.19508871,0.11099735,0.10105057,0.20283052,0.10754934,0.10172928,3.62944319e-03,1.35903822e-04,4.18114477e-05,2.91996346e-03
2,0.18779789,0.17295599,0.10743114,0.09694171,0.18794250,0.10329669,0.10079469,3.77159565e-02,7.41748725e-02,3.68132826e-02,2.58870268e-02
3,0.16154315,0.15664143,0.10186495,0.09358021,0.16286313,0.09903623,0.09944794,7.62849604e-02,3.39936117e-01,1.37916057e-01,7.13920011e-02
4,0.14910192,0.14618739,0.09856714,0.09049140,0.15186599,0.09619845,0.09789347,8.19900149e-02,5.48830830e-01,2.36741438e-01,8.20826954e-02
5,0.14035699,0.13760889,0.09611137,0.08796799,0.14366189,0.09375150,0.09632457,8.65147085e-02,5.29908323e-01,2.83974073e-01,8.22492967e-02
6,0.13576335,0.13350105,0.09484907,0.08697532,0.13841881,0.09269775,0.09490798,9.02829979e-02,4.55045146e-01,2.55688279e-01,7.79552557e-02
7,0.13269494,0.13089035,0.09399553,0.08633766,0.13467832,0.09198974,0.09368380,9.36637841e-02,3.75360655e-01,2.18963950e-01,7.20817311e-02
8,0.13057991,0.12906856,0.09341949,0.08574600,0.13210539,0.09138866,0.09256925,9.66831413e-02,3.16499617e-01,1.88751083e-01,6.58329532e-02
9,0.12880089,0.12801723,0.09288082,0.08545353,0.13002435,0.09113043,0.09159216,9.80284243e-02,2.69243649e-01,1.65732401e-01,6.11722913e-02
10,0.12745033,0.12678611,0.09238292,0.08521062,0.12846332,0.09093786,0.09070733,9.98939301e-02,2.30733188e-01,1.47106681e-01,5.73837575e-02
11,0.12629114,0.12620769,0.09209076,0.08507899,0.12717809,0.09091228,0.08993104,1.01352020e-01,2.08005867e-01,1.34580591e-01,5.49566793e-02
12,0.12525301,0.12578329,0.09177308,0.08488114,0.12604534,0.09077598,0.08922627,1.02950397e-01,1.85617882e-01,1.24197674e-01,5.31974295e-02
13,0.12468460,0.12560355,0.09158845,0.08496078,0.12541958,0.09064223,0.08861648,1.03324164e-01,1.77740626e-01,1.17585615e-01,5.15100360e-02
14,0.12373049,0.12523424,0.09128486,0.08493145,0.12442861,0.09072948,0.08807719,1.04385518e-01,1.67863875e-01,1.13492391e-01,4.97314181e-02
15,0.12264744,0.12473855,0.09095553,0.08476887,0.12333077,0.09078265,0.08759810,1.06238733e-01,1.62751342e-01,1.11000930e-01,4.83262725e-02
16,0.12228549,0.12451779,0.09081067,0.08473199,0.12296451,0.09071498,0.08717351,1.05906185e-01,1.61369235e-01,1.10852711e-01,4.75977746e-02
17,0.12175318,0.12441428,0.09068419,0.08471357,0.12244017,0.09066756,0.08681421,1.08075622e-01,1.59741252e-01,1.11587632e-01,4.71412982e-02
18,0.12104173,0.12411411,0.09047420,0.08458861,0.12173458,0.09062184,0.08649491,1.08073451e-01,1.62005111e-01,1.12295899e-01,4.63673126e-02
19,0.12081242,0.12385081,0.09041120,0.08456244,0.12151067,0.09069696,0.08622063,1.08367517e-01,1.62754676e-01,1.13140797e-01,4.62384581e-02
20,0.12023798,0.12380626,0.09017957,0.08449228,0.12094222,0.09050653,0.08596558,1.09136379e-01,1.62439965e-01,1.13653498e-01,4.59223140e-02
21,0.11983972,0.12344375,0.09005491,0.08443085,0.12054899,0.09049515,0.08574545,1.10054602e-01,1.64049173e-01,1.14069245e-01,4.52915203e-02
22,0.11984962,0.12340541,0.09007693,0.08438228,0.12056038,0.09065946,0.08555430,1.10512706e-01,1.63894211e-01,1.14442312e-01,4.51400645e-02
23,0.11933059,0.12330624,0.08993807,0.08438181,0.12004835,0.09053128,0.08538256,1.10136836e-01,1.65090034e-01,1.15333030e-01,4.46864713e-02
24,0.11877299,0.12316752,0.08971600,0.08432535,0.11950042,0.09055730,0.08522998,1.11313032e-01,1.66196698e-01,1.15685169e-01,4.47841097e-02
25,0.11847967,0.12310517,0.08969469,0.08431433,0.11920332,0.09061907,0.08509521,1.10593851e-01,1.66048089e-01,1.16216710e-01,4.45039815e-02
26,0.11817195,0.12298391,0.08956425,0.08431056,0.11890354,0.09060088,0.08497737,1.12202048e-01,1.65837319e-01,1.16045526e-01,4.44406177e-02
27,0.11806860,0.12290828,0.08954184,0.08431945,0.11880536,0.09073392,0.08487375,1.12789146e-01,1.66798292e-01,1.16620169e-01,4.44547911e-02
28,0.11784790,0.12281683,0.08944666,0.08427445,0.11858631,0.09068366,0.08477969,1.13303626e-01,1.66219935e-01,1.16955518e-01,4.41965886e-02
29,0.11780883,0.12281358,0.08944509,0.08423301,0.11855130,0.09058589,0.08469806,1.13259350e-01,1.67295096e-01,1.17530998e-01,4.38272523e-02
30,0.11730703,0.12269962,0.08927019,0.08421256,0.11804903,0.09063678,0.08462677,1.12921655e-01,1.68180605e-01,1.17661436e-01,4.38278978e-02
31,0.11764050,0.12263558,0.08939026,0.08419991,0.11838390,0.09059091,0.08456395,1.13181230e-01,1.66500839e-01,1.17735094e-01,4.38507541e-02
32,0.11724815,0.12252980,0.08927556,0.08420228,0.11799751,0.09065168,0.08451024,1.14287048e-01,1.68203536e-01,1.17988566e-01,4.34051159e-02
33,0.11703614,0.12248968,0.08917100,0.08418581,0.11778358,0.09066572,0.08446069,1.13562565e-01,1.68392381e-01,1.17976310e-01,4.38620085e-02
34,0.11689005,0.12235748,0.08912986,0.08415932,0.11764440,0.09070089,0.08441552,1.14425406e-01,1.68918582e-01,1.18256864e-01,4.37289821e-02
35,0.11677561,0.12237530,0.08908336,0.08417780,0.11752714,0.09063314,0.08437815,1.14144754e-01,1.69189755e-01,1.18212414e-01,4.35874350e-02
36,0.11688452,0.12242307,0.08912813,0.08420428,0.11764085,0.09068868,0.08434947,1.14179827e-01,1.69205611e-01,1.18819185e-01,4.33427494e-02
37,0.11637721,0.12235056,0.08896637,0.08417085,0.11713434,0.09068892,0.08432134,1.14584978e-01,1.69734790e-01,1.18673101e-01,4.30615869e-02
38,0.11670050,0.12230505,0.08906567,0.08412182,0.11745873,0.09063970,0.08429351,1.14913267e-01,1.70170397e-01,1.18797195e-01,4.31448757e-02
39,0.11645893,0.12227455,0.08895837,0.08413092,0.11721353,0.09067566,0.08426973,1.14628389e-01,1.69665350e-01,1.18686887e-01,4.30621525e-02
40,0.11605211,0.12222300,0.08881611,0.08409153,0.11681336,0.09067615,0.08424523,1.14980771e-01,1.70153059e-01,1.19174143e-01,4.35697544e-02
41,0.11628488,0.12214520,0.08894248,0.08405964,0.11704744,0.09064432,0.08422140,1.15480902e-01,1.70183658e-01,1.19052205e-01,4.32126605e-02
42,0.11628322,0.12210537,0.08894507,0.08405245,0.11704602,0.09065331,0.08420053,1.15225233e-01,1.69649938e-01,1.19192739e-01,4.32515930e-02
43,0.11608770,0.12213257,0.08888089,0.08406454,0.11684809,0.09068366,0.08418337,1.15090809e-01,1.69960375e-01,1.19220963e-01,4.30122458e-02
44,0.11615101,0.12211981,0.08891137,0.08407027,0.11691422,0.09069650,0.08416899,1.15282635e-01,1.70181715e-01,1.19389912e-01,4.30530748e-02
45,0.11593916,0.12207258,0.08881892,0.08405416,0.11670219,0.09068701,0.08415478,1.15357797e-01,1.70374914e-01,1.19369276e-01,4.29931418e-02
46,0.11614399,0.12204883,0.08888422,0.08405261,0.11690823,0.09069104,0.08414225,1.15304851e-01,1.70241997e-01,1.19466459e-01,4.31858771e-02
47,0.11586127,0.12203773,0.08883302,0.08405562,0.11662641,0.09069045,0.08413181,1.15633336e-01,1.70459374e-01,1.19408917e-01,4.30048770e-02
48,0.11598549,0.12203768,0.08884709,0.08405865,0.11675449,0.09066813,0.08412298,1.15900008e-01,1.70369250e-01,1.19730150e-01,4.29833463e-02
49,0.11602916,0.12204260,0.08886866,0.08406739,0.11679367,0.09068644,0.08411619,1.15594790e-01,1.70504207e-01,1.19307381e-01,4.27954870e-02
50,0.11585739,0.12200508,0.08879356,0.08405507,0.11662516,0.09065968,0.08410890,1.15826358e-01,1.70856134e-01,1.19570592e-01,4.30551556e-02
