epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.20364756,0.19645633,0.11124239,0.10135503,0.20364775,0.10784684,0.10176026,2.10660403e-03,2.07329565e-04,6.57697522e-05,1.69289752e-03
2,0.20044498,0.19286457,0.11041438,0.10058412,0.20044778,0.10707207,0.10158974,8.52986182e-03,5.01803091e-03,2.45247492e-03,6.61186468e-03
3,0.19490304,0.18726406,0.10900587,0.09952107,0.19492070,0.10597191,0.10123399,2.05912524e-02,1.71786952e-02,9.42426498e-03,1.50227187e-02
4,0.18709387,0.17954444,0.10725306,0.09816464,0.18716610,0.10457426,0.10068806,3.98477468e-02,3.75210785e-02,2.31274295e-02,2.72511092e-02
5,0.17709892,0.17062496,0.10510772,0.09647556,0.17729238,0.10272789,0.09999776,6.07584583e-02,6.78689389e-02,4.09703193e-02,4.23736339e-02
6,0.16834704,0.16364536,0.10342367,0.09509324,0.16871286,0.10096571,0.09920816,7.31506297e-02,1.04748894e-01,5.68556790e-02,6.06923735e-02
7,0.16264848,0.16041297,0.10220627,0.09442092,0.16320259,0.09990010,0.09837609,7.60843625e-02,1.58511401e-01,7.30744426e-02,7.52066333e-02
8,0.15922850,0.15813188,0.10142195,0.09399088,0.16002609,0.09933058,0.09750666,7.71475572e-02,2.13014786e-01,1.01813612e-01,8.05351622e-02
9,0.15651555,0.15532969,0.10074584,0.09329094,0.15771518,0.09869900,0.09660500,7.84306102e-02,2.88342322e-01,1.42287918e-01,8.45867792e-02
10,0.15388326,0.15250283,0.09997871,0.09250637,0.15558634,0.09784077,0.09567957,8.10670340e-02,3.50212135e-01,1.85443043e-01,8.59350869e-02
11,0.15150905,0.14960467,0.09930653,0.09169561,0.15381958,0.09713070,0.09476794,8.31010865e-02,4.18926504e-01,2.27461617e-01,8.79735209e-02
12,0.14816208,0.14639243,0.09840422,0.09077074,0.15109645,0.09626081,0.09388663,8.32160037e-02,4.75245599e-01,2.66817282e-01,8.93285912e-02
13,0.14516097,0.14346883,0.09753725,0.09009992,0.14872890,0.09557842,0.09305216,8.48249456e-02,5.52294645e-01,3.00358143e-01,9.07892277e-02
14,0.14214224,0.14019286,0.09673464,0.08896017,0.14623768,0.09460778,0.09223891,8.62962438e-02,5.52261653e-01,3.32599394e-01,9.15243972e-02
15,0.13958901,0.13777313,0.09594546,0.08834172,0.14411872,0.09401634,0.09149970,8.86910189e-02,6.01363778e-01,3.51643868e-01,9.19720294e-02
16,0.13690038,0.13551524,0.09526809,0.08766783,0.14180454,0.09325757,0.09081955,8.98235336e-02,6.11544879e-01,3.72056913e-01,9.21269799e-02
17,0.13475020,0.13348072,0.09456947,0.08698103,0.13985455,0.09262914,0.09018582,9.10070254e-02,6.20329061e-01,3.80686596e-01,9.19291869e-02
18,0.13285329,0.13171805,0.09396374,0.08651158,0.13803171,0.09211321,0.08962354,9.18186754e-02,6.20791487e-01,3.84931301e-01,9.20088474e-02
19,0.13085344,0.13062771,0.09339873,0.08616522,0.13597182,0.09169579,0.08912161,9.28049469e-02,6.14669089e-01,3.82455949e-01,9.16470040e-02
20,0.12972097,0.12944896,0.09299403,0.08589030,0.13469584,0.09150245,0.08867077,9.33923019e-02,6.06439050e-01,3.77808627e-01,9.16137220e-02
21,0.12782882,0.12841823,0.09251027,0.08557721,0.13257667,0.09125651,0.08825901,9.47450692e-02,5.90282059e-01,3.67147384e-01,9.13771382e-02
22,0.12712826,0.12776517,0.09224164,0.08531973,0.13167636,0.09104024,0.08788380,9.66908574e-02,5.77565804e-01,3.58589708e-01,9.13706193e-02
