epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.20364752,0.19645626,0.11124238,0.10135501,0.20364756,0.10784681,0.10176027,2.10671318e-03,2.33088055e-04,6.32794503e-05,1.69306401e-03
2,0.20044386,0.19286270,0.11041400,0.10058377,0.20044461,0.10707158,0.10153552,8.53231737e-03,1.14015434e-02,4.34571041e-03,6.61495941e-03
3,0.19488925,0.18724635,0.10900229,0.09951823,0.19489584,0.10596824,0.10106016,2.06107955e-02,4.16284117e-02,1.85301244e-02,1.50415577e-02
4,0.18701412,0.17945241,0.10723529,0.09814912,0.18705350,0.10455570,0.10031406,3.99435348e-02,1.04010660e-01,5.16011067e-02,2.73112722e-02
5,0.17679350,0.17036126,0.10504244,0.09641802,0.17696684,0.10266300,0.09931837,6.10580973e-02,2.17743374e-01,1.14715989e-01,4.24667662e-02
6,0.16772662,0.16332850,0.10327867,0.09500251,0.16816602,0.10086267,0.09820488,7.36929473e-02,3.86111873e-01,1.84489395e-01,6.06099864e-02
7,0.16179885,0.15980591,0.10197372,0.09421797,0.16241939,0.09970759,0.09712546,7.67114637e-02,6.26324440e-01,2.26997293e-01,7.46821702e-02
8,0.15778485,0.15688157,0.10100174,0.09355791,0.15873572,0.09895296,0.09609568,7.77642353e-02,8.44688672e-01,2.99548217e-01,7.95086138e-02
9,0.15416858,0.15322261,0.10004706,0.09256707,0.15570627,0.09809020,0.09513492,7.91398579e-02,1.07434039e+00,3.95640445e-01,8.26449879e-02
10,0.15047882,0.14920077,0.09896008,0.09138672,0.15265515,0.09693714,0.09420918,8.22907673e-02,1.19117013e+00,4.89455840e-01,8.32913835e-02
11,0.14710226,0.14501081,0.09798835,0.09017199,0.14988010,0.09588894,0.09332636,8.48812753e-02,1.25340382e+00,5.78503270e-01,8.49018492e-02
12,0.14291249,0.14088049,0.09684308,0.08901088,0.14616065,0.09479702,0.09250433,8.58241674e-02,1.27525125e+00,6.47620477e-01,8.63101659e-02
13,0.13993547,0.13781863,0.09597565,0.08829246,0.14329846,0.09401588,0.09171941,8.73118032e-02,1.30668595e+00,6.67256513e-01,8.75378774e-02
14,0.13732185,0.13505381,0.09530090,0.08740457,0.14063077,0.09320911,0.09099595,8.93814879e-02,1.20838205e+00,6.74846064e-01,8.73819372e-02
15,0.13560537,0.13330519,0.09477787,0.08701248,0.13865668,0.09280266,0.09034046,9.18821614e-02,1.17767136e+00,6.48879835e-01,8.70863864e-02
16,0.13378296,0.13190823,0.09435347,0.08667769,0.13660552,0.09230962,0.08975274,9.33005003e-02,1.10768541e+00,6.32886541e-01,8.53031348e-02
17,0.13254261,0.13060950,0.09394018,0.08624260,0.13508050,0.09190695,0.08920477,9.46825748e-02,1.03776584e+00,6.00302134e-01,8.38625135e-02
18,0.13133367,0.12952640,0.09356173,0.08602998,0.13360652,0.09161320,0.08872443,9.54688711e-02,9.82004444e-01,5.69721359e-01,8.19543678e-02
19,0.12995989,0.12882717,0.09318704,0.08584071,0.13200549,0.09138779,0.08829958,9.65832695e-02,9.15559341e-01,5.42298797e-01,7.99353907e-02
20,0.12929591,0.12818765,0.09292203,0.08573690,0.13113798,0.09134257,0.08792003,9.72439140e-02,8.70646241e-01,5.14699719e-01,7.80537101e-02
21,0.12781294,0.12742790,0.09257442,0.08556840,0.12942274,0.09124348,0.08758144,9.87505646e-02,8.06781194e-01,4.80097613e-01,7.68726135e-02
22,0.12740512,0.12712861,0.09239223,0.08540136,0.12887644,0.09101408,0.08727240,1.00620263e-01,7.62368618e-01,4.60583272e-01,7.55807636e-02
23,0.12674728,0.12639276,0.09223746,0.08532920,0.12804607,0.09104160,0.08699610,1.00339358e-01,7.12259920e-01,4.30882837e-01,7.35030212e-02
24,0.12581145,0.12609855,0.09195558,0.08531728,0.12698891,0.09108995,0.08675488,1.01810860e-01,6.79748639e-01,4.09457200e-01,7.26256343e-02
25,0.12480181,0.12579760,0.09163886,0.08517263,0.12586483,0.09090027,0.08652572,1.02193289e-01,6.29402058e-01,3.89953813e-01,7.15110088e-02
26,0.12422082,0.12534959,0.09146131,0.08510220,0.12518661,0.09092868,0.08632052,1.04985668e-01,5.97822237e-01,3.68918566e-01,7.06414253e-02
27,0.12362392,0.12516440,0.09122760,0.08507564,0.12450560,0.09090878,0.08614329,1.06040236e-01,5.73115873e-01,3.51415619e-01,6.89627090e-02
28,0.12336262,0.12498195,0.09124235,0.08501688,0.12415617,0.09088772,0.08598748,1.05739297e-01,5.34326957e-01,3.33471193e-01,6.91231264e-02
29,0.12249222,0.12461691,0.09091111,0.08497574,0.12322467,0.09091209,0.08584256,1.06348662e-01,5.17272975e-01,3.17796860e-01,6.87461378e-02
30,0.12279614,0.12453094,0.09103592,0.08492045,0.12345957,0.09083419,0.08571553,1.07225973e-01,4.91909160e-01,3.01573750e-01,6.75262888e-02
31,0.12217776,0.12415885,0.09084964,0.08485768,0.12279145,0.09092166,0.08560040,1.07762031e-01,4.64952443e-01,2.88243338e-01,6.66276740e-02
32,0.12148686,0.12412123,0.09059001,0.08480698,0.12206441,0.09091815,0.08549770,1.09377855e-01,4.43642918e-01,2.78800964e-01,6.60483484e-02
33,0.12127605,0.12394179,0.09056143,0.08481257,0.12180382,0.09105567,0.08541221,1.09620350e-01,4.21453875e-01,2.64905151e-01,6.51765784e-02
34,0.12075314,0.12367557,0.09043081,0.08468746,0.12124944,0.09085988,0.08532760,1.09860558e-01,4.06326371e-01,2.55039502e-01,6.47445492e-02
35,0.12043623,0.12366249,0.09038313,0.08472107,0.12089860,0.09083571,0.08525747,1.11007543e-01,3.93362869e-01,2.44779577e-01,6.38630742e-02
36,0.12025690,0.12348669,0.09024487,0.08465671,0.12068863,0.09096332,0.08519520,1.11029691e-01,3.79247522e-01,2.34340435e-01,6.41210781e-02
37,0.11978478,0.12332493,0.09000343,0.08455844,0.12018973,0.09093703,0.08512592,1.11075630e-01,3.56987619e-01,2.26449040e-01,6.31494239e-02
38,0.11943494,0.12334941,0.09000769,0.08461416,0.11981808,0.09099676,0.08507631,1.11505152e-01,3.47789823e-01,2.18748679e-01,6.21210372e-02
39,0.11878743,0.12296063,0.08974462,0.08450017,0.11915210,0.09098318,0.08502394,1.12313237e-01,3.32803307e-01,2.11972775e-01,6.09155997e-02
40,0.11855232,0.12294513,0.08966691,0.08450859,0.11889747,0.09098805,0.08496877,1.13427190e-01,3.24378271e-01,2.05440005e-01,6.02653963e-02
41,0.11873557,0.12263982,0.08976613,0.08446087,0.11906431,0.09099029,0.08492159,1.13341942e-01,3.14249269e-01,1.99133405e-01,5.94362062e-02
42,0.11846012,0.12253540,0.08970472,0.08434581,0.11877060,0.09098437,0.08486878,1.13911904e-01,3.02980525e-01,1.91261596e-01,5.84964382e-02
43,0.11819887,0.12267014,0.08960477,0.08441401,0.11849953,0.09096643,0.08482989,1.15068333e-01,2.96264204e-01,1.87623619e-01,5.74565994e-02
44,0.11790959,0.12270587,0.08954308,0.08438795,0.11819568,0.09112383,0.08479194,1.14420828e-01,2.83927830e-01,1.82607386e-01,5.70920730e-02
45,0.11704206,0.12249418,0.08926404,0.08432273,0.11731853,0.09111578,0.08474586,1.15902856e-01,2.77782140e-01,1.77592707e-01,5.62784737e-02
46,0.11720560,0.12224521,0.08934087,0.08429290,0.11747234,0.09106644,0.08470735,1.15802089e-01,2.71143968e-01,1.73458273e-01,5.49752380e-02
47,0.11692061,0.12217174,0.08920692,0.08423210,0.11717444,0.09122361,0.08466109,1.15091629e-01,2.59071060e-01,1.69229865e-01,5.40508976e-02
48,0.11673374,0.12206271,0.08920218,0.08423249,0.11698446,0.09117115,0.08461748,1.17042034e-01,2.57094939e-01,1.66439786e-01,5.28204033e-02
49,0.11656407,0.12211766,0.08908152,0.08424813,0.11680279,0.09125546,0.08458244,1.15454847e-01,2.51435775e-01,1.62331035e-01,5.17841354e-02
50,0.11619204,0.12186988,0.08899904,0.08422662,0.11642782,0.09124527,0.08454591,1.17906179e-01,2.44353724e-01,1.59716738e-01,5.06680920e-02
51,0.11599261,0.12188938,0.08889643,0.08423637,0.11622032,0.09140913,0.08451435,1.17934092e-01,2.38826808e-01,1.56479590e-01,5.00731280e-02
52,0.11585097,0.12173872,0.08882962,0.08420855,0.11607487,0.09133105,0.08448292,1.18339880e-01,2.31905032e-01,1.54591491e-01,4.86220270e-02
53,0.11597301,0.12184484,0.08888650,0.08421853,0.11618826,0.09114647,0.08445116,1.18264610e-01,2.27790552e-01,1.51477338e-01,4.73616557e-02
54,0.11571477,0.12149866,0.08880328,0.08413758,0.11592644,0.09116780,0.08441412,1.18066081e-01,2.26500386e-01,1.49021713e-01,4.66967355e-02
