epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse
1,1.17644769,0.41426613,0.29223452,0.16375638,1.75551791,0.16949878
2,0.55164474,0.19366735,0.19622317,0.11005539,0.93538220,0.11593496
3,0.33556739,0.16913015,0.15171542,0.10049875,0.53765735,0.10754550
4,0.26448053,0.16245703,0.13432083,0.09780600,0.41293175,0.10549643
5,0.23354975,0.15782409,0.12611398,0.09607378,0.36017607,0.10390826
6,0.21419788,0.15354031,0.12051786,0.09471352,0.32734222,0.10323619
7,0.20075327,0.15006848,0.11658232,0.09355425,0.30513109,0.10230581
8,0.19154456,0.14753109,0.11375729,0.09258324,0.29010523,0.10140883
9,0.18372623,0.14511218,0.11143628,0.09187879,0.27831881,0.10108831
10,0.17718908,0.14280909,0.10942216,0.09084641,0.26812795,0.10015039
11,0.17310541,0.14188975,0.10811817,0.09063986,0.26168069,0.09999676
12,0.17000271,0.14086133,0.10706065,0.09050003,0.25634594,0.10015079
13,0.16517509,0.13873164,0.10549430,0.08951308,0.24907898,0.09936476
14,0.16118845,0.13746513,0.10417264,0.08933597,0.24346417,0.09901104
15,0.15861849,0.13671985,0.10339972,0.08878028,0.23977262,0.09856758
16,0.15631137,0.13590937,0.10249190,0.08864585,0.23565766,0.09819830
17,0.15357406,0.13487982,0.10175232,0.08831103,0.23217905,0.09789408
18,0.15095445,0.13447729,0.10069871,0.08831557,0.22805842,0.09811964
19,0.14892864,0.13405364,0.10009905,0.08811862,0.22553714,0.09792796
20,0.14856580,0.13302925,0.09980021,0.08764255,0.22386671,0.09758145
21,0.14580998,0.13182284,0.09894682,0.08726421,0.22062005,0.09741503
22,0.14422550,0.13063655,0.09839656,0.08701793,0.21848145,0.09743578
23,0.14352549,0.13127985,0.09821734,0.08709054,0.21756120,0.09739182
24,0.14197163,0.12937108,0.09762829,0.08672623,0.21505949,0.09711993
25,0.14106191,0.12987327,0.09723682,0.08672486,0.21378098,0.09689319
26,0.14016680,0.12931297,0.09695241,0.08649251,0.21258333,0.09667363
27,0.13905744,0.12884931,0.09654894,0.08645426,0.21080360,0.09684704
28,0.13840628,0.12824287,0.09634748,0.08628332,0.20974588,0.09665719
29,0.13711005,0.12814953,0.09590074,0.08618764,0.20847934,0.09655629
30,0.13648531,0.12823457,0.09558125,0.08636781,0.20711339,0.09686960
31,0.13553049,0.12765333,0.09531977,0.08607664,0.20600413,0.09638937
32,0.13485456,0.12785909,0.09505900,0.08612010,0.20531066,0.09656997
33,0.13449152,0.12705772,0.09491933,0.08573939,0.20460677,0.09608277
34,0.13389712,0.12686486,0.09468777,0.08573670,0.20393665,0.09621840
35,0.13372203,0.12665380,0.09457474,0.08555942,0.20339693,0.09595219
36,0.13294375,0.12686653,0.09436669,0.08572268,0.20237959,0.09613911
37,0.13276740,0.12661956,0.09442511,0.08553436,0.20258549,0.09601193
38,0.13244110,0.12640022,0.09411874,0.08558998,0.20207565,0.09604644
39,0.13242827,0.12626702,0.09405589,0.08580948,0.20136477,0.09642262
40,0.13172317,0.12622805,0.09379900,0.08556335,0.20071860,0.09610371
41,0.13115073,0.12604980,0.09363677,0.08542590,0.20007185,0.09596589
42,0.13145731,0.12593857,0.09380076,0.08539522,0.20049238,0.09595922
43,0.13147454,0.12575544,0.09372050,0.08542058,0.20043903,0.09599878
44,0.13106209,0.12582483,0.09363937,0.08543847,0.20015415,0.09598210
45,0.13075000,0.12555467,0.09348987,0.08530762,0.19937714,0.09586023
46,0.13086635,0.12556631,0.09360383,0.08530723,0.19987273,0.09585397
47,0.13054356,0.12553159,0.09341851,0.08534244,0.19926979,0.09590355
48,0.13072790,0.12553565,0.09347648,0.08534046,0.19963183,0.09589818
49,0.13065380,0.12561932,0.09352622,0.08534696,0.19968033,0.09590754
50,0.13016068,0.12557839,0.09347868,0.08534444,0.19912736,0.09592325
