epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,test_rmse
1,1.37187283,0.55707591,0.31592983,0.18824439,1.74759766,0.19078984
2,0.83999333,0.34609367,0.24445531,0.15037350,1.11612017,0.15638884
3,0.64532382,0.25641447,0.21328754,0.12830174,0.87990902,0.13380297
4,0.51519276,0.21410485,0.18967969,0.11734224,0.71598136,0.12297662
5,0.42912960,0.18714058,0.17267655,0.10778914,0.60626500,0.11355608
6,0.36873201,0.17602471,0.15973770,0.10395547,0.52917176,0.11019433
7,0.32369674,0.16921507,0.14933671,0.10087775,0.47142145,0.10750309
8,0.29246034,0.16496645,0.14158550,0.09946001,0.43160554,0.10656453
9,0.26641433,0.16036075,0.13514607,0.09716780,0.39849050,0.10457209
10,0.24856818,0.15922679,0.13009276,0.09713353,0.37465042,0.10500218
11,0.23369574,0.15702779,0.12624467,0.09569645,0.35668532,0.10379429
12,0.21961863,0.15431904,0.12220003,0.09447732,0.33769554,0.10306513
13,0.20946400,0.15207243,0.11911865,0.09364082,0.32003848,0.10229504
14,0.20103828,0.15060803,0.11656136,0.09323905,0.30596584,0.10218806
15,0.19502930,0.14796098,0.11471792,0.09229463,0.29567939,0.10119631
16,0.18822590,0.14709456,0.11286511,0.09205600,0.28579578,0.10099271
17,0.18353870,0.14588550,0.11135749,0.09211477,0.27802346,0.10141211
18,0.18010548,0.14395599,0.11019050,0.09131454,0.27182407,0.10049236
19,0.17692107,0.14277451,0.10919041,0.09111883,0.26641356,0.10039669
20,0.17363141,0.14189276,0.10815582,0.09055813,0.26195279,0.09982105
21,0.16969554,0.14118652,0.10695233,0.09022318,0.25633935,0.09994197
22,0.16751859,0.13929516,0.10623697,0.08968614,0.25262299,0.09944596
23,0.16527171,0.13909003,0.10541452,0.08956041,0.24875356,0.09905965
24,0.16368220,0.13767855,0.10467450,0.08909268,0.24587183,0.09899835
25,0.16086231,0.13760757,0.10397740,0.08904008,0.24231422,0.09862439
26,0.15868033,0.13683409,0.10321446,0.08918800,0.23941885,0.09919586
27,0.15673975,0.13559408,0.10272420,0.08832730,0.23619847,0.09826028
28,0.15519881,0.13561970,0.10202551,0.08854088,0.23391890,0.09850163
29,0.15324489,0.13451778,0.10148101,0.08783987,0.23148784,0.09793253
30,0.15150518,0.13384253,0.10089246,0.08768803,0.22846841,0.09763723
31,0.14959116,0.13313459,0.10015634,0.08766662,0.22592960,0.09757961
32,0.14955282,0.13315283,0.10014469,0.08769431,0.22555617,0.09787601
33,0.14809055,0.13245152,0.09960108,0.08755498,0.22318843,0.09782197
34,0.14620241,0.13144453,0.09897541,0.08716304,0.22096713,0.09737670
35,0.14560886,0.13189920,0.09881467,0.08713950,0.21969273,0.09766693
36,0.14372339,0.13088386,0.09802991,0.08674285,0.21725872,0.09709623
37,0.14309905,0.13025697,0.09789996,0.08678537,0.21639933,0.09740321
38,0.14226024,0.12968347,0.09780973,0.08648756,0.21562975,0.09694384
39,0.14014204,0.13021867,0.09695445,0.08681193,0.21265049,0.09753520
40,0.14019558,0.12946525,0.09685250,0.08636873,0.21197750,0.09667619
41,0.13784332,0.12918688,0.09588990,0.08619487,0.20903947,0.09674553
42,0.13813058,0.12829655,0.09601574,0.08604216,0.20915135,0.09644072
43,0.13649276,0.12786608,0.09561296,0.08619066,0.20739504,0.09674731
44,0.13583029,0.12776125,0.09531846,0.08566705,0.20646039,0.09612425
45,0.13482419,0.12719078,0.09499264,0.08556318,0.20459267,0.09621932
46,0.13446785,0.12782941,0.09490677,0.08586585,0.20493465,0.09660809
47,0.13345469,0.12681485,0.09439605,0.08539362,0.20290210,0.09614193
48,0.13216057,0.12622596,0.09394813,0.08527953,0.20100847,0.09598854
49,0.13194075,0.12683994,0.09391497,0.08574953,0.20095437,0.09624555
50,0.13127302,0.12606437,0.09370403,0.08543725,0.20023688,0.09597571
51,0.13052094,0.12555828,0.09330035,0.08515357,0.19930119,0.09559156
52,0.12982160,0.12518015,0.09319505,0.08502499,0.19801507,0.09590293
53,0.12887742,0.12595605,0.09288860,0.08517529,0.19743878,0.09596838
54,0.12862431,0.12543501,0.09248449,0.08502201,0.19622760,0.09594342
55,0.12830811,0.12404559,0.09261590,0.08468644,0.19636389,0.09563013
