source_file,geometry_type,radius_mm,planner,ctrl_hz,fb_hz,duration_sec,n_samples,ee_rms_err_mm,start_idx,end_idx_exclusive
triangle_r140mm_yz_cxn164cyn130cz255_ruckig_ctrlmax_fbmax_001.json,triangle,139.9942,Ruckig,303.906,303.905,8.82839,2634,9.30426,0,2634
lissajous_r112mm_yz_cx236cyn65cz185_quintic_poly_ctrlmax_fbmax_001.json,lissajous,111.5732,Quintic Poly,305.348,305.347,32.2187,9641,16.2104,2634,12275
parabola_r75mm_xz_cx66cyn265cz302_quintic_poly_ctrlmax_fbmax_001.json,parabola,75.469,Quintic Poly,304.472,304.469,8.70695,2591,12.8097,12275,14866
spiral_r75mm_xz_cxn94cyn105cz358_ruckig_ctrlmax_fbmax_001.json,spiral,74.7724,Ruckig,303.677,303.674,22.5653,6712,5.47745,14866,21578
circle_r75mm_xz_cxn94cyn105cz365_ruckig_ctrlmax_fbmax_001.json,circle,75.007,Ruckig,304.703,304.703,13.7097,4081,5.87796,21578,25659
triangle_r100mm_yz_cxn264cy115cz145_ruckig_ctrlmax_fbmax_001.json,triangle,99.9908,Ruckig,305.064,305.063,5.87805,1761,20.4444,25659,27420
rectangle_r82mm_yz_cx215cy35cz330_trapezoidal_ctrlmax_fbmax_001.json,rectangle,81.6397,Trapezoidal,303.718,303.716,7.4017,2205,9.59403,27420,29625
lissajous_r156mm_az-149el29_cxn209cyn160cz255_quintic_poly_ctrlmax_fb240hz_001.json,lissajous,156.2026,Quintic Poly,1150.44,243.472,60.9267,14332,13.9916,29625,43957
helix_r123mm_az-150el0_cxn164cyn130cz298_ruckig_ctrlmax_fbmax_001.json,helix,123.1435,Ruckig,303.514,303.513,17.8042,5301,12.2685,43957,49258
circle_r140mm_yz_cxn164cyn130cz255_ruckig_ctrlmax_fbmax_001.json,circle,140.0556,Ruckig,303.013,303.024,10.4232,3096,9.6695,49258,52354
square_r99mm_yz_cxn264cy115cz145_ruckig_ctrlmax_fbmax_001.json,square,98.9956,Ruckig,304.744,304.746,6.27044,1879,18.2577,52354,54233
ellipse_r65mm_yz_cx200cyn75cz355_ruckig_ctrlmax_fbmax_001.json,ellipse,65.0058,Ruckig,304.469,304.474,7.10469,2117,9.99744,54233,56350
rectangle_r87mm_xz_cxn94cyn105cz365_ruckig_ctrlmax_fbmax_001.json,rectangle,87.4596,Ruckig,303.586,303.584,13.4434,4001,5.49765,56350,60351
