J1,J2,J3,J4,J5
0.03759102,-0.00000000,-0.00000000,0.00000000,0.00000000
0.04216886,-0.00000000,-0.00000000,0.00000000,0.00000000
0.04698458,-0.00000000,-0.00000000,0.00000000,0.00000000
0.05203820,-0.00000000,-0.00000000,0.00000000,0.00000000
0.05732971,-0.00000000,-0.00000000,0.00000000,0.00000000
0.06285911,-0.00000000,-0.00000000,0.00000000,0.00000000
0.06862641,-0.00000000,-0.00000000,0.00000000,0.00000000
0.07463159,-0.00000000,-0.00000000,0.00000000,0.00000000
0.08087467,-0.00000000,-0.00000000,0.00000000,-0.00000000
0.08735564,-0.00000000,-0.00000000,0.00000000,-0.00000000
0.09407450,-0.00000000,-0.00000000,0.00000000,-0.00000000
0.10103126,0.00000000,-0.00000000,-0.00000000,-0.00000000
0.10822590,0.00000000,0.00000000,-0.00000000,-0.00000000
0.11904269,0.00000000,0.00000000,-0.00000000,-0.00000000
0.13354407,0.00000000,0.00000000,-0.00000000,-0.00000000
0.14239876,0.00000000,0.00000000,-0.00000000,-0.00000000
0.15906750,0.00000000,0.00000000,-0.00000000,-0.00000000
0.15891883,0.00000000,0.00000000,-0.00000000,-0.00000000
0.16216961,0.00000000,0.00000000,-0.00000000,-0.00000000
0.16636723,0.00000000,0.00000000,-0.00000000,-0.00000000
0.16991758,0.00000000,0.00000000,-0.00000000,-0.00000000
0.17208490,0.00000000,0.00000000,-0.00000000,-0.00000000
0.17299178,0.00000000,0.00000000,-0.00000000,-0.00000000
0.17361929,0.00000000,0.00000000,-0.00000000,-0.00000000
0.17580685,0.00000000,0.00000000,-0.00000000,-0.00000000
0.16682951,0.00000000,0.00000000,-0.00000000,-0.00000000
0.15675433,0.00000000,0.00000000,-0.00000000,-0.00000000
0.14827916,0.00000000,0.00000000,-0.00000000,-0.00000000
0.12941465,0.00000000,0.00000000,-0.00000000,-0.00000000
0.11084109,0.00000000,0.00000000,-0.00000000,-0.00000000
0.09574680,0.00000000,0.00000000,-0.00000000,-0.00000000
0.07251049,0.00000000,0.00000000,-0.00000000,-0.00000000
0.05205759,0.00000000,0.00000000,-0.00000000,-0.00000000
0.03769908,0.00000000,0.00000000,-0.00000000,-0.00000000
0.01781363,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00320409,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00306386,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.01297941,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.01623023,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.01036378,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00810501,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00810501,0.00000000,0.00000000,-0.00000000,-0.00000000
0.01036378,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00812523,0.00000000,0.00000000,-0.00000000,-0.00000000
0.01072064,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00530242,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00579949,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.02050042,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.02885594,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.04322312,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.06090415,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07956909,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.08915088,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10200661,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.11556108,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.12772962,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.13691807,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.13391775,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.13206677,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.12989360,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.12653984,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.12176024,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10781758,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.09964428,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.09748557,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10232248,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10044900,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10082852,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.10493258,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.09942307,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.08540363,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07841966,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07920694,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07369159,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07034650,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07003006,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.07409118,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.06894652,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.06343684,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.05866582,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.05610498,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.05759376,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.04991670,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.04215983,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.03554944,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.03155709,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.03189958,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.02311605,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.01392472,0.00000000,0.00000000,-0.00000000,-0.00000000
-0.00506136,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00261563,0.00000000,0.00000000,-0.00000000,-0.00000000
0.00812523,0.00000000,0.00000000,-0.00000000,-0.00000000
0.01036378,0.00000000,0.00000000,-0.00000000,-0.00000000
