J1,J2,J3,J4,J5
1.35528541,-0.00000000,-0.00000000,0.00000000,-0.00000000
1.42759299,-0.00000000,-0.00000000,0.00000000,-0.00000000
1.49990058,-0.00000000,-0.00000000,0.00000000,-0.00000000
1.57220817,0.00000000,-0.00000000,-0.00000000,-0.00000000
1.64451575,0.00000000,-0.00000000,-0.00000000,-0.00000000
1.71682322,0.00000000,0.00000000,-0.00000000,-0.00000000
1.78913081,0.00000000,0.00000000,-0.00000000,-0.00000000
1.86143839,0.00000000,0.00000000,-0.00000000,-0.00000000
1.93374598,0.00000000,0.00000000,-0.00000000,-0.00000000
2.00605345,0.00000000,0.00000000,-0.00000000,-0.00000000
2.07836103,0.00000000,0.00000000,-0.00000000,-0.00000000
2.15066862,0.00000000,0.00000000,-0.00000000,-0.00000000
2.22297621,-0.00000000,-0.00000000,0.00000000,0.00000000
2.13869047,-0.00000000,-0.00000000,0.00000000,0.00000000
1.91744447,-0.00000000,-0.00000000,0.00000000,0.00000000
2.10707903,-0.00000000,-0.00000000,0.00000000,0.00000000
2.16502118,-0.00000000,-0.00000000,0.00000000,0.00000000
2.03332615,-0.00000000,-0.00000000,0.00000000,0.00000000
1.65404952,-0.00000000,-0.00000000,0.00000000,0.00000000
1.10093904,-0.00000000,-0.00000000,0.00000000,0.00000000
0.44774276,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.23179148,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.86391574,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.37488210,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.69094276,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.35467052,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.81822467,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.01839256,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.50828886,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.75060320,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.69265842,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.89809871,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.84015393,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.47668266,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.38186407,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.03946352,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.41787481,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.10181260,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.58557796,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.84809983,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.48462850,-0.00000000,-0.00000000,0.00000000,0.00000000
0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.48462850,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.84809983,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.10094953,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.73834133,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.16502500,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.40207171,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.47055173,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.87616467,-0.00000000,-0.00000000,0.00000000,0.00000000
-3.03419566,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.97625113,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.73393679,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.82348776,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.67072439,-0.00000000,-0.00000000,0.00000000,0.00000000
-2.31778836,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.80682147,-0.00000000,-0.00000000,0.00000000,0.00000000
-1.17996502,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.96398926,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.59525019,-0.00000000,-0.00000000,0.00000000,0.00000000
-0.12642482,-0.00000000,-0.00000000,0.00000000,0.00000000
0.38980988,-0.00000000,-0.00000000,0.00000000,0.00000000
0.90077686,-0.00000000,-0.00000000,0.00000000,0.00000000
0.86916596,-0.00000000,-0.00000000,0.00000000,0.00000000
0.84809160,-0.00000000,-0.00000000,0.00000000,0.00000000
