J1,J2,J3,J4,J5
0.11779944,-0.66775864,-0.14586842,0.10837389,0.17574143
0.11171772,-0.66845089,-0.14218159,0.10837389,0.17574143
0.10616321,-0.66881412,-0.13909075,0.10837389,0.17574143
0.10106592,-0.66889936,-0.13655245,0.10837389,0.17574143
0.09635584,-0.66875768,-0.13452326,0.10837389,0.17574143
0.09196300,-0.66844010,-0.13295974,0.10837389,0.17574143
0.08781740,-0.66799760,-0.13181846,0.10837389,0.17574143
0.08384905,-0.66748130,-0.13105595,0.10837389,0.17574143
0.08667311,-0.66708189,-0.13031363,0.10837389,0.17574143
0.08339775,-0.66676241,-0.13009319,0.10837389,0.17574143
0.07548470,-0.66612339,-0.13049398,0.10837389,0.17574143
0.06446492,-0.66556424,-0.13161545,0.10837389,0.17574143
0.04874621,-0.66589975,-0.13203612,0.10933013,0.17574143
0.03124759,-0.66636837,-0.13171661,0.10853326,0.17574143
0.01173432,-0.66660798,-0.13183376,0.10785899,0.17574143
-0.00777273,-0.66661865,-0.13197222,0.10730731,0.17574143
-0.02604881,-0.66717774,-0.13180608,0.10687823,0.17574143
-0.04027695,-0.66747063,-0.13180608,0.10657174,0.17574143
-0.05224646,-0.66708189,-0.13180608,0.10638785,0.17574143
-0.06039115,-0.66718841,-0.13180608,0.10632655,0.17574143
-0.06486154,-0.66779011,-0.13180608,0.10638785,0.17574143
-0.06575970,-0.66729492,-0.13180608,0.10657174,0.17574143
-0.06006455,-0.66729492,-0.13180608,0.10687823,0.17574143
-0.06408586,-0.66737479,-0.13180608,0.10730731,0.17574143
-0.07070980,-0.66753453,-0.13180608,0.10785899,0.17574143
-0.07922192,-0.66737479,-0.13180608,0.10853326,0.17574143
-0.08890778,-0.66729492,-0.13180608,0.10933013,0.17574143
-0.09905292,-0.66687953,-0.13180608,0.10837389,0.17574143
-0.10894290,-0.66649079,-0.13180608,0.10837389,0.17574143
-0.11945547,-0.66730553,-0.13180608,0.10837389,0.17574143
-0.12695716,-0.66814691,-0.13180608,0.10837389,0.17574143
-0.13093765,-0.66825342,-0.13180608,0.10837389,0.17574143
-0.13400976,-0.66804039,-0.13180608,0.10837389,0.17574143
-0.13427512,-0.66790730,-0.13180608,0.10837389,0.17574143
-0.13142756,-0.66785401,-0.13180608,0.10837389,0.17574143
-0.12828399,-0.66706592,-0.13238758,0.10837389,0.17574143
-0.12315018,-0.66753453,-0.13190299,0.10837389,0.17574143
-0.11904721,-0.66685295,-0.13149296,0.10837389,0.17574143
-0.11604654,-0.66701269,-0.13115749,0.10837389,0.17574143
-0.11355618,-0.66719908,-0.13089655,0.10837389,0.17574143
-0.11178027,-0.66659731,-0.13071018,0.10837389,0.17574143
-0.11092293,-0.66719908,-0.13059835,0.10837389,0.17574143
-0.11118830,-0.66782743,-0.13056107,0.10837389,0.17574143
-0.11278050,-0.66853565,-0.13059835,0.10939843,0.17574143
-0.11278050,-0.66814691,-0.13071018,0.10854465,0.17574143
-0.11278050,-0.66783804,-0.13089655,0.10782221,0.17574143
-0.11278050,-0.66797119,-0.13115749,0.10723113,0.17574143
-0.11278050,-0.66773158,-0.13157603,0.10677139,0.17574143
-0.11278050,-0.66793388,-0.13191684,0.10644302,0.17574143
-0.11278050,-0.66740137,-0.13234285,0.10624599,0.17574143
-0.11437269,-0.66736412,-0.13171342,0.10618032,0.17574143
-0.11463806,-0.66622990,-0.13167614,0.10624599,0.17574143
-0.11378072,-0.66599029,-0.13164952,0.10644302,0.17574143
-0.11359701,-0.66664523,-0.13163355,0.10677139,0.17574143
-0.11614861,-0.66620326,-0.13162822,0.10723113,0.17574143
-0.11308669,-0.66665590,-0.13163355,0.10782221,0.17574143
-0.10543191,-0.66718841,-0.13164952,0.10854465,0.17574143
-0.09898147,-0.66698605,-0.13167614,0.10939843,0.17574143
-0.08599896,-0.66681033,-0.13171342,0.10837389,0.17574143
-0.06811738,-0.66783804,-0.13176134,0.10837389,0.17574143
-0.04617366,-0.66889244,-0.13181992,0.10837389,0.17574143
-0.02326034,-0.66921192,-0.13188915,0.10844219,0.17574143
-0.00090837,-0.66879654,-0.13180608,0.10838527,0.17574143
0.01935130,-0.66882318,-0.13230450,0.10833711,0.17574143
0.03595308,-0.66806173,-0.13188915,0.10829771,0.17574143
0.05058726,-0.66727358,-0.13153769,0.10826705,0.17574143
0.06424738,-0.66722035,-0.13125014,0.10824516,0.17574143
0.06830908,-0.66748661,-0.13102649,0.10823203,0.17574143
0.06507898,-0.66767299,-0.13086674,0.10822765,0.17574143
0.06172197,-0.66819483,-0.13077088,0.10823203,0.17574143
0.05346146,-0.66827470,-0.13073893,0.10824516,0.17574143
0.03552087,-0.66791260,-0.13077088,0.10826705,0.17574143
0.02523061,-0.66828537,-0.13086674,0.10829771,0.17574143
0.01927364,-0.66939294,-0.13102649,0.10833711,0.17574143
0.01754787,-0.66965920,-0.13125014,0.10838527,0.17574143
0.01838968,-0.66949946,-0.13153769,0.10844219,0.17574143
0.02239102,-0.66891372,-0.13188915,0.10837389,0.17574143
0.02934778,-0.66830134,-0.13230450,0.10837389,0.17574143
0.03985192,-0.66766232,-0.13180608,0.10837389,0.17574143
0.05071550,-0.66741204,-0.13180608,0.10837389,0.17574143
0.06465742,-0.66718841,-0.13180608,0.10837389,0.17574143
0.07359821,-0.66704464,-0.13180608,0.10837389,0.17574143
0.08070185,-0.66703397,-0.13180608,0.10837389,0.17574143
0.08515183,-0.66639495,-0.13180608,0.10837389,0.17574143
0.08533555,-0.66554296,-0.13180608,0.10837389,0.17574143
0.08189599,-0.66529268,-0.13180608,0.10837389,0.17574143
0.08328407,-0.66486669,-0.13180608,0.10837389,0.17574143
0.08597855,-0.66507971,-0.13180608,0.10837389,0.17574143
0.08897922,-0.66553229,-0.13188915,0.10837389,0.17574143
0.09208196,-0.66582519,-0.13181992,0.10837389,0.17574143
0.09587874,-0.66595834,-0.13176134,0.10837389,0.17574143
0.09870590,-0.66593170,-0.13171342,0.10837389,0.17574143
0.10046140,-0.66614467,-0.13167614,0.10837389,0.17574143
0.09948158,-0.66659731,-0.13164952,0.10837389,0.17574143
0.09953696,-0.66647482,-0.13163355,0.10837389,0.17574143
0.09893382,-0.66695410,-0.13162822,0.10837389,0.17574143
0.09762385,-0.66680497,-0.13163355,0.10837389,0.17574143
0.09571570,-0.66720438,-0.13164952,0.10837389,0.17574143
0.09320936,-0.66733748,-0.13167614,0.10837389,0.17574143
0.09166643,-0.66720438,-0.13171342,0.10837389,0.17574143
0.09039285,-0.66680497,-0.13176134,0.10926183,0.17574143
0.08949070,-0.66695410,-0.13181992,0.10852188,0.17574143
0.08906203,-0.66687423,-0.13188915,0.10789577,0.17574143
0.08920891,-0.66698074,-0.13180608,0.10738350,0.17574143
0.09003340,-0.66645885,-0.13180608,0.10698506,0.17574143
0.09007601,-0.66648549,-0.13180608,0.10670047,0.17574143
0.09013281,-0.66624588,-0.13180608,0.10652971,0.17574143
0.09020381,-0.66655475,-0.13180608,0.10647279,0.17574143
0.09028901,-0.66623521,-0.13180608,0.10652971,0.17574143
0.09027978,-0.66610211,-0.13180608,0.10670047,0.17574143
0.09022440,-0.66615534,-0.13180608,0.10698506,0.17574143
0.09022440,-0.66639495,-0.13180608,0.10738350,0.17574143
0.09022440,-0.66682094,-0.13180608,0.10789577,0.17563067
0.09022440,-0.66703397,-0.13180608,0.10852188,0.17572297
0.09022440,-0.66703397,-0.13180608,0.10926183,0.17580107
0.09022440,-0.66682094,-0.13180608,0.10837389,0.17586498
0.09022440,-0.66597962,-0.13180608,0.10837389,0.17591467
0.09022440,-0.66650146,-0.13180608,0.10837389,0.17595018
0.09022440,-0.66639495,-0.13180608,0.10837389,0.17597148
0.09022440,-0.66689020,-0.13180608,0.10837389,0.17597857
0.09022440,-0.66681033,-0.13180608,0.10837389,0.17597148
0.09022440,-0.66657072,-0.13180608,0.10837389,0.17595018
0.09022440,-0.66617131,-0.13180608,0.10837389,0.17591467
0.09022440,-0.66519684,-0.13180608,0.10837389,0.17586498
0.09022440,-0.66563880,-0.13180608,0.10837389,0.17580107
0.09022440,-0.66550571,-0.13180608,0.10837389,0.17572297
0.09022440,-0.66602755,-0.13180608,0.10837389,0.17563067
0.09022440,-0.66602755,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66592103,-0.13180608,0.10837389,0.17574143
0.09181660,-0.66570807,-0.13180608,0.10837389,0.17574143
0.09208196,-0.66538852,-0.13188915,0.10837389,0.17574143
0.09122463,-0.66536194,-0.13181992,0.10837389,0.17574143
0.09024481,-0.66562814,-0.13176134,0.10837389,0.17419077
0.08788714,-0.66578794,-0.13171342,0.10837389,0.17315701
0.08445779,-0.66542584,-0.13167614,0.10837389,0.17386276
0.08026297,-0.66571867,-0.13164952,0.10837389,0.17600982
0.07560886,-0.66585183,-0.13163355,0.10939843,0.18007533
0.07080165,-0.66540986,-0.13162822,0.10854465,0.18433964
0.06614754,-0.66638434,-0.13163355,0.10782221,0.18860395
0.06115663,-0.66636837,-0.13164952,0.10723113,0.19266947
0.05759460,-0.66695410,-0.13167614,0.10677139,0.19633737
0.05566559,-0.66732687,-0.13171342,0.10644302,0.19940887
0.05557374,-0.66748661,-0.13176134,0.10624599,0.20168516
0.05752316,-0.66743338,-0.13181992,0.10618032,0.20296744
0.05859483,-0.66716713,-0.13188915,0.10624599,0.20430297
0.06038094,-0.66668785,-0.13180608,0.10644302,0.20196243
0.06288151,-0.66681033,-0.13180608,0.10677139,0.19819121
0.06453494,-0.66635770,-0.13180608,0.10729943,0.19583221
0.06603528,-0.66574532,-0.13180608,0.10783359,0.19485559
0.06728046,-0.66537255,-0.13180608,0.10850786,0.19458543
0.06816841,-0.66523945,-0.13180608,0.10932225,0.19512114
0.06859708,-0.66494656,-0.13180608,0.10826705,0.19504125
