J1,J2,J3,J4,J5
-0.17491704,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17491704,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17491704,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17491704,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16417652,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16417652,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16264217,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16417652,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16417652,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16417652,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16571088,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16724524,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.16877960,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17031395,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.48025468
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17184833,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
-0.17338268,0.30226892,0.76104254,-0.60453784,-0.47872031
