J1,J2,J3,J4,J5
-0.00058222,0.00000000,0.00000000,0.00000000,-0.00232887
0.00058356,-0.00116604,-0.00116604,0.00233208,0.00233423
35.95596695,0.00000214,-0.00233208,-0.00000427,0.00232781
35.79543304,0.00058150,-0.00116586,-0.00116301,-0.00116586
-36.28148651,0.00000648,0.00235545,-0.00001296,-0.00117773
-36.47256851,0.00116137,0.00351063,-0.00232275,-0.00232275
-0.00028751,-0.00000139,-0.00000277,0.00000277,-0.00114727
0.00000173,-0.00057381,-0.00114762,0.00114762,0.00115456
0.00001110,0.00111962,0.00000000,-0.00223925,0.00116403
0.00031231,-0.00065843,0.00000000,0.00131687,-0.00118159
33.24555206,-0.00120777,-0.00112146,0.00241553,-0.00005754
33.38291550,0.00113198,0.00110981,-0.00226397,0.00001479
-34.95939636,-0.00003438,0.00104257,0.00006877,0.00006877
-0.58936691,-0.00003472,-0.00006943,0.00006943,0.00006943
33.68964005,0.00055858,0.00111717,-0.00111717,-0.00111717
-35.63291550,-0.00058246,-0.00116493,0.00116493,0.00232985
-1.64781189,-0.00114871,-0.00229741,0.00229741,0.00234237
33.65367889,-0.00000170,-0.00000339,0.00000339,-0.00113482
-35.23342133,0.00115005,0.00230009,-0.00230009,-0.00230009
0.15747452,0.00058871,0.00117742,-0.00117742,-0.00117742
34.58275604,0.00000000,0.00000000,-0.00000000,-0.00000000
-36.02718735,-0.00115859,-0.00115859,0.00231718,0.00231718
0.01621246,0.00000994,-0.00115841,-0.00001988,-0.00001988
35.71415710,0.00058915,0.00000000,-0.00117829,-0.00117829
-35.56273651,-0.00057983,0.00000000,0.00115965,0.00115965
-0.48357391,0.00057983,0.00000000,-0.00115965,0.00000000
35.14948273,0.00000807,0.00000000,-0.00001613,0.00000000
0.39589691,-0.00116119,0.00000000,0.00232238,0.00117779
0.60694122,0.00057537,0.00116142,-0.00115073,-0.00115073
-35.62249756,0.00058249,-0.00116283,-0.00116499,-0.00232853
-35.49495697,-0.00117096,-0.00231317,0.00234191,0.00237066
-0.00026881,0.00053763,0.00226826,-0.00107525,0.00125188
-0.00057015,0.00114030,0.00228061,-0.00228061,-0.00231429
0.00029178,0.00000000,-0.00116712,0.00000000,0.00000216
0.00029222,-0.00057983,-0.00116890,0.00115965,0.00116890
0.00000000,-0.00116516,0.00000000,0.00233033,0.00000000
0.00000000,-0.00000427,0.00116195,0.00000854,-0.00116195
0.00029303,-0.00000536,-0.00118285,0.00001072,0.00118285
0.00029272,-0.00058544,-0.00234175,0.00117088,0.00117661
0.00000000,0.00058382,0.00000000,-0.00116764,0.00000143
-0.00000000,0.00000035,0.00000000,-0.00000070,0.00116746
-0.00029538,0.00060047,0.00236304,-0.00120093,-0.00236304
-0.00029757,0.00062207,0.00010776,-0.00124415,-0.00124415
-0.00029417,-0.00057040,-0.00110494,0.00114081,0.00114081
-0.00000053,0.00000000,0.00000213,0.00000000,0.00116604
0.00029142,0.00058463,0.00117284,-0.00116926,-0.00000358
0.00000000,-0.00057917,0.00001145,0.00115835,-0.00116980
0.00029245,-0.00057917,-0.00115835,0.00115835,0.00116980
-0.00028711,0.00116552,0.00233104,-0.00233104,-0.00114842
-0.00028867,-0.00058693,-0.00000640,0.00117386,0.00001279
0.00029191,-0.00116764,-0.00116764,0.00233529,0.00117476
0.00000000,0.00058356,0.00116712,-0.00116712,-0.00116070
0.00059331,-0.00060736,-0.00240135,0.00121472,0.00237325
-0.00025435,0.00050871,-0.00131257,-0.00101741,0.00011806
-0.00056319,0.00171329,0.00228439,-0.00342659,-0.00228439
-36.04402924,-0.00058697,0.00000000,0.00117394,-0.00117394
-36.06562424,-0.00058670,0.00000000,0.00117340,-0.00000863
35.91204071,0.00000000,0.00000000,0.00000000,0.00116603
0.31166840,0.00000000,0.00000000,0.00000000,0.00000000
-35.72571564,0.00116373,0.00116373,-0.00232745,-0.00232745
35.79127502,0.00057981,0.00116319,-0.00115963,-0.00115963
35.75348663,-0.00174834,-0.00233064,0.00349668,0.00349668
-36.23289108,-0.00058895,-0.00233597,0.00117790,0.00233597
-36.21728897,0.00116939,0.00356081,-0.00233877,-0.00237387
