J1,J2,J3,J4,J5
0.11179980,-0.67079878,-0.14278992,0.10837389,0.17574143
0.11278050,-0.66491461,-0.14278992,0.10837389,0.17574143
0.11278050,-0.66491461,-0.14278992,0.10837389,0.17574143
0.11278050,-0.67079878,-0.14278992,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.12592188,0.10837389,0.17574143
0.07894635,-0.67079878,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.12945241,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07825986,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.66491461,-0.13180608,0.09482715,0.17574143
-0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.07894635,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.10150245,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.10150245,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.12405855,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.13533659,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.12356820,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.09385953,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13062924,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.11278050,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
-0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
-0.06766830,-0.66491461,-0.13180608,0.10837389,0.17574143
0.00000000,-0.67079878,-0.13180608,0.10837389,0.17574143
0.00000000,-0.67079878,-0.13180608,0.10837389,0.17574143
0.00000000,-0.66491461,-0.13180608,0.10837389,0.17574143
0.06766830,-0.67079878,-0.13180608,0.10837389,0.17574143
0.06766830,-0.67079878,-0.13180608,0.10837389,0.17574143
0.06766830,-0.66491461,-0.13180608,0.10837389,0.17574143
0.05639025,-0.66491461,-0.13180608,0.10837389,0.17574143
0.05639025,-0.66491461,-0.13180608,0.10740627,0.17574143
0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
0.05639025,-0.66491461,-0.12474504,0.10837389,0.17574143
0.05688060,-0.67079878,-0.13180608,0.10837389,0.17574143
0.05639025,-0.67079878,-0.13180608,0.10837389,0.17574143
0.00000000,-0.67079878,-0.13180608,0.10837389,0.17574143
0.00000000,-0.67079878,-0.13180608,0.10837389,0.17574143
0.00000000,-0.66491461,-0.13180608,0.10837389,0.17574143
0.00000000,-0.66491461,-0.13180608,0.10837389,0.17574143
0.00000000,-0.67079878,-0.13180608,0.10837389,0.17574143
0.06766830,-0.67079878,-0.13180608,0.10837389,0.17574143
0.07894635,-0.67079878,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.66491461,-0.13180608,0.10837389,0.17574143
0.07894635,-0.67079878,-0.13180608,0.10837389,0.17574143
0.06766830,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.10150245,-0.66491461,-0.13180608,0.10837389,0.17574143
0.10150245,-0.66491461,-0.13180608,0.10837389,0.17574143
0.10150245,-0.67079878,-0.13180608,0.10837389,0.17574143
0.10150245,-0.67079878,-0.13180608,0.10837389,0.17574143
0.10150245,-0.66491461,-0.13062924,0.10837389,0.17574143
0.10150245,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.08943984,-0.67079878,-0.13180608,0.10837389,0.17574143
0.08943984,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.09579477,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17731056
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.67079878,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
0.09022440,-0.66491461,-0.13180608,0.10837389,0.17574143
