J1,J2,J3,J4,J5
0.00000000,-0.66536689,0.09433816,0.07719868,0.17414173
0.00000000,-0.66550899,0.06636946,0.07615297,0.16447148
0.00000000,-0.66563159,0.04067703,0.07531174,0.15594576
0.00000000,-0.66574609,0.01716530,0.07466367,0.14849478
0.00000000,-0.66586381,-0.00426133,0.07419743,0.14204869
0.00000000,-0.66599607,-0.02369844,0.07390167,0.13653769
0.00000000,-0.66615433,-0.04124161,0.07376507,0.13189197
0.00000000,-0.66634983,-0.05698644,0.07377630,0.12804168
0.00000000,-0.66659403,-0.07102849,0.07392403,0.12491705
0.00000000,-0.66689825,-0.08346337,0.07419692,0.12244824
0.00000000,-0.66727388,-0.09438664,0.07458364,0.12056542
0.00000000,-0.66773224,-0.10389391,0.07507288,0.11919879
0.00000000,-0.66828471,-0.11208075,0.07565328,0.11827854
0.00000000,-0.66894263,-0.11904275,0.07631351,0.11773483
0.00000000,-0.66971743,-0.12487549,0.07704226,0.11749787
0.00000000,-0.67062032,-0.12967455,0.07782818,0.11749782
0.00000000,-0.67252976,-0.13474232,0.07840408,0.11840031
0.00000000,-0.67441732,-0.13683027,0.07924998,0.11999331
0.00000000,-0.67642432,-0.13784216,0.08013116,0.12077365
0.00000000,-0.67859137,-0.13616963,0.08103733,0.12042975
0.00000000,-0.68054569,-0.13914147,0.08195823,0.12041586
0.00000000,-0.68258774,-0.14164241,0.08288359,0.11890201
0.00280233,-0.68420845,-0.14356185,0.08380312,0.11685994
0.00507088,-0.68564612,-0.14385954,0.08470655,0.11383408
0.00621263,-0.68739974,-0.14366849,0.08508410,0.11109941
0.00634637,-0.68932772,-0.14410166,0.08577760,0.10823538
0.00555191,-0.68993413,-0.14476921,0.08641528,0.10617829
0.00390909,-0.69067913,-0.14636642,0.08694843,0.10436723
0.00149776,-0.69152385,-0.14791363,0.08739392,0.10241504
-0.00206530,-0.69217157,-0.14843123,0.08729583,0.10084051
-0.00607185,-0.69273603,-0.15038817,0.08728282,0.09909948
-0.01045347,-0.69343966,-0.15262447,0.08702621,0.09727088
-0.01516587,-0.69423234,-0.15524462,0.08685542,0.09498270
-0.02010786,-0.69480240,-0.15799052,0.08674303,0.09292589
-0.02521160,-0.69571656,-0.16096663,0.08688415,0.09116828
-0.03040925,-0.69656312,-0.16399139,0.08698517,0.08852035
-0.03563298,-0.69671589,-0.16734131,0.08693993,0.08530880
-0.04081496,-0.69712406,-0.17127389,0.08742645,0.08202282
-0.04864137,-0.69705349,-0.17509037,0.08824772,0.07869664
-0.05530679,-0.69851118,-0.17915495,0.08873571,0.07596164
-0.06081121,-0.70028764,-0.18338081,0.08926379,0.07341478
-0.06746979,-0.70233303,-0.18678735,0.08980832,0.07107691
-0.07212041,-0.70396525,-0.19059350,0.09060711,0.06910563
-0.07484740,-0.70599836,-0.19456474,0.09175596,0.06652384
-0.07570731,-0.70917183,-0.19787890,0.09298691,0.06418297
-0.07475666,-0.71244359,-0.20108756,0.09431873,0.06271257
-0.07205198,-0.71635735,-0.20430559,0.09567659,0.06123080
-0.06535477,-0.71935296,-0.20773782,0.09660352,0.06100703
-0.05783624,-0.72319812,-0.21126704,0.09767262,0.06072490
-0.04949637,-0.72692853,-0.21477602,0.09863468,0.06214096
-0.04033517,-0.73057073,-0.21877068,0.09975550,0.06495225
-0.03035264,-0.73428047,-0.22180814,0.10099896,0.06748448
-0.01954878,-0.73796391,-0.22498442,0.10254747,0.07061546
-0.01179576,-0.74187219,-0.22817163,0.10406839,0.07337879
-0.00500566,-0.74577403,-0.23248802,0.10553099,0.07644898
0.00124701,-0.74921322,-0.23692600,0.10624906,0.07940939
0.00685423,-0.75210708,-0.24049406,0.10708147,0.08185143
0.01173616,-0.75534838,-0.24428862,0.10798135,0.08405007
0.01581297,-0.75863129,-0.24818216,0.10912031,0.08570623
0.01900483,-0.76031417,-0.25204712,0.11015497,0.08750327
0.02187171,-0.76244313,-0.25611645,0.11165864,0.08772749
0.02388215,-0.76447558,-0.26016524,0.11315411,0.08715310
0.02496772,-0.76683187,-0.26467296,0.11450484,0.08535999
0.02782324,-0.76873672,-0.26844475,0.11601637,0.08361127
0.02865190,-0.77116942,-0.27271730,0.11743767,0.08145715
0.02745311,-0.77273792,-0.27715188,0.11872062,0.08023762
0.02468126,-0.77476841,-0.28166667,0.11999295,0.07818928
0.01971828,-0.77743047,-0.28646061,0.12151007,0.07536393
0.01257478,-0.77977234,-0.29169470,0.12284766,0.07138801
0.00706679,-0.78175223,-0.29721102,0.12356754,0.06690741
0.00051875,-0.78361839,-0.30285153,0.12482578,0.06193378
-0.00699090,-0.78464574,-0.30758053,0.12622888,0.05653569
-0.01263968,-0.78490311,-0.31366634,0.12787251,0.05079097
-0.01801764,-0.78561568,-0.32036847,0.12995566,0.04468708
-0.02298086,-0.78679180,-0.32630333,0.13177697,0.03952773
-0.02740558,-0.78734982,-0.33227089,0.13421148,0.03510303
-0.03116804,-0.78754145,-0.33825624,0.13522041,0.03104354
-0.03414448,-0.78734040,-0.34432244,0.13561739,0.02997839
-0.03938230,-0.78825676,-0.35061902,0.13653702,0.02925714
-0.04454343,-0.78899109,-0.35671380,0.13694260,0.02906581
-0.05223352,-0.78925669,-0.36176229,0.13782470,0.02788022
-0.05871394,-0.78945023,-0.36700127,0.13926628,0.02605568
-0.06398467,-0.78985757,-0.37345615,0.14096978,0.02428172
-0.06804571,-0.79008138,-0.37919480,0.14282347,0.02187579
-0.07315182,-0.78983492,-0.38522074,0.14418642,0.01958093
-0.07626311,-0.78889161,-0.39170623,0.14498433,0.01745168
-0.07740778,-0.78797734,-0.39690363,0.14632908,0.01422598
-0.07664189,-0.78668350,-0.40326855,0.14771079,0.01238135
-0.07402145,-0.78539163,-0.40952897,0.14856020,0.01022699
-0.06960250,-0.78342950,-0.41594744,0.14859897,0.00781555
-0.06116619,-0.78271776,-0.42206392,0.14806382,0.00545718
-0.05185588,-0.78161252,-0.42952949,0.14740199,0.00405862
-0.04167159,-0.78106445,-0.43737081,0.14598353,0.00248376
-0.03061330,-0.78068161,-0.44515556,0.14444429,0.00254229
-0.02245306,-0.78049165,-0.45318836,0.14244074,0.00373703
-0.01452825,-0.78021348,-0.46025923,0.14009285,0.00517392
-0.00690612,-0.78026813,-0.46627510,0.13795364,0.00619248
-0.00028256,-0.78003961,-0.47260854,0.13550852,0.00714512
0.00571895,-0.77897441,-0.47822931,0.13353041,0.00914213
0.01101997,-0.77798760,-0.48228192,0.13082367,0.01179461
0.01554205,-0.77775949,-0.48582339,0.12803079,0.01576165
0.01920675,-0.77715784,-0.48761925,0.12540844,0.02092434
0.01920576,-0.77709937,-0.48886073,0.12219920,0.02628604
0.01981829,-0.77786750,-0.48823118,0.11869164,0.03291906
0.02042209,-0.77944857,-0.48571986,0.11410867,0.04068287
0.02088329,-0.78100616,-0.48273984,0.10938150,0.04855922
0.02106799,-0.78280461,-0.47878352,0.10349307,0.05759878
0.02084233,-0.78451645,-0.47363392,0.09852015,0.06640334
