J1,J2,J3,J4,J5
0.00000000,-0.67079878,0.06590304,0.07107198,0.19947438
0.00000000,-0.67079878,0.08787072,0.07653906,0.17731056
0.00000000,-0.65961879,0.06590304,0.07653906,0.15514673
0.00000000,-0.65961879,0.06649146,0.07653906,0.13298292
0.00000000,-0.65961879,-0.05540955,0.07653906,0.13298292
0.00000000,-0.66540498,-0.05540955,0.07653906,0.11081910
0.00000000,-0.66540498,-0.05540955,0.07653906,0.11081910
0.00000000,-0.65961879,-0.05491920,0.07653906,0.11081910
0.00000000,-0.67079878,-0.05491920,0.06773368,0.12190101
0.00000000,-0.67668301,-0.07688688,0.07653906,0.12190101
0.00000000,-0.67079878,-0.08787072,0.07653906,0.12190101
0.00000000,-0.67079878,-0.10983840,0.07586172,0.13298292
0.00000000,-0.67079878,-0.10983840,0.07586172,0.13298292
0.00000000,-0.67079878,-0.10983840,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.13298292
0.00000000,-0.67079878,-0.13180608,0.07586172,0.11081910
0.00000000,-0.67668301,-0.15377375,0.07586172,0.09973719
0.00000000,-0.67668301,-0.15377375,0.08669911,0.09973719
0.00000000,-0.66491461,-0.14278992,0.09211780,0.09973719
0.00000000,-0.69315875,-0.14278992,0.09211780,0.10983840
0.00000000,-0.69315875,-0.14278992,0.09211780,0.10983840
0.00000000,-0.69315875,-0.14278992,0.08669911,0.10983840
0.00000000,-0.69315875,-0.14278992,0.08669911,0.11081910
0.00000000,-0.69816035,-0.14278992,0.08669911,0.10983840
0.00000000,-0.70433873,-0.13180608,0.08669911,0.10983840
0.00000000,-0.69816035,-0.13180608,0.08669911,0.10983840
0.00000000,-0.70433873,-0.15377375,0.08669911,0.10983840
0.00000000,-0.69816035,-0.15377375,0.08669911,0.10983840
0.00000000,-0.70433873,-0.15377375,0.08669911,0.08787072
0.00000000,-0.69315875,-0.15377375,0.08669911,0.08787072
0.00000000,-0.68707842,-0.16475759,0.08669911,0.08865528
0.00000000,-0.68707842,-0.16475759,0.08669911,0.07757337
0.00000000,-0.68707842,-0.16475759,0.08669911,0.07757337
-0.06825672,-0.69315875,-0.16475759,0.08669911,0.07688688
-0.07963284,-0.68707842,-0.18672527,0.08669911,0.08787072
-0.07894635,-0.68707842,-0.18672527,0.08669911,0.08787072
-0.07894635,-0.68707842,-0.18672527,0.08669911,0.08787072
-0.07894635,-0.70924222,-0.18672527,0.08669911,0.06590304
-0.07894635,-0.70924222,-0.18672527,0.08669911,0.06590304
-0.07894635,-0.70924222,-0.18672527,0.08669911,0.06590304
-0.06766830,-0.71551871,-0.20869295,0.09753650,0.05491920
-0.06766830,-0.72032416,-0.20682964,0.09666564,0.05491920
-0.06766830,-0.72032416,-0.20869295,0.10295519,0.05491920
-0.06707988,-0.72032416,-0.20682964,0.10295519,0.06590304
-0.06707988,-0.72669870,-0.20869295,0.10295519,0.06590304
-0.06707988,-0.72032416,-0.20682964,0.09753650,0.06590304
-0.06707988,-0.72032416,-0.20682964,0.09666564,0.06590304
-0.06707988,-0.74248797,-0.22860117,0.09753650,0.06590304
-0.06707988,-0.74248797,-0.22860117,0.09666564,0.06590304
0.00000000,-0.74248797,-0.22860117,0.09666564,0.06590304
0.00000000,-0.74248797,-0.22860117,0.10740627,0.06531462
0.00000000,-0.74248797,-0.22860117,0.11277658,0.06531462
0.05639025,-0.74248797,-0.25037271,0.11277658,0.06590304
0.05589990,-0.75788498,-0.24811710,0.11176057,0.06531462
0.05589990,-0.76465178,-0.24811710,0.10740627,0.08708616
0.05589990,-0.75788498,-0.25037271,0.10740627,0.09797193
0.05589990,-0.75788498,-0.24811710,0.10643864,0.09797193
0.05589990,-0.75788498,-0.26969251,0.10643864,0.11974347
